Year,world_avg_p1,median_p1,std_p1,num_countries,avg_total_votes,yoy_change,rolling_3y
1946,50.0,50.0,0.0,54,24.0,,
1947,50.0,50.0,0.0,57,12.2,0.0,50.0
1948,50.0,50.0,0.0,58,14.8,0.0,49.6
1949,48.8,47.93,23.85,59,16.1,-1.2,51.82
1950,56.66,55.36,20.9,60,17.2,7.86,49.52
1951,43.09,39.1,24.36,60,4.8,-13.57,52.09
1952,56.52,58.36,22.56,60,27.2,13.43,59.54
1953,79.02,100.0,37.34,60,10.8,22.5,61.85
1954,50.0,50.0,0.0,60,11.4,-29.02,59.67
1955,50.0,50.0,0.0,65,5.6,0.0,50.0
1956,50.0,50.0,0.0,79,23.2,0.0,55.51
1957,66.53,77.91,31.34,82,25.8,16.53,60.35
1958,64.52,74.64,30.98,82,13.6,-2.01,64.89
1959,63.62,63.9,21.55,82,17.4,-0.9,59.38
1960,50.0,49.39,25.53,99,15.9,-13.62,54.34
1961,49.39,47.52,21.46,104,35.8,-0.61,46.18
1962,39.14,38.98,19.16,110,15.7,-10.25,43.14
1963,40.89,43.21,19.83,112,21.4,1.75,43.34
1965,50.0,50.0,0.0,117,25.5,9.11,46.96
1966,50.0,50.0,0.0,121,23.3,0.0,50.0
1967,50.0,50.0,0.0,122,24.9,0.0,50.35
1968,51.04,51.46,22.43,125,24.7,1.04,51.36
1969,53.05,54.41,21.45,125,29.4,2.01,54.02
1970,57.98,55.2,18.62,125,34.7,4.93,58.55
1971,64.61,65.71,16.55,130,70.2,6.63,59.57
1972,56.11,56.46,18.34,131,76.4,-8.5,56.81
1973,49.71,48.47,19.62,132,68.7,-6.4,54.98
1974,59.12,61.25,19.27,135,52.0,9.41,58.9
1975,67.86,72.68,18.58,141,64.4,8.74,64.38
1976,66.16,73.53,19.45,142,81.6,-1.7,67.94
1977,69.79,78.36,21.95,144,87.1,3.63,66.5
1978,63.54,71.21,24.74,146,95.7,-6.25,65.77
1979,63.97,69.57,23.65,148,132.9,0.43,63.46
1980,62.87,69.43,22.04,149,98.9,-1.1,62.79
1981,61.52,67.14,22.12,153,131.8,-1.35,63.8
1982,67.0,72.59,19.99,154,151.2,5.48,67.62
1983,74.34,79.8,16.93,155,134.9,7.34,71.79
1984,74.04,81.06,19.33,156,134.7,-0.3,77.6
1985,84.42,88.41,13.18,156,145.1,10.38,82.45
1986,88.9,91.75,10.89,156,147.7,4.48,84.83
1987,81.17,86.98,15.69,156,136.7,-7.73,83.34
1988,79.95,85.28,16.54,156,132.4,-1.22,82.1
1989,85.19,89.09,12.15,156,111.1,5.24,82.95
1990,83.72,90.3,14.91,154,82.4,-1.47,82.54
1991,78.72,87.46,20.34,164,68.5,-5.0,79.61
1992,76.4,84.4,21.06,174,65.9,-2.32,76.2
1993,73.49,78.6,16.69,177,58.0,-2.91,69.1
1994,57.41,64.2,22.71,176,62.3,-16.08,63.12
1995,58.45,63.14,20.86,177,70.4,1.04,61.35
1996,68.18,72.55,16.01,180,68.2,9.73,65.72
1997,70.54,72.45,16.38,176,66.5,2.36,69.68
1998,70.33,75.72,19.01,177,57.0,-0.21,71.96
1999,75.0,77.24,12.48,173,62.8,4.67,70.44
2000,65.99,68.32,14.68,183,59.7,-9.01,73.47
2001,79.42,81.97,10.93,179,57.8,13.43,74.17
2002,77.09,79.11,12.35,187,67.2,-2.33,79.24
2003,81.21,84.13,12.84,188,70.3,4.12,77.74
2004,74.92,76.29,14.04,190,67.2,-6.29,78.1
2005,78.16,82.09,15.32,190,66.9,3.24,73.9
2006,68.61,75.14,20.17,192,92.8,-9.55,72.89
2007,71.89,78.27,17.26,192,72.5,3.28,73.18
2008,79.04,83.79,14.97,192,71.1,7.15,76.69
2009,79.14,83.43,12.69,192,62.3,0.1,77.14
2010,73.25,76.94,13.92,192,66.3,-5.89,72.97
2011,66.52,69.27,14.28,193,62.4,-6.73,67.19
2012,61.81,65.91,16.58,193,68.8,-4.71,69.39
2013,79.84,82.36,10.57,193,59.8,18.03,71.97
2014,74.26,77.42,13.58,193,73.8,-5.58,75.12
2015,71.25,76.66,16.67,193,72.0,-3.01,73.64
2016,75.42,81.6,17.55,193,74.9,4.17,74.53
2017,76.92,81.95,15.7,193,85.7,1.5,75.11
2018,72.98,76.05,14.22,193,98.1,-3.94,73.48
2019,70.53,74.4,15.75,193,91.7,-2.45,69.78
2020,65.82,72.18,18.22,193,92.0,-4.71,62.86
2021,52.24,56.28,21.78,193,78.6,-13.58,61.7
2022,67.03,68.46,16.43,192,80.8,14.79,65.26
2023,76.51,77.09,15.04,192,80.3,9.48,73.94
2024,78.29,80.08,15.11,191,88.3,1.78,76.59
2025,74.98,75.35,13.1,191,174.7,-3.31,
