iso3,p1_2024,yes_2024,no_2024,abstain_2024,total_2024,p1_2025,yes_2025,no_2025,abstain_2025,total_2025,p1_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
MDG,81.5224056735709,71,0,10,81,51.27309318021549,8,0,3,11,-30.25,-70,87.7,72.7,-15.0,Eastern Africa,Sub-Saharan Africa
USA,72.02679694693127,32,51,11,94,45.21322006625293,10,174,8,192,-26.81,98,34.0,5.2,-28.8,Northern America,Northern America
ARG,23.14505530692309,42,38,15,95,0.0,42,84,29,155,-23.15,60,44.2,27.1,-17.1,South America,Latin America & Caribbean
DMA,82.65826777606102,27,1,0,28,60.65718556330089,44,0,4,48,-22.0,20,96.4,91.7,-4.7,Caribbean,Latin America & Caribbean
VCT,93.52771521422292,74,1,5,80,72.18340824883718,15,0,1,16,-21.34,-64,92.5,93.8,1.3,Caribbean,Latin America & Caribbean
CMR,85.00772255232023,59,0,26,85,64.2987766646169,149,0,21,170,-20.71,85,69.4,87.6,18.2,Middle Africa,Sub-Saharan Africa
SWZ,87.26070103438538,54,1,4,59,68.14496392676915,82,0,2,84,-19.12,25,91.5,97.6,6.1,Southern Africa,Sub-Saharan Africa
SYR,70.05488453042271,54,13,7,74,51.91883139638871,85,1,7,93,-18.14,19,73.0,91.4,18.4,Western Asia,Western Asia
BRN,90.06379877505474,85,3,7,95,74.80784163040673,184,2,6,192,-15.26,97,89.5,95.8,6.3,South-eastern Asia,South-eastern Asia
GRD,93.8867687217,68,1,2,71,78.85845574829186,98,0,3,101,-15.03,30,95.8,97.0,1.2,Caribbean,Latin America & Caribbean
BOL,77.77386575656665,80,2,9,91,63.250776774319704,39,1,0,40,-14.52,-51,87.9,97.5,9.6,South America,Latin America & Caribbean
BLR,75.71013048606122,65,13,16,94,61.476108979234745,159,12,20,191,-14.23,97,69.1,83.2,14.1,Eastern Europe,Eastern Europe
PAK,80.12181704136273,69,4,21,94,66.32355176934652,165,3,22,190,-13.8,96,73.4,86.8,13.4,Southern Asia,Southern Asia
PRK,70.62209838233628,51,21,14,86,57.69193882298998,142,21,18,181,-12.93,95,59.3,78.5,19.2,Eastern Asia,Eastern Asia
EGY,90.82054645748354,78,2,15,95,78.17675045357859,173,1,16,190,-12.64,95,82.1,91.1,9.0,Northern Africa,Africa
CUB,82.04230552964157,76,10,9,95,69.70109942471512,173,7,8,188,-12.34,93,80.0,92.0,12.0,Caribbean,Latin America & Caribbean
LBY,89.91456504253996,78,2,11,91,77.6750629876918,174,1,11,186,-12.24,95,85.7,93.5,7.8,Northern Africa,Africa
DZA,87.01281058557885,80,2,13,95,74.96969350308532,178,2,12,192,-12.04,97,84.2,92.7,8.5,Northern Africa,Africa
IRN,76.20697687544391,67,11,13,91,64.17633987381787,162,5,18,185,-12.03,94,73.6,87.6,14.0,Southern Asia,Southern Asia
CHN,74.83514343032589,68,11,15,94,63.09077672454289,167,7,18,192,-11.74,98,72.3,87.0,14.7,Eastern Asia,Eastern Asia
PRY,57.80887715375432,62,8,24,94,46.71355263927356,113,29,49,191,-11.1,97,66.0,59.2,-6.8,South America,Latin America & Caribbean
LAO,82.76559724556708,82,1,10,93,71.9845254827917,177,0,10,187,-10.78,94,88.2,94.7,6.5,South-eastern Asia,South-eastern Asia
YEM,92.21554472803646,85,2,8,95,81.51613029270183,179,1,12,192,-10.7,97,89.5,93.2,3.7,Western Asia,Western Asia
FSM,71.5017413757577,40,26,9,75,60.929216417916386,120,27,11,158,-10.57,83,53.3,75.9,22.6,Micronesia,Oceania
CHE,78.90927395353359,58,12,25,95,68.45394317664788,160,10,22,192,-10.46,97,61.1,83.3,22.2,Western Europe,Western Europe
NIC,80.46234417903456,72,16,6,94,70.14625557712571,153,15,6,174,-10.32,80,76.6,87.9,11.3,Central America,Latin America & Caribbean
FRA,71.49866126262691,50,26,19,95,61.708363137154656,142,28,22,192,-9.79,97,52.6,74.0,21.4,Western Europe,Western Europe
LSO,87.27642011410768,80,0,9,89,77.58376083163364,169,0,7,176,-9.69,87,89.9,96.0,6.1,Southern Africa,Sub-Saharan Africa
BRB,96.69744745784942,88,1,2,91,87.09954155114892,145,0,0,145,-9.6,54,96.7,100.0,3.3,Caribbean,Latin America & Caribbean
IDN,85.90126318309129,82,2,11,95,76.42195235842709,183,2,7,192,-9.48,97,86.3,95.3,9.0,South-eastern Asia,South-eastern Asia
MRT,88.6153358030472,81,1,7,89,79.26004240520108,178,1,8,187,-9.36,98,91.0,95.2,4.2,Western Africa,Sub-Saharan Africa
MYS,94.33850085003871,86,1,8,95,85.22676073667029,185,1,6,192,-9.11,97,90.5,96.4,5.9,South-eastern Asia,South-eastern Asia
CAN,69.66649955980394,51,23,21,95,60.59912146833135,148,23,21,192,-9.07,97,53.7,77.1,23.4,Northern America,Northern America
GIN,90.2165758864422,80,0,10,90,81.60572335216922,166,0,7,173,-8.61,83,88.9,96.0,7.1,Western Africa,Sub-Saharan Africa
BHR,88.26300625946939,84,1,10,95,79.70008936825417,181,0,11,192,-8.56,97,88.4,94.3,5.9,Western Asia,Western Asia
IRQ,82.63663643661442,83,3,9,95,74.20136550733632,179,2,8,189,-8.44,94,87.4,94.7,7.3,Western Asia,Western Asia
ISR,67.91796576349907,24,54,15,93,59.54097469129566,20,98,27,145,-8.38,52,25.8,13.8,-12.0,Western Asia,Western Asia
WSM,84.78804700084875,62,0,3,65,76.47978386771103,121,0,19,140,-8.31,75,95.4,86.4,-9.0,Polynesia,Oceania
SEN,94.63876594697132,80,0,8,88,86.47160413965429,179,0,6,185,-8.17,97,90.9,96.8,5.9,Western Africa,Sub-Saharan Africa
CIV,91.8827835618653,79,0,12,91,83.81368142498414,182,0,8,190,-8.07,99,86.8,95.8,9.0,Western Africa,Sub-Saharan Africa
ETH,78.31087963896506,77,1,14,92,70.39243491403688,168,0,20,188,-7.92,96,83.7,89.4,5.7,Eastern Africa,Sub-Saharan Africa
TKM,100.0,60,1,0,61,92.1915016342812,125,1,1,127,-7.81,66,98.4,98.4,0.0,Central Asia,Central Asia
TJK,83.96157807683342,69,2,11,82,76.45391388241079,172,1,10,183,-7.51,101,84.1,94.0,9.9,Central Asia,Central Asia
OMN,82.56557965997915,78,3,13,94,75.0783277942179,179,2,11,192,-7.49,98,83.0,93.2,10.2,Western Asia,Western Asia
LCA,95.30724917892996,86,1,6,93,87.82696206728284,165,0,3,168,-7.48,75,92.5,98.2,5.7,Caribbean,Latin America & Caribbean
BDI,65.09233580924075,78,6,5,89,57.65300093469261,157,8,5,170,-7.44,81,87.6,92.4,4.8,Eastern Africa,Sub-Saharan Africa
MLT,76.67299872005435,66,14,15,95,69.24922871197352,162,14,16,192,-7.42,97,69.5,84.4,14.9,Southern Europe,Southern Europe
KNA,92.86484881218767,71,1,5,77,85.5854160171628,178,0,3,181,-7.28,104,92.2,98.3,6.1,Caribbean,Latin America & Caribbean
QAT,91.80315649673824,86,2,7,95,84.73096454444652,182,0,10,192,-7.07,97,90.5,94.8,4.3,Western Asia,Western Asia
PLW,57.190980324730106,56,17,17,90,50.22998887669935,142,22,9,173,-6.96,83,62.2,82.1,19.9,Micronesia,Oceania
GUY,97.2969528571447,89,0,6,95,90.5016285130228,188,0,4,192,-6.8,97,93.7,97.9,4.2,South America,Latin America & Caribbean
VNM,84.09398392861803,82,1,9,92,77.44457671704755,180,1,8,189,-6.65,97,89.1,95.2,6.1,South-eastern Asia,South-eastern Asia
IRL,80.20093405012086,65,13,17,95,73.57939893170828,158,15,19,192,-6.62,97,68.4,82.3,13.9,Northern Europe,Northern Europe
SLE,96.16340168733169,86,0,3,89,89.58417541662858,173,0,4,177,-6.58,88,96.6,97.7,1.1,Western Africa,Sub-Saharan Africa
ARE,89.6218581883582,80,1,13,94,83.14578758038869,178,0,13,191,-6.48,97,85.1,93.2,8.1,Western Asia,Western Asia
TTO,93.8652348976682,88,1,6,95,87.452494605136,186,0,4,190,-6.41,95,92.6,97.9,5.3,Caribbean,Latin America & Caribbean
GBR,69.38444719262182,49,32,14,95,62.99908763563707,141,31,20,192,-6.39,97,51.6,73.4,21.8,Northern Europe,Northern Europe
UGA,80.69950622041098,77,0,10,87,74.33556042252555,173,0,11,184,-6.36,97,88.5,94.0,5.5,Eastern Africa,Sub-Saharan Africa
SGP,88.67485218247228,88,1,6,95,82.4091755550755,185,0,7,192,-6.27,97,92.6,96.4,3.8,South-eastern Asia,South-eastern Asia
KWT,88.9755704620726,84,2,8,94,82.91359687096914,180,1,11,192,-6.06,98,89.4,93.8,4.4,Western Asia,Western Asia
GHA,97.33755667102278,85,0,5,90,91.34845594260732,164,0,7,171,-5.99,81,94.4,95.9,1.5,Western Africa,Sub-Saharan Africa
CRI,95.7502623166985,90,0,5,95,89.78924332491002,181,1,9,191,-5.96,96,94.7,94.8,0.1,Central America,Latin America & Caribbean
IND,77.67540159324216,66,4,25,95,71.7844553700437,161,5,26,192,-5.89,97,69.5,83.9,14.4,Southern Asia,Southern Asia
BGD,90.4240179567531,84,1,9,94,84.55064129991129,183,1,7,191,-5.87,97,89.4,95.8,6.4,Southern Asia,Southern Asia
MDA,74.34040891833907,59,14,22,95,68.46954962422875,154,15,22,191,-5.87,96,62.1,80.6,18.5,Eastern Europe,Eastern Europe
GMB,97.9389028484459,82,0,2,84,92.23405378613676,165,0,8,173,-5.7,89,97.6,95.4,-2.2,Western Africa,Sub-Saharan Africa
JPN,78.39186839647661,61,15,19,95,72.70649911515915,156,12,24,192,-5.69,97,64.2,81.2,17.0,Eastern Asia,Eastern Asia
NGA,83.90155089503978,78,0,10,88,78.36767126447836,151,0,10,161,-5.53,73,88.6,93.8,5.2,Western Africa,Sub-Saharan Africa
CYP,76.47819204581731,66,12,17,95,71.04716738007049,160,14,18,192,-5.43,97,69.5,83.3,13.8,Western Asia,Western Asia
AND,76.46065993864396,64,13,16,93,71.04063784352127,157,13,20,190,-5.42,97,68.8,82.6,13.8,Southern Europe,Southern Europe
