iso3,total_2024,total_2025,total_change,participation_change_pct,p1_2024,p1_2025,p1_change,region,broad_region
MDG,81,11,-70,-86.4,81.5224056735709,51.27309318021549,-30.25,Eastern Africa,Sub-Saharan Africa
VCT,80,16,-64,-80.0,93.52771521422292,72.18340824883718,-21.34,Caribbean,Latin America & Caribbean
STP,35,12,-23,-65.7,5.8576153533524,100.0,94.14,Middle Africa,Sub-Saharan Africa
BOL,91,40,-51,-56.0,77.77386575656665,63.250776774319704,-14.52,South America,Latin America & Caribbean
KIR,80,70,-10,-12.5,72.58243806311064,75.35252890581476,2.77,Micronesia,Oceania
NRU,50,56,6,12.0,60.584084247552745,63.342323822830686,2.76,Micronesia,Oceania
SYR,74,93,19,25.7,70.05488453042271,51.91883139638871,-18.14,Western Asia,Western Asia
BEN,62,79,17,27.4,81.0769485008054,86.99898217837062,5.92,Western Africa,Sub-Saharan Africa
GRD,71,101,30,42.3,93.8867687217,78.85845574829186,-15.03,Caribbean,Latin America & Caribbean
SWZ,59,84,25,42.4,87.26070103438538,68.14496392676915,-19.12,Southern Africa,Sub-Saharan Africa
ISR,93,145,52,55.9,67.91796576349907,59.54097469129566,-8.38,Western Asia,Western Asia
BRB,91,145,54,59.3,96.69744745784942,87.09954155114892,-9.6,Caribbean,Latin America & Caribbean
ARG,95,155,60,63.2,23.14505530692309,0.0,-23.15,South America,Latin America & Caribbean
DMA,28,48,20,71.4,82.65826777606102,60.65718556330089,-22.0,Caribbean,Latin America & Caribbean
LCA,93,168,75,80.6,95.30724917892996,87.82696206728284,-7.48,Caribbean,Latin America & Caribbean
NGA,88,161,73,83.0,83.90155089503978,78.36767126447836,-5.53,Western Africa,Sub-Saharan Africa
HND,94,173,79,84.0,77.08254256916189,84.96099155414848,7.88,Central America,Latin America & Caribbean
BWA,78,144,66,84.6,81.49033255097888,80.66320265362508,-0.83,Southern Africa,Sub-Saharan Africa
NIC,94,174,80,85.1,80.46234417903456,70.14625557712571,-10.32,Central America,Latin America & Caribbean
GHA,90,171,81,90.0,97.33755667102278,91.34845594260732,-5.99,Western Africa,Sub-Saharan Africa
KEN,94,179,85,90.4,88.01866927518576,82.82175502479878,-5.2,Eastern Africa,Sub-Saharan Africa
COD,73,139,66,90.4,,75.64948701287754,,Middle Africa,Sub-Saharan Africa
ERI,95,181,86,90.5,75.41298127810143,75.39318335467526,-0.02,Eastern Africa,Sub-Saharan Africa
BDI,89,170,81,91.0,65.09233580924075,57.65300093469261,-7.44,Eastern Africa,Sub-Saharan Africa
PLW,90,173,83,92.2,57.190980324730106,50.22998887669935,-6.96,Micronesia,Oceania
GIN,90,173,83,92.2,90.2165758864422,81.60572335216922,-8.61,Western Africa,Sub-Saharan Africa
COG,85,164,79,92.9,73.94641483401632,75.52904374689751,1.58,Middle Africa,Sub-Saharan Africa
MLI,93,180,87,93.5,56.61908323594167,60.08553783641413,3.47,Western Africa,Sub-Saharan Africa
NER,88,171,83,94.3,77.49597943667015,80.77147022466711,3.28,Western Africa,Sub-Saharan Africa
NAM,91,177,86,94.5,82.8702366279764,81.95623334332234,-0.91,Southern Africa,Sub-Saharan Africa
SLV,93,181,88,94.6,92.77159916754756,89.63052077922876,-3.14,Central America,Latin America & Caribbean
MWI,78,153,75,96.2,80.12588037191871,77.98460119086215,-2.14,Eastern Africa,Sub-Saharan Africa
PNG,92,181,89,96.7,45.29321855774505,59.67689914073372,14.38,Melanesia,Oceania
GEO,93,183,90,96.8,66.11068670608933,65.67177678957617,-0.44,Western Asia,Western Asia
RWA,85,168,83,97.6,74.14662033460526,69.04399918347376,-5.1,Eastern Africa,Sub-Saharan Africa
LSO,89,176,87,97.8,87.27642011410768,77.58376083163364,-9.69,Southern Africa,Sub-Saharan Africa
CUB,95,188,93,97.9,82.04230552964157,69.70109942471512,-12.34,Caribbean,Latin America & Caribbean
SOM,69,137,68,98.6,86.9873480299244,91.89661785060748,4.91,Eastern Africa,Sub-Saharan Africa
DOM,95,189,94,98.9,94.78032694407015,89.83494496207457,-4.95,Caribbean,Latin America & Caribbean
SLE,89,177,88,98.9,96.16340168733169,89.58417541662858,-6.58,Western Africa,Sub-Saharan Africa
ALB,95,189,94,98.9,69.10494053507853,68.04947585793906,-1.06,Southern Europe,Southern Europe
IRQ,95,189,94,98.9,82.63663643661442,74.20136550733632,-8.44,Western Asia,Western Asia
ARM,90,180,90,100.0,76.81380791422359,73.79817897107648,-3.02,Western Asia,Western Asia
CMR,85,170,85,100.0,85.00772255232023,64.2987766646169,-20.71,Middle Africa,Sub-Saharan Africa
URY,95,190,95,100.0,87.50802989624219,82.54653719321145,-4.96,South America,Latin America & Caribbean
BTN,92,184,92,100.0,88.06311469946313,88.25447584306637,0.19,Southern Asia,Southern Asia
PER,95,190,95,100.0,98.72499935171064,97.48208702723292,-1.24,South America,Latin America & Caribbean
UKR,94,188,94,100.0,62.71547262060756,67.0062107148359,4.29,Eastern Europe,Eastern Europe
EGY,95,190,95,100.0,90.82054645748354,78.17675045357859,-12.64,Northern Africa,Africa
ZWE,91,182,91,100.0,75.22606963585514,74.2567427826792,-0.97,Eastern Africa,Sub-Saharan Africa
TTO,95,190,95,100.0,93.8652348976682,87.452494605136,-6.41,Caribbean,Latin America & Caribbean
BGR,95,191,96,101.1,67.14418172974244,68.41797840955444,1.27,Eastern Europe,Eastern Europe
LAO,93,187,94,101.1,82.76559724556708,71.9845254827917,-10.78,South-eastern Asia,South-eastern Asia
ATG,87,175,88,101.1,91.97695457616238,89.80737239590432,-2.17,Caribbean,Latin America & Caribbean
SVK,95,191,96,101.1,70.07547019870813,67.88212482128992,-2.19,Eastern Europe,Eastern Europe
BIH,95,191,96,101.1,65.60283853102574,69.84930707269814,4.25,Southern Europe,Southern Europe
BHS,92,185,93,101.1,92.79071008540902,89.76496328179016,-3.03,Caribbean,Latin America & Caribbean
KOR,95,191,96,101.1,74.75900751723194,71.9396057301385,-2.82,Eastern Asia,Eastern Asia
EST,95,191,96,101.1,74.01761583367121,70.52617535446224,-3.49,Northern Europe,Northern Europe
MDA,95,191,96,101.1,74.34040891833907,68.46954962422875,-5.87,Eastern Europe,Eastern Europe
CRI,95,191,96,101.1,95.7502623166985,89.78924332491002,-5.96,Central America,Latin America & Caribbean
PAK,94,190,96,102.1,80.12181704136273,66.32355176934652,-13.8,Southern Asia,Southern Asia
AUT,95,192,97,102.1,70.92379660490357,69.02573876426118,-1.9,Western Europe,Western Europe
LKA,95,192,97,102.1,81.24307603522362,78.20043124271356,-3.04,Southern Asia,Southern Asia
LTU,95,192,97,102.1,71.20404361564508,68.13481248831496,-3.07,Northern Europe,Northern Europe
ROU,95,192,97,102.1,68.45053204087672,68.01325651382213,-0.44,Eastern Europe,Eastern Europe
SVN,95,192,97,102.1,69.1487761528042,70.95151134637273,1.8,Southern Europe,Southern Europe
THA,95,192,97,102.1,88.69223315179167,85.10009478371165,-3.59,South-eastern Asia,South-eastern Asia
ESP,95,192,97,102.1,71.42897881264442,70.68551546285791,-0.74,Southern Europe,Southern Europe
NLD,94,190,96,102.1,69.2955971516387,70.59945523951237,1.3,Western Europe,Western Europe
HRV,95,192,97,102.1,70.12321253101392,67.49214284211457,-2.63,Southern Europe,Southern Europe
MNE,95,192,97,102.1,72.68274847764587,69.93332657385628,-2.75,Southern Europe,Southern Europe
PHL,95,192,97,102.1,80.03967626880073,80.42445884487253,0.38,South-eastern Asia,South-eastern Asia
SAU,94,190,96,102.1,77.45534870984353,75.00789069888214,-2.45,Western Asia,Western Asia
NOR,95,192,97,102.1,77.32441537814812,74.90526411332003,-2.42,Northern Europe,Northern Europe
LUX,95,192,97,102.1,72.80680051666766,70.402085010053,-2.4,Western Europe,Western Europe
DNK,95,192,97,102.1,72.38901640594004,70.05248479422549,-2.34,Northern Europe,Northern Europe
BEL,95,192,97,102.1,76.95116429900354,74.70507229218956,-2.25,Western Europe,Western Europe
COL,95,192,97,102.1,88.37052646740506,90.64362459348985,2.27,South America,Latin America & Caribbean
FIN,95,192,97,102.1,70.67035655512672,71.80009077059155,1.13,Northern Europe,Northern Europe
