TopicTag,yes_pct_2024,total_votes_2024,num_countries_2024,yes_pct_2025,total_votes_2025,num_countries_2025,yes_pct_change
PUBLIC FINANCE,95.73,164.0,164.0,83.79,728.0,184.0,-11.94
POLLUTION,95.3,553.0,190.0,85.49,503.0,185.0,-9.81
MINERAL RESOURCES,99.47,187.0,187.0,89.66,174.0,174.0,-9.81
WATER,98.83,342.0,188.0,93.79,354.0,184.0,-5.04
TRADE RELATED FINANCE,98.42,190.0,190.0,94.02,184.0,184.0,-4.4
COMPUTER SCIENCE AND TECHNOLOGY,95.78,166.0,166.0,91.65,1066.0,188.0,-4.13
TAXATION,69.59,171.0,171.0,67.78,180.0,180.0,-1.81
GENERAL AND NATIONAL LAW,95.73,164.0,164.0,94.59,1423.0,189.0,-1.14
ENVIRONMENT,96.65,507.0,189.0,96.37,4347.0,190.0,-0.28
RECOMMENDATIONS,98.38,185.0,185.0,98.14,161.0,161.0,-0.24
LAW OF THE SEA,98.06,155.0,155.0,97.95,341.0,174.0,-0.11
SPACE SCIENCES,84.85,548.0,191.0,86.25,887.0,184.0,1.4
WILDLIFE,97.62,168.0,168.0,99.1,666.0,190.0,1.48
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,82.89,871.0,189.0,84.53,1390.0,189.0,1.64
MARINE RESOURCES,95.64,505.0,188.0,97.37,1216.0,188.0,1.73
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,80.86,559.0,191.0,82.85,904.0,190.0,1.99
DISARMAMENT AND MILITARY QUESTIONS,80.59,7409.0,191.0,83.83,7411.0,184.0,3.24
WOMEN'S ADVANCEMENT,94.05,185.0,185.0,97.47,672.0,184.0,3.42
MAINTENANCE OF PEACE AND SECURITY,77.28,5413.0,191.0,81.34,8076.0,191.0,4.06
NUCLEAR SCIENCE,83.59,701.0,189.0,87.85,494.0,179.0,4.26
HUMANITARIAN AID AND RELIEF,82.89,871.0,189.0,87.36,2745.0,190.0,4.47
INTERNATIONAL TRADE,80.86,559.0,191.0,85.46,1087.0,190.0,4.6
SCIENCE AND TECHNOLOGY,85.51,1415.0,191.0,90.66,2794.0,188.0,5.15
DEVELOPMENT FINANCE,85.11,376.0,191.0,90.9,2001.0,187.0,5.79
POLITICAL AND LEGAL QUESTIONS,78.54,14180.0,191.0,84.43,22664.0,191.0,5.89
ECONOMIC CONDITIONS,85.11,376.0,191.0,91.15,1978.0,190.0,6.04
NATURAL RESOURCES AND THE ENVIRONMENT,90.2,1224.0,191.0,96.67,5226.0,190.0,6.47
RESOURCES (GENERAL),90.0,180.0,180.0,96.59,1613.0,186.0,6.59
INTERNATIONAL LAW,79.0,1924.0,191.0,85.77,7745.0,191.0,6.77
INTERNATIONAL RELATIONS,75.94,5382.0,191.0,84.22,8074.0,191.0,8.28
WELFARE AND SOCIAL SERVICES,85.06,348.0,185.0,95.66,2466.0,189.0,10.6
ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,79.77,1814.0,191.0,93.13,8097.0,190.0,13.36
POLITICAL EVENTS AND ISSUES,66.07,2862.0,191.0,81.75,3546.0,191.0,15.68
DISCRIMINATION,69.52,1598.0,191.0,86.1,1410.0,188.0,16.58
DEVELOPMENT,76.34,1289.0,190.0,93.71,7917.0,190.0,17.37
HUMAN RIGHTS,69.56,3055.0,191.0,87.48,3260.0,191.0,17.92
SOCIAL DEVELOPMENT,75.33,1431.0,190.0,93.61,4224.0,191.0,18.28
ECONOMIC THEORY,71.51,186.0,186.0,91.43,175.0,175.0,19.92
SOCIAL CONDITIONS AND EQUITY,71.13,3585.0,191.0,91.58,6127.0,191.0,20.45
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,57.69,182.0,182.0,94.12,1055.0,188.0,36.43
ENERGY RESOURCES,58.93,168.0,168.0,95.55,539.0,185.0,36.62
AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,,90.47,1081.0,187.0,
BANKING AND INVESTMENT,,,,97.27,550.0,184.0,
COMMODITIES,,,,98.36,183.0,183.0,
COMMUNICATION AND MASS MEDIA,,,,97.98,347.0,182.0,
COMPREHENSIVE HEALTH SERVICES,,,,98.01,503.0,186.0,
CONSUMERS AND COOPERATIVES,,,,98.36,365.0,186.0,
CRIME AND CRIMINAL JUSTICE,,,,77.22,180.0,180.0,
CROP MANAGEMENT,,,,99.45,182.0,182.0,
CULTURAL DEVELOPMENT,,,,87.91,513.0,186.0,
CULTURE,,,,90.84,1332.0,190.0,
DISEASE PREVENTION AND CONTROL,,,,98.15,704.0,186.0,
DISEASES AND CARRIERS OF DISEASES,,,,98.15,704.0,186.0,
EDUCATION,,,,96.95,525.0,190.0,
EDUCATIONAL POLICY AND PLANNING,,,,96.95,525.0,190.0,
EMPLOYMENT,,,,97.25,364.0,183.0,
EMPLOYMENT PROMOTION AND PLANNING,,,,97.81,183.0,183.0,
FOOD AND NUTRITION,,,,98.83,342.0,184.0,
FORESTRY,,,,99.36,156.0,156.0,
GEOGRAPHY,,,,99.44,179.0,179.0,
HEALTH,,,,98.23,1189.0,189.0,
HOUSING,,,,98.35,182.0,182.0,
HUMAN SETTLEMENTS,,,,90.78,358.0,186.0,
INTERNATIONAL TRADE LAW,95.73,164.0,164.0,,,,
LAND FORMS AND ECOSYSTEMS,,,,99.44,179.0,179.0,
LAND TRANSPORT,,,,99.45,182.0,182.0,
LANGUAGE,,,,97.66,171.0,171.0,
LAW OF WAR,,,,92.66,177.0,177.0,
MONETARY ISSUES,,,,94.02,184.0,184.0,
PERSONS WITH DISABILITIES,,,,98.35,182.0,182.0,
PHILOSOPHY AND RELIGION,,,,87.89,454.0,165.0,
PSYCHOLOGY,,,,98.31,178.0,178.0,
SETTLEMENT PLANNING,,,,82.95,176.0,176.0,
SPECIAL CATEGORIES OF WORKERS,,,,97.25,364.0,183.0,
SPECIAL ECONOMIC AREAS,,,,99.45,182.0,182.0,
SPECIAL HUMANITARIAN OPERATIONS,,,,84.42,847.0,182.0,
STATISTICS,,,,98.33,180.0,180.0,
TELECOMMUNICATIONS,,,,98.37,184.0,184.0,
TRADE IN COMMODITIES,,,,98.36,183.0,183.0,
TRADE IN MANUFACTURES; BARRIERS TO TRADE,,,,82.56,539.0,190.0,
TRANSPORT AND COMMUNICATIONS,,,,98.9,726.0,184.0,
TRANSPORT POLICY AND PLANNING,,,,99.08,542.0,183.0,
