TopicTag,status,total_votes,yes_pct,num_countries
AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,NEW_IN_2025,1081,90.5,187
BANKING AND INVESTMENT,NEW_IN_2025,550,97.3,184
COMMODITIES,NEW_IN_2025,183,98.4,183
COMMUNICATION AND MASS MEDIA,NEW_IN_2025,347,98.0,182
COMPREHENSIVE HEALTH SERVICES,NEW_IN_2025,503,98.0,186
CONSUMERS AND COOPERATIVES,NEW_IN_2025,365,98.4,186
CRIME AND CRIMINAL JUSTICE,NEW_IN_2025,180,77.2,180
CROP MANAGEMENT,NEW_IN_2025,182,99.5,182
CULTURAL DEVELOPMENT,NEW_IN_2025,513,87.9,186
CULTURE,NEW_IN_2025,1332,90.8,190
DISEASE PREVENTION AND CONTROL,NEW_IN_2025,704,98.2,186
DISEASES AND CARRIERS OF DISEASES,NEW_IN_2025,704,98.2,186
EDUCATION,NEW_IN_2025,525,97.0,190
EDUCATIONAL POLICY AND PLANNING,NEW_IN_2025,525,97.0,190
EMPLOYMENT,NEW_IN_2025,364,97.3,183
EMPLOYMENT PROMOTION AND PLANNING,NEW_IN_2025,183,97.8,183
FOOD AND NUTRITION,NEW_IN_2025,342,98.8,184
FORESTRY,NEW_IN_2025,156,99.4,156
GEOGRAPHY,NEW_IN_2025,179,99.4,179
HEALTH,NEW_IN_2025,1189,98.2,189
HOUSING,NEW_IN_2025,182,98.4,182
HUMAN SETTLEMENTS,NEW_IN_2025,358,90.8,186
LAND FORMS AND ECOSYSTEMS,NEW_IN_2025,179,99.4,179
LAND TRANSPORT,NEW_IN_2025,182,99.5,182
LANGUAGE,NEW_IN_2025,171,97.7,171
LAW OF WAR,NEW_IN_2025,177,92.7,177
MONETARY ISSUES,NEW_IN_2025,184,94.0,184
PERSONS WITH DISABILITIES,NEW_IN_2025,182,98.4,182
PHILOSOPHY AND RELIGION,NEW_IN_2025,454,87.9,165
PSYCHOLOGY,NEW_IN_2025,178,98.3,178
SETTLEMENT PLANNING,NEW_IN_2025,176,83.0,176
SPECIAL CATEGORIES OF WORKERS,NEW_IN_2025,364,97.3,183
SPECIAL ECONOMIC AREAS,NEW_IN_2025,182,99.5,182
SPECIAL HUMANITARIAN OPERATIONS,NEW_IN_2025,847,84.4,182
STATISTICS,NEW_IN_2025,180,98.3,180
TELECOMMUNICATIONS,NEW_IN_2025,184,98.4,184
TRADE IN COMMODITIES,NEW_IN_2025,183,98.4,183
TRADE IN MANUFACTURES; BARRIERS TO TRADE,NEW_IN_2025,539,82.6,190
TRANSPORT AND COMMUNICATIONS,NEW_IN_2025,726,98.9,184
TRANSPORT POLICY AND PLANNING,NEW_IN_2025,542,99.1,183
INTERNATIONAL TRADE LAW,DROPPED_FROM_2024,164,95.7,164
