c1,c2,sim_2024,sim_2025,sim_change
CAN,USA,0.5359131137750952,-0.5750335777679773,-1.1109
CZE,USA,0.5830263104825196,-0.5123410702025856,-1.0954
AUS,USA,0.4722774928735709,-0.5902230474174398,-1.0625
FSM,USA,0.6350191816635824,-0.4195478615882401,-1.0546
GBR,USA,0.5732133577239383,-0.477799609814118,-1.051
NLD,USA,0.4465942614792461,-0.6028958756311095,-1.0495
LTU,USA,0.4976336056483027,-0.537854613369729,-1.0355
GEO,USA,0.4182366672850057,-0.6143414839787381,-1.0326
DNK,USA,0.450316740351265,-0.5750335777679773,-1.0254
DEU,USA,0.4689559453881138,-0.5524832413849193,-1.0214
SWE,USA,0.4406788445201441,-0.5750335777679773,-1.0157
ALB,USA,0.4816304303986034,-0.5312161852311216,-1.0128
ITA,USA,0.4378079420081743,-0.5744573909315288,-1.0123
HRV,USA,0.4624896567717966,-0.5484516685511791,-1.0109
SVK,USA,0.4562814603776243,-0.5517066031718644,-1.008
HUN,USA,0.5927733161687955,-0.4144781691526535,-1.0073
EST,USA,0.450316740351265,-0.5533559539462543,-1.0037
ISL,USA,0.3929090353251764,-0.6085835725710256,-1.0015
JPN,USA,0.3399522514869683,-0.6597728450302706,-0.9997
UKR,USA,0.4925022529601266,-0.507049489480671,-0.9996
BEL,USA,0.4075316548660469,-0.5902230474174398,-0.9978
FIN,USA,0.4182580053461556,-0.5733595317769415,-0.9916
KOR,USA,0.4029063721327032,-0.5875841572831358,-0.9905
ROU,USA,0.4624896567717966,-0.5248324511655195,-0.9873
FRA,USA,0.478451316907585,-0.5088726821608879,-0.9873
MCO,USA,0.4139469470433776,-0.572185758903967,-0.9861
ESP,USA,0.3752639502927207,-0.601465391177772,-0.9767
POL,USA,0.4338344254369819,-0.5419465528339602,-0.9758
LVA,USA,0.4406788445201441,-0.5346435123521158,-0.9753
BGR,USA,0.4465942614792461,-0.5270781021998281,-0.9737
LUX,USA,0.3903155480035562,-0.5789807036571076,-0.9693
CHE,USA,0.2623867676441928,-0.7067676141123438,-0.9692
NOR,USA,0.347993942117368,-0.6163013595059641,-0.9643
MNE,USA,0.3752639502927207,-0.5863087459595062,-0.9616
PRT,USA,0.3700352452256611,-0.5902230474174398,-0.9603
SVN,USA,0.3627551519496301,-0.594119630385877,-0.9569
BIH,USA,0.3273614273578213,-0.6275170611761646,-0.9549
AUT,USA,0.2877023618910858,-0.6520559380992668,-0.9398
GRC,USA,0.3399522514869683,-0.5789807036571076,-0.9189
MKD,USA,0.4298784945872536,-0.4883366894240151,-0.9182
MDA,USA,0.2826325680272091,-0.6351345803595574,-0.9178
NZL,USA,0.2317245488671241,-0.6704861722640134,-0.9022
LIE,USA,0.2014531860663516,-0.6970253131405955,-0.8985
SMR,USA,0.2099405494764484,-0.6762415239399677,-0.8862
PLW,USA,0.3211733727581921,-0.5526375588702046,-0.8738
COG,MDG,0.8946065687321358,0.0281271975231505,-0.8665
IRL,USA,0.1988536812099245,-0.6669833586407486,-0.8658
AND,USA,0.1876319751463603,-0.6728427686349514,-0.8605
MDG,TZA,0.8734476504760126,0.0277777777777777,-0.8457
MLT,USA,0.1718082427858355,-0.6723882645175097,-0.8442
FSM,PRK,-0.4497006112188864,0.3230111654615247,0.7727
FSM,IRN,-0.2787473366690303,0.4276198922541089,0.7064
GBR,IRN,-0.2390362627638591,0.4602270529412812,0.6993
CZE,IRN,-0.1961161351381839,0.5015311738358799,0.6976
FSM,RUS,-0.3583790144112816,0.3386195598647419,0.697
CZE,PRK,-0.2721655269759087,0.4220203219954764,0.6942
CAN,PRK,-0.2191986497404765,0.473189646823871,0.6924
HUN,IRN,-0.2420431264063725,0.4411057312050509,0.6831
PLW,PRK,-0.2758686295341228,0.391439139242181,0.6673
GBR,PRK,-0.2357022603955159,0.4300059557564497,0.6657
PLW,RUS,-0.3281426585078357,0.3324627948197762,0.6606
MDA,RUS,-0.2271756866592708,0.4327781397996786,0.66
GEO,PRK,-0.160375074774896,0.4960649516590395,0.6564
CAN,IRN,-0.1052996252985312,0.5503343968115186,0.6556
CHN,FSM,-0.1800353713701296,0.475204233206615,0.6552
HRV,PRK,-0.1793146091971798,0.474579340408784,0.6539
PNG,RUS,-0.2690104478770879,0.3812726598880253,0.6503
AUT,RUS,-0.208907644923589,0.4405815609430213,0.6495
AUS,PRK,-0.1601281538050871,0.483756700226006,0.6439
HUN,PRK,-0.2519264733223145,0.3914391392421811,0.6434
IRN,SVK,-0.0915208630644858,0.5492561784691559,0.6408
CHE,PRK,-0.0704295212273763,0.5646893417522241,0.6351
CAN,RUS,-0.1629589684332675,0.470938191964773,0.6339
IRN,LTU,-0.1052996252985312,0.5285309116869269,0.6338
MDA,PRK,-0.1517277462437675,0.4820064307618205,0.6337
AUT,PRK,-0.1477342100713197,0.4837567002260061,0.6315
LIE,RUS,-0.1608004761984703,0.4695671899524306,0.6304
CUB,FSM,-0.199099452450712,0.4303314829119352,0.6294
NLD,PRK,-0.1095993248702382,0.5196967587016166,0.6293
RUS,TON,-0.1844341797992897,0.4447835090717687,0.6292
DEU,PRK,-0.1496910398367498,0.47917938918873,0.6289
FRA,IRN,-0.1298810833665327,0.4985360746047199,0.6284
GBR,SYR,-0.2171901233000981,0.4111085937131091,0.6283
PRK,UKR,-0.1857901339043846,0.4396474465985369,0.6254
IRN,MCO,-0.0533760512683623,0.5705731432983869,0.6239
MLT,RUS,-0.1687849877596442,0.4527387900115061,0.6215
CUB,GBR,-0.1437770309379178,0.4773960376293312,0.6212
IRN,ROU,-0.092766102114081,0.5269461077844309,0.6197
IRN,POL,-0.0789747189738984,0.5389221556886225,0.6179
BLR,FSM,-0.1811857688348696,0.4352034887499433,0.6164
DEU,IRN,-0.0653720450460613,0.5503343968115186,0.6157
AUS,IRN,-0.0256410256410256,0.5900346832580528,0.6157
GBR,SDN,-0.1333553773664397,0.4817430022169687,0.6151
PRK,SVK,-0.1360827634879543,0.4773958597375315,0.6135
LTU,PRK,-0.1506990716965776,0.4620252876175802,0.6127
PRK,ROU,-0.1517277462437675,0.460639901327626,0.6124
HRV,IRN,-0.0662615015100578,0.5460157007575505,0.6123
CUB,CZE,-0.0996116490183504,0.512182216897691,0.6118
IRN,UKR,-0.1098470072762179,0.5016440038382062,0.6115
EST,IRN,-0.0645174717615636,0.5449101796407183,0.6094
