partner,sim_2024,sim_2025,sim_change,is_key_partner,region
CAN,0.5359131137750952,-0.5750335777679773,-1.1109,True,Northern America
CZE,0.5830263104825196,-0.5123410702025856,-1.0954,True,Eastern Europe
AUS,0.4722774928735709,-0.5902230474174398,-1.0625,True,Australia and New Zealand
FSM,0.6350191816635824,-0.4195478615882401,-1.0546,False,Micronesia
GBR,0.5732133577239383,-0.477799609814118,-1.051,True,Northern Europe
NLD,0.4465942614792461,-0.6028958756311095,-1.0495,True,Western Europe
LTU,0.4976336056483027,-0.537854613369729,-1.0355,False,Northern Europe
GEO,0.4182366672850057,-0.6143414839787381,-1.0326,False,Western Asia
DNK,0.450316740351265,-0.5750335777679773,-1.0254,True,Northern Europe
DEU,0.4689559453881138,-0.5524832413849193,-1.0214,True,Western Europe
SWE,0.4406788445201441,-0.5750335777679773,-1.0157,True,Northern Europe
ALB,0.4816304303986034,-0.5312161852311216,-1.0128,False,Southern Europe
ITA,0.4378079420081743,-0.5744573909315288,-1.0123,True,Southern Europe
HRV,0.4624896567717966,-0.5484516685511791,-1.0109,False,Southern Europe
SVK,0.4562814603776243,-0.5517066031718644,-1.008,True,Eastern Europe
HUN,0.5927733161687955,-0.4144781691526535,-1.0073,True,Eastern Europe
EST,0.450316740351265,-0.5533559539462543,-1.0037,False,Northern Europe
ISL,0.3929090353251764,-0.6085835725710256,-1.0015,False,Northern Europe
JPN,0.3399522514869683,-0.6597728450302706,-0.9997,True,Eastern Asia
UKR,0.4925022529601266,-0.507049489480671,-0.9996,True,Eastern Europe
BEL,0.4075316548660469,-0.5902230474174398,-0.9978,False,Western Europe
FIN,0.4182580053461556,-0.5733595317769415,-0.9916,False,Northern Europe
KOR,0.4029063721327032,-0.5875841572831358,-0.9905,True,Eastern Asia
FRA,0.478451316907585,-0.5088726821608879,-0.9873,True,Western Europe
ROU,0.4624896567717966,-0.5248324511655195,-0.9873,False,Eastern Europe
MCO,0.4139469470433776,-0.572185758903967,-0.9861,False,Western Europe
ESP,0.3752639502927207,-0.601465391177772,-0.9767,True,Southern Europe
POL,0.4338344254369819,-0.5419465528339602,-0.9758,True,Eastern Europe
LVA,0.4406788445201441,-0.5346435123521158,-0.9753,False,Northern Europe
BGR,0.4465942614792461,-0.5270781021998281,-0.9737,False,Eastern Europe
LUX,0.3903155480035562,-0.5789807036571076,-0.9693,False,Western Europe
CHE,0.2623867676441928,-0.7067676141123438,-0.9692,False,Western Europe
NOR,0.347993942117368,-0.6163013595059641,-0.9643,True,Northern Europe
MNE,0.3752639502927207,-0.5863087459595062,-0.9616,False,Southern Europe
PRT,0.3700352452256611,-0.5902230474174398,-0.9603,False,Southern Europe
SVN,0.3627551519496301,-0.594119630385877,-0.9569,False,Southern Europe
BIH,0.3273614273578213,-0.6275170611761646,-0.9549,False,Southern Europe
AUT,0.2877023618910858,-0.6520559380992668,-0.9398,False,Western Europe
GRC,0.3399522514869683,-0.5789807036571076,-0.9189,False,Southern Europe
MKD,0.4298784945872536,-0.4883366894240151,-0.9182,False,Southern Europe
MDA,0.2826325680272091,-0.6351345803595574,-0.9178,False,Eastern Europe
NZL,0.2317245488671241,-0.6704861722640134,-0.9022,False,Australia and New Zealand
LIE,0.2014531860663516,-0.6970253131405955,-0.8985,False,Western Europe
SMR,0.2099405494764484,-0.6762415239399677,-0.8862,False,Southern Europe
PLW,0.3211733727581921,-0.5526375588702046,-0.8738,False,Micronesia
IRL,0.1988536812099245,-0.6669833586407486,-0.8658,False,Northern Europe
AND,0.1876319751463603,-0.6728427686349514,-0.8605,False,Southern Europe
MLT,0.1718082427858355,-0.6723882645175097,-0.8442,False,Southern Europe
PNG,0.202395294959361,-0.6256466633907738,-0.828,False,Melanesia
TUR,0.1636807136789106,-0.6503358634007524,-0.814,True,Western Asia
CYP,0.1367119058318231,-0.6650639780897203,-0.8018,False,Western Asia
PAN,-0.0256938698206553,-0.8183157173239436,-0.7926,False,Central America
MHL,0.1242835507562028,-0.6627366504986305,-0.787,False,Micronesia
URY,-0.1183618455331153,-0.8664216634271291,-0.7481,False,South America
TON,0.0402295159593644,-0.6818941410257301,-0.7221,False,Polynesia
SRB,-0.0285801789453476,-0.7407854739671795,-0.7122,False,Southern Europe
GTM,-0.1638127320203181,-0.8664216634271291,-0.7026,False,Central America
CHL,-0.1735525336251558,-0.8664216634271291,-0.6929,False,South America
CRI,-0.1619823647168121,-0.841542619201849,-0.6796,False,Central America
MEX,-0.1916202019061214,-0.871018097079164,-0.6794,True,Central America
DOM,-0.174524824334308,-0.8509516342902761,-0.6764,False,Caribbean
ECU,-0.1595362254439901,-0.8215496199931844,-0.662,False,South America
GUY,-0.2094297892011697,-0.871018097079164,-0.6616,False,South America
MMR,-0.1966928714418433,-0.8563717083940359,-0.6597,False,South-eastern Asia
WSM,-0.0975805247114082,-0.7506135949703855,-0.653,False,Polynesia
SGP,-0.2326997657790774,-0.8834720789128345,-0.6508,False,South-eastern Asia
LBR,-0.138289968940837,-0.7875477233474744,-0.6493,False,Western Africa
SUR,-0.21862199778627,-0.8664216634271291,-0.6478,False,South America
TUV,-0.0726931570028224,-0.713274522957735,-0.6406,False,Polynesia
TGO,-0.2262848189276258,-0.8650835596735083,-0.6388,False,Western Africa
BHS,-0.2118233502218549,-0.8470071816641986,-0.6352,False,Caribbean
JAM,-0.2340181886004544,-0.8679529053982725,-0.6339,False,Caribbean
TTO,-0.2559697423569851,-0.8864994376320411,-0.6305,False,Caribbean
ARM,-0.1797769596230881,-0.8101135521587735,-0.6303,False,Western Asia
THA,-0.267604730645939,-0.8973104063836513,-0.6297,False,South-eastern Asia
CIV,-0.2346394376501482,-0.8634008690512477,-0.6288,False,Western Africa
PER,-0.228874303561587,-0.8555890072336829,-0.6267,False,South America
VUT,-0.2155727271443866,-0.8375450205236347,-0.622,False,Melanesia
COL,-0.2661138848919056,-0.8864994376320411,-0.6204,False,South America
TCD,-0.2706631697279256,-0.890723681362996,-0.6201,False,Middle Africa
PHL,-0.263477777620917,-0.8817714069196475,-0.6183,False,South-eastern Asia
CMR,-0.2000612526174332,-0.8153268091145588,-0.6153,False,Middle Africa
MWI,-0.1432928315290845,-0.7584308744403465,-0.6151,False,Eastern Africa
CPV,-0.2331683294950626,-0.847826086956523,-0.6147,False,Western Africa
HTI,-0.2041573766762269,-0.8149621910610471,-0.6108,False,Caribbean
QAT,-0.2925227357505681,-0.9016528062876954,-0.6091,False,Western Asia
MUS,-0.2824311336291398,-0.8901636390843138,-0.6077,False,Eastern Africa
