partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
CAN,0.5359131137750952,-0.5750335777679773,-1.1109,True,Northern America,0.0392366435585671,0.6203133078147852,0.5811,-0.1629589684332675,0.470938191964773,0.6339
CZE,0.5830263104825196,-0.5123410702025856,-1.0954,True,Eastern Europe,-0.0389741881476978,0.5682961120613262,0.6073,-0.1494174735275256,0.4511995072554107,0.6006
AUS,0.4722774928735709,-0.5902230474174398,-1.0625,True,Australia and New Zealand,0.089173783412874,0.6358487729975004,0.5467,-0.0732579435758256,0.5043499447637217,0.5776
FSM,0.6350191816635824,-0.4195478615882401,-1.0546,False,Micronesia,-0.1800353713701296,0.475204233206615,0.6552,-0.3583790144112816,0.3386195598647419,0.697
GBR,0.5732133577239383,-0.477799609814118,-1.051,True,Northern Europe,-0.0375029300308674,0.5549225655250916,0.5924,-0.0838699347137854,0.4695671899524306,0.5534
NLD,0.4465942614792461,-0.6028958756311095,-1.0495,True,Western Europe,0.1177099306757013,0.655071579254023,0.5374,-0.0501412210563899,0.5103187909270492,0.5605
LTU,0.4976336056483027,-0.537854613369729,-1.0355,False,Northern Europe,0.0523155247447561,0.5942821770113149,0.542,-0.0125353052640974,0.501581869858515,0.5141
GEO,0.4182366672850057,-0.6143414839787381,-1.0326,False,Western Asia,0.1224840565799001,0.6443833370420678,0.5219,-0.102719272404656,0.4941858488253086,0.5969
DNK,0.450316740351265,-0.5750335777679773,-1.0254,True,Northern Europe,0.1153940991815643,0.6319079490823513,0.5165,-1.3877787807814457e-17,0.5000084507280307,0.5
DEU,0.4689559453881138,-0.5524832413849193,-1.0214,True,Western Europe,0.0909397723446283,0.6203133078147852,0.5294,-0.0498058245091752,0.5058225024806822,0.5556
SWE,0.4406788445201441,-0.5750335777679773,-1.0157,True,Northern Europe,0.1161507899069251,0.6319079490823513,0.5158,-0.0123692673998823,0.5116365542333337,0.524
ALB,0.4816304303986034,-0.5312161852311216,-1.0128,False,Southern Europe,0.0909397723446283,0.594824916595537,0.5039,-0.0249029122545876,0.4747984056539793,0.4997
ITA,0.4378079420081743,-0.5744573909315288,-1.0123,True,Southern Europe,0.1282156657572937,0.6433738724816298,0.5152,-0.0122886849955052,0.5220502573851423,0.5343
HRV,0.4624896567717966,-0.5484516685511791,-1.0109,False,Southern Europe,0.0658407893104341,0.6163207369910289,0.5505,-0.0757252288864236,0.4956457806583174,0.5714
SVK,0.4562814603776243,-0.5517066031718644,-1.008,True,Eastern Europe,0.0909397723446283,0.6199784589368433,0.529,-0.0249029122545876,0.4985873244689561,0.5235
HUN,0.5927733161687955,-0.4144781691526535,-1.0073,True,Eastern Europe,-0.0253164556962025,0.515018351555577,0.5403,-0.1213213484544885,0.4274521647682838,0.5488
EST,0.450316740351265,-0.5533559539462543,-1.0037,False,Northern Europe,0.0897509660301056,0.6100992338064328,0.5203,0.0245773699910104,0.5177276801374632,0.4932
ISL,0.3929090353251764,-0.6085835725710256,-1.0015,False,Northern Europe,0.2078623367877218,0.6667692860264163,0.4589,-0.0124514561272938,0.5103187909270492,0.5228
JPN,0.3399522514869683,-0.6597728450302706,-0.9997,True,Eastern Asia,0.2581128664598336,0.7077112597297925,0.4496,-0.0989541391990586,0.5044530576980026,0.6034
