broad_region,avg_p1_2024,median_p1_2024,n_countries_2024,avg_p1_2025,median_p1_2025,n_countries_2025,avg_p1_change,median_p1_change
Northern America,70.85,70.85,2,52.91,52.91,2,-17.94,-17.94
Africa,85.43,89.09,6,77.79,77.93,6,-7.64,-11.16
Eastern Asia,78.0,74.84,5,70.61,71.94,5,-7.39,-2.9
Western Asia,81.33,82.64,17,75.39,75.08,17,-5.94,-7.56
Southern Asia,84.69,84.65,8,78.88,81.38,8,-5.81,-3.28
Latin America & Caribbean,85.33,91.37,32,79.73,85.95,32,-5.6,-5.42
South-eastern Asia,87.54,88.67,11,82.47,82.41,11,-5.08,-6.27
Central Asia,85.1,82.91,5,80.83,78.8,5,-4.27,-4.11
Western Europe,72.85,72.39,9,69.44,69.23,9,-3.41,-3.17
Northern Europe,73.09,71.94,10,70.41,70.88,10,-2.69,-1.06
Eastern Europe,68.37,68.39,10,65.73,66.75,10,-2.64,-1.64
Southern Europe,70.38,72.06,14,68.86,70.31,14,-1.52,-1.75
Oceania,66.1,67.02,14,65.55,66.36,14,-0.55,-0.66
Sub-Saharan Africa,78.12,82.87,48,78.16,81.03,48,0.04,-1.85
