subregion,avg_p1_2024,n_countries_2024,avg_p1_2025,n_countries_2025,avg_p1_change
Northern America,70.8466482533676,2,52.90617076729214,2,-17.94
Caribbean,91.37802831218991,13,82.69009746774887,13,-8.69
Northern Africa,85.42825280002154,6,77.79202160051692,6,-7.64
Eastern Asia,78.00236229871716,5,70.60859670463148,5,-7.39
Southern Africa,84.82939163750339,5,77.92539098964883,5,-6.9
Western Asia,81.32629836209294,17,75.38573052407662,17,-5.94
Southern Asia,84.69195538264073,8,78.87744587328716,8,-5.81
South-eastern Asia,87.54467636490334,11,82.46690811011626,11,-5.08
South America,78.27362368624807,11,73.99227397988876,11,-4.28
Central Asia,85.10204271126577,5,80.83092924727649,5,-4.27
Western Europe,72.85358749779853,9,69.44370831938186,9,-3.41
Northern Europe,73.09331391715837,10,70.40581647047392,10,-2.69
Eastern Europe,68.36949452840565,10,65.7282025163501,10,-2.64
Western Africa,83.47023446628526,16,80.90247663768093,16,-2.57
Central America,85.20707174941222,8,82.80314812208269,8,-2.4
Polynesia,64.19978093282957,3,62.31241784957101,3,-1.89
Micronesia,64.87906527167026,5,63.30226716366718,5,-1.58
Southern Europe,70.38147115798681,14,68.86217988458819,14,-1.52
Australia and New Zealand,69.6982347767123,2,69.04137390808596,2,-0.66
Eastern Africa,76.12030968987749,18,75.68293318718403,18,-0.44
Melanesia,67.25277773983444,4,69.03312050098414,4,1.78
Middle Africa,67.6961035281864,9,78.35847324804044,9,10.66
