iso3,sim_change_vs_CHN,sim_change_vs_ISR,sim_change_vs_RUS,sim_change_vs_USA,p1_change,region,broad_region
CAN,0.5811,-0.5568,0.6339,-1.1109,-9.07,Northern America,Northern America
CZE,0.6073,-0.5367,0.6006,-1.0954,-4.14,Eastern Europe,Eastern Europe
AUS,0.5467,-0.4832,0.5776,-1.0625,3.55,Australia and New Zealand,Oceania
FSM,0.6552,-0.498,0.697,-1.0546,-10.57,Micronesia,Oceania
GBR,0.5924,-0.502,0.5534,-1.051,-6.39,Northern Europe,Northern Europe
NLD,0.5374,-0.5097,0.5605,-1.0495,1.3,Western Europe,Western Europe
LTU,0.542,-0.484,0.5141,-1.0355,-3.07,Northern Europe,Northern Europe
GEO,0.5219,-0.4615,0.5969,-1.0326,-0.44,Western Asia,Western Asia
DNK,0.5165,-0.4728,0.5,-1.0254,-2.34,Northern Europe,Northern Europe
DEU,0.5294,-0.4807,0.5556,-1.0214,2.02,Western Europe,Western Europe
SWE,0.5158,-0.4617,0.524,-1.0157,2.37,Northern Europe,Northern Europe
ALB,0.5039,-0.4358,0.4997,-1.0128,-1.06,Southern Europe,Southern Europe
ITA,0.5152,-0.4472,0.5343,-1.0123,-1.65,Southern Europe,Southern Europe
HRV,0.5505,-0.4725,0.5714,-1.0109,-2.63,Southern Europe,Southern Europe
SVK,0.529,-0.4749,0.5235,-1.008,-2.19,Eastern Europe,Eastern Europe
HUN,0.5403,-0.4282,0.5488,-1.0073,1.01,Eastern Europe,Eastern Europe
EST,0.5203,-0.4593,0.4932,-1.0037,-3.49,Northern Europe,Northern Europe
ISL,0.4589,-0.4353,0.5228,-1.0015,-2.17,Northern Europe,Northern Europe
JPN,0.4496,-0.3655,0.6034,-0.9997,-5.69,Eastern Asia,Eastern Asia
UKR,0.5361,-0.4508,0.5533,-0.9996,4.29,Eastern Europe,Eastern Europe
BEL,0.4955,-0.4443,0.5159,-0.9978,-2.25,Western Europe,Western Europe
FIN,0.5059,-0.444,0.5151,-0.9916,1.13,Northern Europe,Northern Europe
KOR,0.5092,-0.4379,0.4918,-0.9905,-2.82,Eastern Asia,Eastern Asia
FRA,0.5156,-0.4484,0.4949,-0.9873,-9.79,Western Europe,Western Europe
ROU,0.5457,-0.4585,0.5194,-0.9873,-0.44,Eastern Europe,Eastern Europe
MCO,0.4955,-0.4508,0.4998,-0.9861,-3.17,Western Europe,Western Europe
ESP,0.5051,-0.4487,0.5268,-0.9767,-0.74,Southern Europe,Southern Europe
POL,0.5127,-0.4512,0.4927,-0.9758,-4.03,Eastern Europe,Eastern Europe
LVA,0.4992,-0.4266,0.4856,-0.9753,-3.88,Northern Europe,Northern Europe
BGR,0.5171,-0.4172,0.522,-0.9737,1.27,Eastern Europe,Eastern Europe
LUX,0.5054,-0.4352,0.5152,-0.9693,-2.4,Western Europe,Western Europe
CHE,0.5251,-0.4589,0.608,-0.9692,-10.46,Western Europe,Western Europe
NOR,0.4452,-0.3984,0.5068,-0.9643,-2.42,Northern Europe,Northern Europe
MNE,0.5012,-0.4282,0.5103,-0.9616,-2.75,Southern Europe,Southern Europe
PRT,0.502,-0.4001,0.5391,-0.9603,-3.19,Southern Europe,Southern Europe
SVN,0.4961,-0.4282,0.5318,-0.9569,1.8,Southern Europe,Southern Europe
BIH,0.474,-0.3767,0.5666,-0.9549,4.25,Southern Europe,Southern Europe
AUT,0.5179,-0.4087,0.6495,-0.9398,-1.9,Western Europe,Western Europe
GRC,0.4868,-0.4033,0.5275,-0.9189,-1.8,Southern Europe,Southern Europe
MKD,0.4486,-0.3557,0.4733,-0.9182,5.38,Southern Europe,Southern Europe
MDA,0.5141,-0.3936,0.66,-0.9178,-5.87,Eastern Europe,Eastern Europe
NZL,0.4656,-0.3843,0.589,-0.9022,-4.86,Australia and New Zealand,Oceania
LIE,0.4929,-0.3938,0.6304,-0.8985,-4.06,Western Europe,Western Europe
SMR,0.463,-0.351,0.6009,-0.8862,-4.16,Southern Europe,Southern Europe
PLW,0.5038,-0.3414,0.6606,-0.8738,-6.96,Micronesia,Oceania
