Country,TopicTag,yes_pct_2024,votes_2024,yes_pct_2025,votes_2025,yes_pct_change
ARG,COMPUTER SCIENCE AND TECHNOLOGY,100.0,1.0,0.0,6.0,-100.0
ARG,ENERGY RESOURCES,100.0,1.0,0.0,3.0,-100.0
ARG,MINERAL RESOURCES,100.0,1.0,0.0,1.0,-100.0
ARG,PUBLIC FINANCE,100.0,1.0,0.0,3.0,-100.0
ARG,RECOMMENDATIONS,100.0,1.0,0.0,1.0,-100.0
ARG,TRADE RELATED FINANCE,100.0,1.0,0.0,1.0,-100.0
ARG,WATER,100.0,2.0,0.0,2.0,-100.0
ARG,WOMEN'S ADVANCEMENT,100.0,1.0,0.0,4.0,-100.0
ARG,GENERAL AND NATIONAL LAW,100.0,1.0,14.3,7.0,-85.7
ARG,ENVIRONMENT,100.0,3.0,28.6,14.0,-71.4
ARG,DEVELOPMENT FINANCE,50.0,2.0,0.0,7.0,-50.0
ARG,LAW OF THE SEA,100.0,1.0,50.0,2.0,-50.0
ARG,SCIENCE AND TECHNOLOGY,75.0,8.0,31.2,16.0,-43.8
ARG,DISCRIMINATION,66.7,9.0,25.0,8.0,-41.7
ARG,NATURAL RESOURCES AND THE ENVIRONMENT,71.4,7.0,31.6,19.0,-39.8
ARG,ECONOMIC CONDITIONS,50.0,2.0,12.5,8.0,-37.5
ARG,HUMAN RIGHTS,52.9,17.0,16.7,18.0,-36.2
ARG,INTERNATIONAL LAW,54.5,11.0,19.0,42.0,-35.5
ARG,SOCIAL CONDITIONS AND EQUITY,45.0,20.0,15.6,32.0,-29.4
ARG,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,40.0,10.0,12.5,32.0,-27.5
ARG,MARINE RESOURCES,66.7,3.0,40.0,5.0,-26.7
ARG,SPACE SCIENCES,66.7,3.0,40.0,5.0,-26.7
ARG,POLITICAL EVENTS AND ISSUES,43.8,16.0,25.0,20.0,-18.8
ARG,INTERNATIONAL TRADE,33.3,3.0,16.7,6.0,-16.6
ARG,DEVELOPMENT,28.6,7.0,12.9,31.0,-15.7
ARG,POLITICAL AND LEGAL QUESTIONS,46.2,80.0,32.8,116.0,-13.4
ARG,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,33.3,3.0,20.0,5.0,-13.3
ARG,INTERNATIONAL RELATIONS,38.7,31.0,27.8,36.0,-10.9
ARG,MAINTENANCE OF PEACE AND SECURITY,38.7,31.0,27.9,43.0,-10.8
ARG,NUCLEAR SCIENCE,75.0,4.0,66.7,3.0,-8.3
ARG,DISARMAMENT AND MILITARY QUESTIONS,48.8,41.0,43.9,41.0,-4.9
ARG,SOCIAL DEVELOPMENT,12.5,8.0,9.5,21.0,-3.0
ARG,ECONOMIC THEORY,0.0,1.0,0.0,1.0,0.0
ARG,POLLUTION,66.7,3.0,66.7,3.0,0.0
ARG,TAXATION,0.0,1.0,0.0,1.0,0.0
ARG,WILDLIFE,100.0,1.0,100.0,2.0,0.0
ARG,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,20.0,5.0,25.0,8.0,5.0
ARG,WELFARE AND SOCIAL SERVICES,0.0,2.0,8.3,12.0,8.3
ARG,RESOURCES (GENERAL),0.0,1.0,14.3,7.0,14.3
ARG,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,0.0,1.0,16.7,6.0,16.7
ARG,HUMANITARIAN AID AND RELIEF,20.0,5.0,41.7,12.0,21.7
ARG,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,25.0,4.0,
ARG,BANKING AND INVESTMENT,,,0.0,3.0,
ARG,COMMODITIES,,,0.0,1.0,
ARG,COMMUNICATION AND MASS MEDIA,,,50.0,2.0,
ARG,COMPREHENSIVE HEALTH SERVICES,,,0.0,3.0,
ARG,CONSUMERS AND COOPERATIVES,,,0.0,2.0,
ARG,CRIME AND CRIMINAL JUSTICE,,,0.0,1.0,
ARG,CULTURAL DEVELOPMENT,,,0.0,2.0,
ARG,CULTURE,,,25.0,4.0,
ARG,DISEASE PREVENTION AND CONTROL,,,0.0,4.0,
ARG,DISEASES AND CARRIERS OF DISEASES,,,0.0,4.0,
ARG,EDUCATION,,,0.0,3.0,
ARG,EDUCATIONAL POLICY AND PLANNING,,,0.0,3.0,
ARG,EMPLOYMENT,,,0.0,2.0,
ARG,EMPLOYMENT PROMOTION AND PLANNING,,,0.0,1.0,
ARG,HEALTH,,,0.0,5.0,
ARG,HOUSING,,,0.0,1.0,
ARG,HUMAN SETTLEMENTS,,,0.0,2.0,
ARG,INTERNATIONAL TRADE LAW,100.0,1.0,,,
ARG,LANGUAGE,,,100.0,1.0,
ARG,LAW OF WAR,,,0.0,1.0,
ARG,MONETARY ISSUES,,,0.0,1.0,
ARG,PERSONS WITH DISABILITIES,,,0.0,1.0,
ARG,PSYCHOLOGY,,,0.0,1.0,
ARG,SETTLEMENT PLANNING,,,0.0,1.0,
ARG,SPECIAL CATEGORIES OF WORKERS,,,0.0,2.0,
ARG,SPECIAL HUMANITARIAN OPERATIONS,,,66.7,3.0,
ARG,TELECOMMUNICATIONS,,,0.0,1.0,
ARG,TRADE IN COMMODITIES,,,0.0,1.0,
ARG,TRADE IN MANUFACTURES; BARRIERS TO TRADE,,,33.3,3.0,
ARG,TRANSPORT AND COMMUNICATIONS,,,0.0,3.0,
ARG,TRANSPORT POLICY AND PLANNING,,,0.0,2.0,
AUS,TRADE RELATED FINANCE,100.0,1.0,0.0,1.0,-100.0
AUS,PUBLIC FINANCE,100.0,1.0,25.0,4.0,-75.0
AUS,WELFARE AND SOCIAL SERVICES,100.0,2.0,92.9,14.0,-7.1
AUS,SPACE SCIENCES,66.7,3.0,60.0,5.0,-6.7
AUS,HUMANITARIAN AID AND RELIEF,100.0,5.0,93.8,16.0,-6.2
AUS,COMPUTER SCIENCE AND TECHNOLOGY,100.0,1.0,100.0,6.0,0.0
AUS,ENERGY RESOURCES,100.0,1.0,100.0,3.0,0.0
AUS,ENVIRONMENT,100.0,3.0,100.0,25.0,0.0
AUS,GENERAL AND NATIONAL LAW,100.0,1.0,100.0,8.0,0.0
AUS,LAW OF THE SEA,100.0,1.0,100.0,2.0,0.0
AUS,MARINE RESOURCES,100.0,3.0,100.0,7.0,0.0
AUS,MINERAL RESOURCES,100.0,1.0,100.0,1.0,0.0
AUS,NATURAL RESOURCES AND THE ENVIRONMENT,100.0,7.0,100.0,30.0,0.0
AUS,POLLUTION,100.0,3.0,100.0,3.0,0.0
AUS,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,100.0,5.0,100.0,8.0,0.0
AUS,RECOMMENDATIONS,100.0,1.0,100.0,1.0,0.0
AUS,RESOURCES (GENERAL),100.0,1.0,100.0,9.0,0.0
AUS,TAXATION,0.0,1.0,0.0,1.0,0.0
AUS,WATER,100.0,2.0,100.0,2.0,0.0
AUS,WILDLIFE,100.0,1.0,100.0,4.0,0.0
AUS,WOMEN'S ADVANCEMENT,100.0,1.0,100.0,4.0,0.0
AUS,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,33.3,3.0,40.0,5.0,6.7
AUS,DISCRIMINATION,55.6,9.0,62.5,8.0,6.9
AUS,DISARMAMENT AND MILITARY QUESTIONS,53.7,41.0,61.9,42.0,8.2
AUS,INTERNATIONAL LAW,63.6,11.0,72.7,44.0,9.1
AUS,SCIENCE AND TECHNOLOGY,75.0,8.0,87.5,16.0,12.5
AUS,DEVELOPMENT FINANCE,50.0,2.0,63.6,11.0,13.6
AUS,POLITICAL AND LEGAL QUESTIONS,58.8,80.0,72.5,131.0,13.7
AUS,INTERNATIONAL TRADE,33.3,3.0,50.0,6.0,16.7
AUS,INTERNATIONAL RELATIONS,54.8,31.0,72.9,48.0,18.1
AUS,POLITICAL EVENTS AND ISSUES,56.2,16.0,76.2,21.0,20.0
AUS,HUMAN RIGHTS,58.8,17.0,78.9,19.0,20.1
AUS,MAINTENANCE OF PEACE AND SECURITY,51.6,31.0,74.5,47.0,22.9
AUS,NUCLEAR SCIENCE,75.0,4.0,100.0,3.0,25.0
AUS,SOCIAL CONDITIONS AND EQUITY,60.0,20.0,85.7,35.0,25.7
AUS,SOCIAL DEVELOPMENT,62.5,8.0,91.7,24.0,29.2
AUS,ECONOMIC CONDITIONS,50.0,2.0,81.8,11.0,31.8
AUS,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,40.0,10.0,82.2,45.0,42.2
AUS,DEVELOPMENT,28.6,7.0,84.1,44.0,55.5
AUS,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,0.0,1.0,100.0,6.0,100.0
AUS,ECONOMIC THEORY,0.0,1.0,100.0,1.0,100.0
AUS,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,83.3,6.0,
AUS,BANKING AND INVESTMENT,,,66.7,3.0,
AUS,COMMODITIES,,,100.0,1.0,
AUS,COMMUNICATION AND MASS MEDIA,,,100.0,2.0,
AUS,COMPREHENSIVE HEALTH SERVICES,,,100.0,3.0,
AUS,CONSUMERS AND COOPERATIVES,,,100.0,2.0,
AUS,CRIME AND CRIMINAL JUSTICE,,,100.0,1.0,
AUS,CROP MANAGEMENT,,,100.0,1.0,
AUS,CULTURAL DEVELOPMENT,,,66.7,3.0,
AUS,CULTURE,,,87.5,8.0,
AUS,DISEASE PREVENTION AND CONTROL,,,100.0,4.0,
AUS,DISEASES AND CARRIERS OF DISEASES,,,100.0,4.0,
AUS,EDUCATION,,,100.0,3.0,
AUS,EDUCATIONAL POLICY AND PLANNING,,,100.0,3.0,
AUS,EMPLOYMENT,,,100.0,2.0,
AUS,EMPLOYMENT PROMOTION AND PLANNING,,,100.0,1.0,
AUS,FOOD AND NUTRITION,,,100.0,2.0,
AUS,FORESTRY,,,100.0,1.0,
AUS,GEOGRAPHY,,,100.0,1.0,
AUS,HEALTH,,,100.0,7.0,
AUS,HOUSING,,,100.0,1.0,
AUS,HUMAN SETTLEMENTS,,,100.0,2.0,
AUS,INTERNATIONAL TRADE LAW,100.0,1.0,,,
AUS,LAND FORMS AND ECOSYSTEMS,,,100.0,1.0,
AUS,LAND TRANSPORT,,,100.0,1.0,
AUS,LANGUAGE,,,100.0,1.0,
AUS,LAW OF WAR,,,100.0,1.0,
AUS,MONETARY ISSUES,,,0.0,1.0,
AUS,PERSONS WITH DISABILITIES,,,100.0,1.0,
AUS,PHILOSOPHY AND RELIGION,,,100.0,3.0,
AUS,PSYCHOLOGY,,,100.0,1.0,
AUS,SETTLEMENT PLANNING,,,100.0,1.0,
AUS,SPECIAL CATEGORIES OF WORKERS,,,100.0,2.0,
AUS,SPECIAL ECONOMIC AREAS,,,100.0,1.0,
AUS,SPECIAL HUMANITARIAN OPERATIONS,,,80.0,5.0,
AUS,STATISTICS,,,100.0,1.0,
AUS,TELECOMMUNICATIONS,,,100.0,1.0,
AUS,TRADE IN COMMODITIES,,,100.0,1.0,
AUS,TRADE IN MANUFACTURES; BARRIERS TO TRADE,,,66.7,3.0,
AUS,TRANSPORT AND COMMUNICATIONS,,,100.0,4.0,
AUS,TRANSPORT POLICY AND PLANNING,,,100.0,3.0,
BLR,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,100.0,1.0,66.7,6.0,-33.3
BLR,POLLUTION,100.0,3.0,66.7,3.0,-33.3
BLR,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,100.0,3.0,80.0,5.0,-20.0
BLR,INTERNATIONAL TRADE,100.0,3.0,83.3,6.0,-16.7
BLR,RESOURCES (GENERAL),100.0,1.0,88.9,9.0,-11.1
BLR,ECONOMIC CONDITIONS,100.0,2.0,90.9,11.0,-9.1
BLR,NUCLEAR SCIENCE,75.0,4.0,66.7,3.0,-8.3
BLR,ENVIRONMENT,100.0,3.0,92.0,25.0,-8.0
BLR,WELFARE AND SOCIAL SERVICES,100.0,2.0,92.9,14.0,-7.1
BLR,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,80.0,5.0,75.0,8.0,-5.0
BLR,DEVELOPMENT,100.0,7.0,95.5,44.0,-4.5
BLR,MAINTENANCE OF PEACE AND SECURITY,73.3,30.0,70.2,47.0,-3.1
BLR,DEVELOPMENT FINANCE,100.0,2.0,100.0,11.0,0.0
BLR,ECONOMIC THEORY,100.0,1.0,100.0,1.0,0.0
BLR,LAW OF THE SEA,100.0,1.0,100.0,2.0,0.0
BLR,MARINE RESOURCES,100.0,3.0,100.0,7.0,0.0
BLR,MINERAL RESOURCES,100.0,1.0,100.0,1.0,0.0
BLR,RECOMMENDATIONS,100.0,1.0,100.0,1.0,0.0
BLR,TAXATION,100.0,1.0,100.0,1.0,0.0
BLR,TRADE RELATED FINANCE,100.0,1.0,100.0,1.0,0.0
BLR,WATER,100.0,2.0,100.0,2.0,0.0
BLR,WILDLIFE,100.0,1.0,100.0,4.0,0.0
BLR,HUMANITARIAN AID AND RELIEF,80.0,5.0,81.2,16.0,1.2
BLR,SOCIAL DEVELOPMENT,87.5,8.0,91.7,24.0,4.2
BLR,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,90.0,10.0,95.6,45.0,5.6
BLR,NATURAL RESOURCES AND THE ENVIRONMENT,85.7,7.0,93.3,30.0,7.6
BLR,INTERNATIONAL RELATIONS,66.7,30.0,76.6,47.0,9.9
BLR,POLITICAL AND LEGAL QUESTIONS,64.6,79.0,76.9,130.0,12.3
BLR,DISARMAMENT AND MILITARY QUESTIONS,58.5,41.0,71.4,42.0,12.9
BLR,SCIENCE AND TECHNOLOGY,50.0,8.0,68.8,16.0,18.8
BLR,HUMAN RIGHTS,64.7,17.0,84.2,19.0,19.5
BLR,DISCRIMINATION,66.7,9.0,87.5,8.0,20.8
BLR,SOCIAL CONDITIONS AND EQUITY,70.0,20.0,91.4,35.0,21.4
BLR,POLITICAL EVENTS AND ISSUES,43.8,16.0,66.7,21.0,22.9
BLR,INTERNATIONAL LAW,45.5,11.0,75.0,44.0,29.5
BLR,COMPUTER SCIENCE AND TECHNOLOGY,0.0,1.0,33.3,6.0,33.3
BLR,SPACE SCIENCES,33.3,3.0,100.0,5.0,66.7
BLR,GENERAL AND NATIONAL LAW,0.0,1.0,87.5,8.0,87.5
BLR,ENERGY RESOURCES,0.0,1.0,100.0,3.0,100.0
BLR,PUBLIC FINANCE,0.0,1.0,100.0,4.0,100.0
BLR,WOMEN'S ADVANCEMENT,0.0,1.0,100.0,4.0,100.0
BLR,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,83.3,6.0,
BLR,BANKING AND INVESTMENT,,,100.0,3.0,
BLR,COMMODITIES,,,100.0,1.0,
BLR,COMMUNICATION AND MASS MEDIA,,,100.0,2.0,
BLR,COMPREHENSIVE HEALTH SERVICES,,,66.7,3.0,
BLR,CONSUMERS AND COOPERATIVES,,,100.0,2.0,
BLR,CRIME AND CRIMINAL JUSTICE,,,100.0,1.0,
BLR,CROP MANAGEMENT,,,100.0,1.0,
BLR,CULTURAL DEVELOPMENT,,,100.0,3.0,
BLR,CULTURE,,,100.0,8.0,
BLR,DISEASE PREVENTION AND CONTROL,,,100.0,4.0,
BLR,DISEASES AND CARRIERS OF DISEASES,,,100.0,4.0,
BLR,EDUCATION,,,66.7,3.0,
BLR,EDUCATIONAL POLICY AND PLANNING,,,66.7,3.0,
BLR,EMPLOYMENT,,,100.0,2.0,
BLR,EMPLOYMENT PROMOTION AND PLANNING,,,100.0,1.0,
BLR,FOOD AND NUTRITION,,,100.0,2.0,
BLR,FORESTRY,,,100.0,1.0,
BLR,GEOGRAPHY,,,100.0,1.0,
BLR,HEALTH,,,85.7,7.0,
BLR,HOUSING,,,100.0,1.0,
BLR,HUMAN SETTLEMENTS,,,100.0,2.0,
BLR,INTERNATIONAL TRADE LAW,0.0,1.0,,,
BLR,LAND FORMS AND ECOSYSTEMS,,,100.0,1.0,
BLR,LAND TRANSPORT,,,100.0,1.0,
BLR,LANGUAGE,,,100.0,1.0,
BLR,LAW OF WAR,,,0.0,1.0,
BLR,MONETARY ISSUES,,,100.0,1.0,
BLR,PERSONS WITH DISABILITIES,,,100.0,1.0,
BLR,PHILOSOPHY AND RELIGION,,,100.0,3.0,
BLR,PSYCHOLOGY,,,100.0,1.0,
BLR,SETTLEMENT PLANNING,,,100.0,1.0,
BLR,SPECIAL CATEGORIES OF WORKERS,,,100.0,2.0,
BLR,SPECIAL ECONOMIC AREAS,,,100.0,1.0,
BLR,SPECIAL HUMANITARIAN OPERATIONS,,,80.0,5.0,
BLR,STATISTICS,,,100.0,1.0,
BLR,TELECOMMUNICATIONS,,,100.0,1.0,
BLR,TRADE IN COMMODITIES,,,100.0,1.0,
BLR,TRADE IN MANUFACTURES; BARRIERS TO TRADE,,,66.7,3.0,
BLR,TRANSPORT AND COMMUNICATIONS,,,100.0,4.0,
BLR,TRANSPORT POLICY AND PLANNING,,,100.0,3.0,
BOL,MAINTENANCE OF PEACE AND SECURITY,89.7,29.0,50.0,2.0,-39.7
BOL,INTERNATIONAL LAW,81.8,11.0,66.7,3.0,-15.1
BOL,POLITICAL AND LEGAL QUESTIONS,87.0,77.0,85.7,7.0,-1.3
BOL,COMPUTER SCIENCE AND TECHNOLOGY,100.0,1.0,100.0,1.0,0.0
BOL,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,100.0,1.0,100.0,2.0,0.0
BOL,DEVELOPMENT FINANCE,100.0,2.0,100.0,10.0,0.0
BOL,ECONOMIC CONDITIONS,100.0,2.0,100.0,8.0,0.0
BOL,ECONOMIC THEORY,100.0,1.0,100.0,1.0,0.0
BOL,ENVIRONMENT,100.0,3.0,100.0,14.0,0.0
BOL,GENERAL AND NATIONAL LAW,100.0,1.0,100.0,1.0,0.0
BOL,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,100.0,3.0,100.0,3.0,0.0
BOL,HUMANITARIAN AID AND RELIEF,100.0,4.0,100.0,1.0,0.0
BOL,INTERNATIONAL TRADE,100.0,3.0,100.0,4.0,0.0
BOL,MARINE RESOURCES,100.0,3.0,100.0,3.0,0.0
BOL,POLLUTION,100.0,3.0,100.0,1.0,0.0
BOL,PUBLIC FINANCE,100.0,1.0,100.0,4.0,0.0
BOL,RESOURCES (GENERAL),100.0,1.0,100.0,7.0,0.0
BOL,SOCIAL DEVELOPMENT,100.0,7.0,100.0,3.0,0.0
BOL,TAXATION,100.0,1.0,100.0,1.0,0.0
BOL,TRADE RELATED FINANCE,100.0,1.0,100.0,1.0,0.0
BOL,WELFARE AND SOCIAL SERVICES,100.0,2.0,100.0,4.0,0.0
BOL,WILDLIFE,100.0,1.0,100.0,1.0,0.0
BOL,WOMEN'S ADVANCEMENT,100.0,1.0,100.0,1.0,0.0
BOL,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,90.0,10.0,100.0,32.0,10.0
BOL,SOCIAL CONDITIONS AND EQUITY,88.9,18.0,100.0,5.0,11.1
BOL,HUMAN RIGHTS,86.7,15.0,100.0,1.0,13.3
BOL,DEVELOPMENT,85.7,7.0,100.0,31.0,14.3
BOL,NATURAL RESOURCES AND THE ENVIRONMENT,85.7,7.0,100.0,16.0,14.3
BOL,POLITICAL EVENTS AND ISSUES,85.7,14.0,100.0,1.0,14.3
BOL,INTERNATIONAL RELATIONS,79.3,29.0,100.0,4.0,20.7
BOL,SCIENCE AND TECHNOLOGY,75.0,8.0,100.0,2.0,25.0
BOL,ENERGY RESOURCES,0.0,1.0,100.0,2.0,100.0
BOL,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,,,100.0,2.0,
BOL,BANKING AND INVESTMENT,,,100.0,3.0,
BOL,COMMODITIES,,,100.0,1.0,
BOL,CONSUMERS AND COOPERATIVES,,,100.0,1.0,
