iso3,year,p1_score,yes,no,abstain,total
ARG,2015,88.41058401831894,72,0,6,78
ARG,2016,96.73792544081697,74,0,7,81
ARG,2017,93.52959782886565,84,0,10,94
ARG,2018,85.84614305113439,93,0,14,107
ARG,2019,85.67796134562981,89,0,11,100
ARG,2020,85.3384565625698,90,0,10,100
ARG,2021,82.01706587558012,76,0,10,86
ARG,2022,92.12919931032202,81,0,8,89
ARG,2023,93.37113797944146,80,0,8,88
ARG,2024,23.14505530692309,42,38,15,95
ARG,2025,0.0,42,84,29,155
AUS,2015,45.664881900477575,35,22,21,78
AUS,2016,57.949107927813685,42,20,18,80
AUS,2017,58.01459471447657,48,24,22,94
AUS,2018,54.13477244506763,54,31,21,106
AUS,2019,39.48416774898323,44,28,27,99
AUS,2020,29.004146055276756,54,27,19,100
AUS,2021,21.370945492502845,41,25,20,86
AUS,2022,44.07874305944281,50,24,15,89
AUS,2023,64.44923556417247,50,24,14,88
AUS,2024,62.50928784168977,56,22,17,95
AUS,2025,66.05664129511304,152,20,20,192
BRA,2015,90.0275033793646,75,0,3,78
BRA,2016,93.55784107521754,76,0,4,80
BRA,2017,91.84607335257375,85,0,8,93
BRA,2018,77.67938053248925,93,0,14,107
BRA,2019,60.09829989473451,72,7,20,99
BRA,2020,46.85572571703489,77,7,16,100
BRA,2021,30.27840886070573,63,3,19,85
BRA,2022,70.12907889652003,65,2,21,88
BRA,2023,61.83289810811308,78,0,8,86
BRA,2024,64.89727479089274,84,0,10,94
BRA,2025,73.97749119482957,183,0,9,192
CAN,2015,54.45673885721448,26,38,13,77
CAN,2016,54.17004303268215,35,32,14,81
CAN,2017,57.44609796669428,40,33,21,94
CAN,2018,52.14226403018465,54,33,20,107
CAN,2019,48.496976643389694,48,31,21,100
CAN,2020,38.21383420486662,53,31,16,100
CAN,2021,32.216076947256276,41,27,17,85
CAN,2022,59.8846125317412,44,30,15,89
CAN,2023,73.51796348278701,45,28,15,88
CAN,2024,69.66649955980394,51,23,21,95
CAN,2025,60.59912146833135,148,23,21,192
CHN,2015,73.35551400030282,60,6,11,77
CHN,2016,75.28590240119169,59,8,13,80
CHN,2017,74.6399527221398,78,8,8,94
CHN,2018,71.79000300392566,82,10,13,105
CHN,2019,69.01370990918562,79,11,8,98
CHN,2020,72.40467259945282,77,12,9,98
CHN,2021,55.03500964286735,67,12,7,86
CHN,2022,65.60145247235593,63,14,11,88
CHN,2023,75.17851943645611,62,11,14,87
CHN,2024,74.83514343032589,68,11,15,94
CHN,2025,63.09077672454289,167,7,18,192
DEU,2015,46.3184842979144,40,18,18,76
DEU,2016,56.30762718775273,49,17,15,81
DEU,2017,60.819141085513294,55,18,21,94
DEU,2018,59.54291912460609,71,20,16,107
DEU,2019,52.63768499670104,56,20,24,100
DEU,2020,41.855864568296816,62,23,15,100
DEU,2021,28.18674753120693,50,19,17,86
DEU,2022,52.65691014806118,55,23,11,89
DEU,2023,69.22242425310563,51,21,16,88
DEU,2024,66.94778672453094,53,22,19,94
DEU,2025,68.9720790045068,148,23,21,192
EGY,2015,82.41215261411566,66,2,9,77
EGY,2016,85.46881101750084,67,3,11,81
EGY,2017,85.81120642750234,82,0,10,92
EGY,2018,74.24883311076272,86,3,17,106
EGY,2019,76.65791173734718,86,2,12,100
EGY,2020,77.12741997053502,85,2,13,100
EGY,2021,65.54694211399425,70,1,15,86
EGY,2022,76.6451539372358,71,2,16,89
EGY,2023,88.00671885903627,70,1,17,88
EGY,2024,90.82054645748354,78,2,15,95
EGY,2025,78.17675045357859,173,1,16,190
FRA,2015,54.592874522812245,36,22,20,78
FRA,2016,58.267998519339926,42,20,18,80
FRA,2017,64.57206244467018,51,23,19,93
FRA,2018,62.69236685534841,64,24,19,107
FRA,2019,56.434830203156864,52,23,25,100
FRA,2020,48.75630214155082,57,24,19,100
FRA,2021,31.923287963009088,47,24,13,84
FRA,2022,53.20672176906307,52,22,15,89
FRA,2023,70.86607386549989,48,26,14,88
FRA,2024,71.49866126262691,50,26,19,95
FRA,2025,61.708363137154656,142,28,22,192
GBR,2015,51.00642228791755,36,26,16,78
GBR,2016,60.372268778508754,43,25,13,81
GBR,2017,64.16774550645,51,28,14,93
GBR,2018,57.338870807635615,64,29,14,107
GBR,2019,53.72975675768664,51,30,19,100
GBR,2020,42.19117529741006,59,28,13,100
GBR,2021,19.241958639434493,45,30,11,86
GBR,2022,48.360763121880915,52,28,9,89
GBR,2023,62.017798106945754,47,32,8,87
GBR,2024,69.38444719262182,49,32,14,95
GBR,2025,62.99908763563707,141,31,20,192
HUN,2015,48.38221192304376,41,17,20,78
HUN,2016,56.10949811041846,50,17,14,81
HUN,2017,56.905855046690625,54,18,22,94
HUN,2018,56.74816300533424,65,26,16,107
HUN,2019,46.13775922894473,54,24,22,100
HUN,2020,32.53626928487269,56,27,17,100
HUN,2021,13.181432716109958,46,23,17,86
HUN,2022,43.71173863130729,52,27,10,89
HUN,2023,61.96402099289527,49,26,13,88
HUN,2024,65.28770363106399,48,31,16,95
HUN,2025,66.29734122442508,131,33,28,192
IND,2015,77.23959173434676,59,3,16,78
IND,2016,80.71818476888996,61,5,14,80
IND,2017,81.61198183151254,75,5,14,94
IND,2018,76.04844468822722,86,6,15,107
IND,2019,76.89022002834268,80,5,15,100
IND,2020,76.83179373882385,77,6,17,100
IND,2021,51.86243393272812,60,5,20,85
IND,2022,60.82926517021438,61,4,24,89
IND,2023,76.10909254107831,61,5,21,87
IND,2024,77.67540159324216,66,4,25,95
IND,2025,71.7844553700437,161,5,26,192
ISR,2015,59.45691418566135,15,51,12,78
ISR,2016,67.92004001283382,19,46,14,79
ISR,2017,63.14063930589475,18,64,9,91
ISR,2018,61.39932639637637,22,64,14,100
ISR,2019,55.09795894204587,22,66,8,96
ISR,2020,49.102238002781085,23,62,14,99
ISR,2021,35.18336098454225,22,51,11,84
ISR,2022,45.44014368183303,27,47,12,86
ISR,2023,65.16262672864276,26,52,10,88
ISR,2024,67.91796576349907,24,54,15,93
ISR,2025,59.54097469129566,20,98,27,145
JPN,2015,53.60135669226352,46,9,23,78
JPN,2016,57.95989596586485,53,9,19,81
JPN,2017,59.59800442842474,59,10,24,93
JPN,2018,59.76367813387433,73,12,22,107
JPN,2019,57.74309658931404,61,11,28,100
JPN,2020,45.273216964527094,71,12,17,100
JPN,2021,35.34673641087147,54,11,19,84
JPN,2022,58.17400394126184,58,14,17,89
JPN,2023,76.84552451717228,57,13,18,88
JPN,2024,78.39186839647661,61,15,19,95
JPN,2025,72.70649911515915,156,12,24,192
MEX,2015,83.21364091111228,73,0,5,78
MEX,2016,86.81557459013123,75,0,6,81
MEX,2017,69.7739333473941,75,0,19,94
MEX,2018,63.125628142138545,89,0,18,107
MEX,2019,69.2557735796848,86,1,13,100
MEX,2020,64.3754097790982,88,0,12,100
MEX,2021,64.37378136611402,76,0,10,86
MEX,2022,83.7648155978678,77,0,12,89
MEX,2023,84.90593393881385,81,0,7,88
MEX,2024,87.99263574265248,84,0,10,94
MEX,2025,86.31413215355582,188,0,4,192
NGA,2015,81.93078640894531,71,1,4,76
NGA,2016,86.96866061429405,72,0,7,79
NGA,2017,82.98204276656882,84,0,5,89
NGA,2018,73.14397020326174,81,0,13,94
NGA,2019,72.76897723160188,90,0,5,95
NGA,2020,65.78314816346025,88,0,11,99
NGA,2021,53.16453372353255,77,0,7,84
NGA,2022,75.5651735742766,68,1,9,78
NGA,2023,80.85447867151845,64,1,9,74
NGA,2024,83.90155089503978,78,0,10,88
NGA,2025,78.36767126447836,151,0,10,161
PRY,2015,57.69468083811197,59,0,17,76
PRY,2016,95.42993661320054,60,0,20,80
PRY,2017,94.43120216809264,72,0,22,94
PRY,2018,65.57763849524045,86,0,12,98
PRY,2019,52.99621561261055,90,1,7,98
PRY,2020,57.98296972667992,91,0,8,99
PRY,2021,77.92897596687159,79,0,7,86
PRY,2022,92.6811832915806,81,0,8,89
PRY,2023,89.20543507985164,74,2,12,88
PRY,2024,57.80887715375432,62,8,24,94
PRY,2025,46.71355263927356,113,29,49,191
RUS,2015,58.5486161048603,46,17,15,78
RUS,2016,65.61438330286676,47,19,15,81
RUS,2017,71.88638087153215,64,17,13,94
RUS,2018,75.89122268049294,69,19,19,107
RUS,2019,66.0109163086571,64,20,12,96
RUS,2020,60.52812939168851,66,19,15,100
RUS,2021,34.45441809575375,52,21,13,86
RUS,2022,49.85757768728377,49,23,17,89
RUS,2023,56.379552342918686,45,31,12,88
RUS,2024,61.11295326055253,53,33,9,95
RUS,2025,59.03201439871789,142,31,19,192
SAU,2015,81.30906460690836,71,0,7,78
SAU,2016,87.03105886838475,73,2,6,81
SAU,2017,86.90001907169122,89,0,4,93
SAU,2018,82.62366079667694,96,2,9,107
SAU,2019,79.11609536235294,88,1,10,99
SAU,2020,78.03375907711889,90,2,8,100
SAU,2021,60.31352115140072,75,1,10,86
SAU,2022,79.40355604664111,72,2,13,87
SAU,2023,73.14888096668818,64,1,22,87
SAU,2024,77.45534870984353,77,2,15,94
SAU,2025,75.00789069888214,170,1,19,190
SYR,2015,75.91333296306635,59,6,13,78
SYR,2016,75.1370874115436,58,10,12,80
SYR,2017,73.1890575546537,75,8,10,93
SYR,2018,64.64761085686807,79,11,12,102
SYR,2019,62.715168852944615,73,13,8,94
SYR,2020,60.28846085884417,76,11,9,96
SYR,2021,42.63093958862662,59,13,12,84
SYR,2022,54.370483069391234,55,18,14,87
SYR,2023,64.2640605602131,55,17,15,87
SYR,2024,70.05488453042271,54,13,7,74
SYR,2025,51.91883139638871,85,1,7,93
TUR,2015,52.78046276559417,48,14,14,76
TUR,2016,56.894808661598226,54,15,11,80
TUR,2017,59.21444411146966,60,16,17,93
TUR,2018,63.21780245602682,76,15,15,106
TUR,2019,53.98792078743865,67,15,17,99
TUR,2020,46.722154860004295,73,15,11,99
TUR,2021,29.830551216495525,56,15,14,85
TUR,2022,59.19846491388358,61,16,9,86
TUR,2023,72.66241287191887,55,16,14,85
TUR,2024,73.44841257967595,60,16,16,92
TUR,2025,69.60238970041337,151,16,21,188
UKR,2015,52.945775519187215,44,12,20,76
UKR,2016,60.37509129009727,49,12,17,78
UKR,2017,61.47494703423329,53,17,22,92
UKR,2018,60.92256956836424,66,16,19,101
UKR,2019,52.647319070532006,52,18,27,97
UKR,2020,46.96211989042023,59,16,23,98
UKR,2021,33.74569493214862,47,17,20,84
UKR,2022,57.31158533487809,50,18,15,83
UKR,2023,58.72231976605473,47,23,17,87
UKR,2024,62.71547262060756,47,21,26,94
UKR,2025,67.0062107148359,135,25,28,188
USA,2015,67.78461817675519,18,50,10,78
USA,2016,69.01507766541904,23,47,11,81
USA,2017,66.29380521583388,18,66,10,94
USA,2018,53.22980112350591,21,76,10,107
USA,2019,51.94217358120171,20,72,8,100
USA,2020,54.54264442026115,21,69,10,100
USA,2021,35.18631150984761,24,52,9,85
USA,2022,44.87992874775005,33,47,9,89
USA,2023,63.34760560106664,30,49,9,88
USA,2024,72.02679694693127,32,51,11,94
USA,2025,45.21322006625293,10,174,8,192
ZAF,2015,83.91199296130858,72,1,5,78
ZAF,2016,82.29920269078305,70,2,7,79
ZAF,2017,81.32319079250881,83,3,7,93
ZAF,2018,77.05887230985518,95,2,8,105
ZAF,2019,79.36920436825193,89,0,7,96
ZAF,2020,74.89540025990497,90,0,9,99
ZAF,2021,68.64902749089279,76,0,8,84
ZAF,2022,75.80256007736418,73,1,14,88
ZAF,2023,83.46367608894317,71,1,13,85
ZAF,2024,85.24926786006867,86,1,8,95
ZAF,2025,81.27879419289393,182,1,9,192
