Year,Avg_P1
1946,50.0
1947,50.0
1948,50.0
1949,48.8
1950,56.66
1951,43.09
1952,56.52
1953,79.02
1954,50.0
1955,50.0
1956,50.0
1957,66.53
1958,64.52
1959,63.62
1960,50.0
1961,49.39
1962,39.14
1963,40.89
1965,50.0
1966,50.0
1967,50.0
1968,51.04
1969,53.05
1970,57.98
1971,64.61
1972,56.11
1973,49.71
1974,59.12
1975,67.86
1976,66.16
1977,69.79
1978,63.54
1979,63.97
1980,62.87
1981,61.52
1982,67.0
1983,74.34
1984,74.04
1985,84.42
1986,88.9
1987,81.17
1988,79.95
1989,85.19
1990,83.72
1991,78.72
1992,76.4
1993,73.49
1994,57.41
1995,58.45
1996,68.18
1997,70.54
1998,70.33
1999,75.0
2000,65.99
2001,79.42
2002,77.09
2003,81.21
2004,74.92
2005,78.16
2006,68.61
2007,71.89
2008,79.04
2009,79.14
2010,73.25
2011,66.52
2012,61.81
2013,79.84
2014,74.26
2015,71.25
2016,75.42
2017,76.92
2018,72.98
2019,70.53
2020,65.82
2021,52.24
2022,67.03
2023,76.51
2024,78.29
2025,76.56
