Country,Total_2024,Total_2025,Vote_Change,Vote_Pct_Change,P1_Change
AGO,92,189,97,105.4,-2.0446000000000026
ALB,95,189,94,98.9,0.9753999999999934
AND,93,190,97,104.3,-2.605400000000003
ARE,94,191,97,103.2,-3.727400000000003
ARG,95,155,60,63.2,-23.1451
ARM,90,180,90,100.0,-3.2719000000000023
ATG,87,175,88,101.1,-2.488900000000001
AUS,95,192,97,102.1,6.298399999999994
AUT,95,192,97,102.1,0.7274000000000029
AZE,72,158,86,119.4,-0.6773000000000025
BDI,89,170,81,91.0,-5.836399999999998
BEL,95,192,97,102.1,0.945999999999998
BEN,62,79,17,27.4,6.064300000000003
BFA,81,170,89,109.9,-4.757500000000007
BGD,94,191,97,103.2,-6.0745000000000005
BGR,95,191,96,101.1,5.067400000000006
BHR,95,192,97,102.1,-5.766300000000001
BHS,92,185,93,101.1,-1.3427999999999969
BIH,95,191,96,101.1,6.823799999999991
BLR,94,191,97,103.2,-7.971800000000002
BLZ,88,178,90,102.3,-2.1158000000000072
BOL,91,40,-51,-56.0,-14.265999999999998
BRA,94,192,98,104.3,9.317999999999998
BRB,91,145,54,59.3,-4.822199999999995
BRN,95,192,97,102.1,-8.998999999999995
BTN,92,184,92,100.0,1.2327999999999975
BWA,78,144,66,84.6,0.7222000000000008
CAF,69,158,89,129.0,7.436900000000001
CAN,95,192,97,102.1,-7.991099999999996
CHE,95,192,97,102.1,-7.333100000000002
CHL,95,192,97,102.1,-1.703700000000012
CHN,94,192,98,104.3,-6.260800000000003
CIV,91,190,99,108.8,-6.457099999999997
CMR,85,170,85,100.0,-14.0043
COG,85,164,79,92.9,1.7128000000000014
COL,95,192,97,102.1,1.553699999999992
COM,71,165,94,132.4,4.8023000000000025
CPV,80,184,104,130.0,-0.8722999999999956
CRI,95,191,96,101.1,-4.98899999999999
CUB,95,188,93,97.9,-7.219200000000001
CYP,95,192,97,102.1,-1.0703000000000031
CZE,95,192,97,102.1,-1.3087999999999909
DEU,94,192,98,104.3,2.7553999999999945
DJI,90,182,92,102.2,-0.8106999999999971
DMA,28,48,20,71.4,-34.3311
DNK,95,192,97,102.1,0.4399000000000086
DOM,95,189,94,98.9,-3.4071
DZA,95,192,97,102.1,-10.914599999999993
ECU,91,188,97,106.6,1.9474000000000018
EGY,95,190,95,100.0,-7.454899999999995
ERI,95,181,86,90.5,1.749600000000001
ESP,95,192,97,102.1,1.2364000000000033
EST,95,191,96,101.1,-1.2001000000000062
ETH,92,188,96,104.3,-3.037700000000001
FIN,95,192,97,102.1,2.4200000000000017
FJI,82,185,103,125.6,-3.5518
FRA,95,192,97,102.1,-5.229299999999995
FSM,75,158,83,110.7,-3.476600000000005
GAB,84,174,90,107.1,1.3166000000000082
GBR,95,192,97,102.1,-2.518199999999993
GEO,93,183,90,96.8,2.025500000000008
GHA,90,171,81,90.0,-8.135199999999998
GIN,90,173,83,92.2,-5.039599999999993
GMB,84,173,89,106.0,-5.289600000000007
GNB,77,156,79,102.6,-4.525099999999995
GNQ,71,161,90,126.8,0.9395999999999987
GRC,95,192,97,102.1,-0.2933000000000021
GRD,71,101,30,42.3,-8.697599999999994
GTM,95,192,97,102.1,-3.820700000000002
GUY,95,192,97,102.1,-7.455399999999997
HND,94,173,79,84.0,7.559200000000004
HRV,95,192,97,102.1,1.0610999999999962
HTI,81,171,90,111.1,1.9659000000000049
HUN,95,192,97,102.1,4.054100000000005
IDN,95,192,97,102.1,-4.10560000000001
IND,95,192,97,102.1,-1.6225000000000023
IRL,95,192,97,102.1,-3.1595999999999975
IRN,91,185,94,103.3,-9.204699999999988
IRQ,95,189,94,98.9,-4.2757000000000005
ISL,94,191,97,103.2,0.44300000000001205
ISR,93,145,52,55.9,-6.132100000000008
ITA,95,192,97,102.1,0.08039999999999736
JAM,90,188,98,108.9,1.0998000000000019
JOR,94,191,97,103.2,-2.2937999999999903
JPN,95,192,97,102.1,-1.863500000000002
KAZ,90,187,97,107.8,-1.4690999999999974
KEN,94,179,85,90.4,-1.9547999999999917
KGZ,87,184,97,111.5,-0.15930000000000177
KHM,92,190,98,106.5,0.12009999999999366
KIR,80,70,-10,-12.5,0.8802999999999912
KNA,77,181,104,135.1,-4.927400000000006
KOR,95,191,96,101.1,0.9542000000000002
KWT,94,192,98,104.3,-2.2239000000000004
LAO,93,187,94,101.1,-7.175900000000013
LBN,94,192,98,104.3,0.15109999999999957
LBR,77,157,80,103.9,11.139799999999997
LBY,91,186,95,104.4,-12.330099999999987
