TopicTag,YesPct_2024,NoPct_2024,AbstainPct_2024,TotalVotes_2024,YesPct_2025,NoPct_2025,AbstainPct_2025,TotalVotes_2025,YesPct_Change
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,82.89,4.02,13.09,1742.0,64.85,5.45,29.7,330.0,-18.040000000000006
MAINTENANCE OF PEACE AND SECURITY,77.28,8.61,14.11,10826.0,76.57,4.9,18.53,2450.0,-0.710000000000008
RECOMMENDATIONS,98.38,0.0,1.62,370.0,98.14,1.24,0.62,322.0,-0.23999999999999488
ENVIRONMENT,96.65,1.38,1.97,1014.0,98.17,0.97,0.86,930.0,1.519999999999996
WILDLIFE,97.62,1.19,1.19,336.0,99.36,0.64,0.0,628.0,1.7399999999999949
GENERAL AND NATIONAL LAW,95.73,3.05,1.22,328.0,97.56,0.61,1.83,328.0,1.8299999999999983
MARINE RESOURCES,95.64,2.38,1.98,1010.0,99.39,0.61,0.0,326.0,3.75
SOCIAL DEVELOPMENT,75.33,11.18,13.49,2862.0,82.66,1.93,15.41,1246.0,7.329999999999998
POLITICAL AND LEGAL QUESTIONS,74.65,8.9,16.44,12016.0,83.1,5.45,11.45,4697.0,8.449999999999989
INTERNATIONAL RELATIONS,75.94,7.64,16.43,10764.0,84.44,5.41,10.16,4382.0,8.5
HUMAN RIGHTS,69.56,10.47,19.97,6110.0,80.88,2.03,17.09,1229.0,11.319999999999993
INTERNATIONAL LAW,77.94,9.45,12.61,3863.0,89.83,3.78,6.4,688.0,11.89
WELFARE AND SOCIAL SERVICES,85.06,3.16,11.78,696.0,98.34,0.66,0.99,604.0,13.280000000000001
DEVELOPMENT,76.34,12.88,10.78,2578.0,98.12,1.25,0.62,160.0,21.78
DISCRIMINATION,69.83,7.53,22.64,3172.0,93.38,0.0,6.62,302.0,23.549999999999997
POLITICAL EVENTS AND ISSUES,66.07,11.95,21.98,5724.0,94.63,0.81,4.56,1490.0,28.560000000000002
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,57.14,30.77,12.09,364.0,98.12,1.25,0.62,160.0,40.980000000000004
