Country,P1_2024,P1_2025,Change
DMA,82.6583,48.3272,-34.3311
MDG,81.5224,49.6467,-31.875700000000002
USA,72.0268,48.1588,-23.867999999999995
ARG,23.1451,0.0,-23.1451
VCT,93.5277,70.861,-22.66669999999999
SYR,70.0549,52.0794,-17.975500000000004
BOL,77.7739,63.5079,-14.265999999999998
CMR,85.0077,71.0034,-14.0043
WSM,84.788,71.771,-13.016999999999996
PRY,57.8089,45.1515,-12.657400000000003
LBY,89.9146,77.5845,-12.330099999999987
DZA,87.0128,76.0982,-10.914599999999993
SEN,94.6388,85.1916,-9.44720000000001
YEM,92.2155,82.9675,-9.248000000000005
IRN,76.207,67.0023,-9.204699999999988
BRN,90.0638,81.0648,-8.998999999999995
GRD,93.8868,85.1892,-8.697599999999994
MYS,94.3385,86.1306,-8.207899999999995
PAK,80.1218,71.9773,-8.144499999999994
GHA,97.3376,89.2024,-8.135199999999998
CAN,69.6665,61.6754,-7.991099999999996
BLR,75.7101,67.7383,-7.971800000000002
URY,87.508,79.832,-7.676000000000002
PRK,70.6221,62.9564,-7.665700000000001
TKM,100.0,92.471,-7.528999999999996
GUY,97.297,89.8416,-7.455399999999997
EGY,90.8205,83.3656,-7.454899999999995
CHE,78.9093,71.5762,-7.333100000000002
CUB,82.0423,74.8231,-7.219200000000001
LAO,82.7656,75.5897,-7.175900000000013
SLE,96.1634,89.3534,-6.810000000000002
MRT,88.6153,81.8184,-6.796900000000008
CIV,91.8828,85.4257,-6.457099999999997
CHN,74.8351,68.5743,-6.260800000000003
ISR,67.918,61.7859,-6.132100000000008
BGD,90.424,84.3495,-6.0745000000000005
BDI,65.0923,59.2559,-5.836399999999998
TTO,93.8652,88.0743,-5.790900000000008
BHR,88.263,82.4967,-5.766300000000001
LSO,87.2764,81.5187,-5.7577
TUN,88.9117,83.3363,-5.575400000000002
OMN,82.5656,77.0386,-5.527000000000001
NIC,80.4623,74.9831,-5.479200000000006
SLV,92.7716,87.3217,-5.4498999999999995
GMB,97.9389,92.6493,-5.289600000000007
LCA,95.3072,90.0215,-5.285699999999991
FRA,71.4987,66.2694,-5.229299999999995
MDV,92.747,87.544,-5.203000000000003
GIN,90.2166,85.177,-5.039599999999993
CRI,95.7503,90.7613,-4.98899999999999
MWI,80.1259,75.1596,-4.966300000000004
KNA,92.8648,87.9374,-4.927400000000006
MNG,91.4037,86.5657,-4.837999999999994
BRB,96.6974,91.8752,-4.822199999999995
BFA,94.6195,89.862,-4.757500000000007
UGA,80.6995,76.1113,-4.5882000000000005
GNB,87.8052,83.2801,-4.525099999999995
NPL,91.0543,86.7331,-4.321200000000005
IRQ,82.6366,78.3609,-4.2757000000000005
TJK,83.9616,79.8256,-4.13600000000001
IDN,85.9013,81.7957,-4.10560000000001
NGA,83.9016,79.9486,-3.953000000000003
GTM,76.72,72.8993,-3.820700000000002
ARE,89.6219,85.8945,-3.727400000000003
QAT,91.8032,88.1033,-3.6998999999999995
TZA,82.5321,78.8498,-3.682299999999998
LIE,75.9554,72.323,-3.632400000000004
MUS,94.4972,90.9283,-3.5689000000000135
FJI,47.5042,43.9524,-3.5518
ZAF,85.2493,81.7058,-3.5435000000000088
FSM,71.5017,68.0251,-3.476600000000005
DOM,94.7803,91.3732,-3.4071
THA,88.6922,85.3255,-3.3666999999999945
ARM,76.8138,73.5419,-3.2719000000000023
IRL,80.2009,77.0413,-3.1595999999999975
ETH,78.3109,75.2732,-3.037700000000001
TLS,92.8378,90.0748,-2.7630000000000052
POL,70.5255,67.9117,-2.6137999999999977
AND,76.4607,73.8553,-2.605400000000003
MNE,72.6827,70.0778,-2.6049000000000007
VUT,88.0305,85.4434,-2.5871000000000066
GBR,69.3844,66.8662,-2.518199999999993
LVA,75.1117,72.6104,-2.5013000000000005
ATG,91.977,89.4881,-2.488900000000001
MLT,76.673,74.3674,-2.3055999999999983
JOR,85.4785,83.1847,-2.2937999999999903
KWT,88.9756,86.7517,-2.2239000000000004
SGP,88.6749,86.5146,-2.1602999999999923
MAR,89.2599,87.1051,-2.1548000000000087
BLZ,93.5887,91.4729,-2.1158000000000072
PER,98.725,96.6707,-2.054299999999998
VNM,84.094,82.0464,-2.0475999999999885
