iso3,p2_2024,yes_2024,no_2024,abstain_2024,total_2024,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,p2_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
MDG,95.94,71,0,10,81,78.3,8,0,3,11,-17.64,-70,87.7,72.7,-14.9,Eastern Africa,Sub-Saharan Africa
ARG,36.47,42,38,15,95,21.22,42,84,29,155,-15.25,60,44.2,27.1,-17.1,South America,Latin America & Caribbean
CAN,96.44,51,23,21,95,83.94,148,23,21,192,-12.5,97,53.7,77.1,23.4,Northern America,Northern America
USA,96.61,32,51,11,94,88.41,10,174,8,192,-8.2,98,34.0,5.2,-28.8,Northern America,Northern America
STP,92.97,33,1,1,35,88.91,10,0,2,12,-4.06,-23,94.3,83.3,-11.0,Middle Africa,Sub-Saharan Africa
CAF,97.68,63,0,6,69,93.96,138,6,14,158,-3.72,89,91.3,87.3,-4.0,Middle Africa,Sub-Saharan Africa
GNQ,100.0,66,0,5,71,98.06,153,3,5,161,-1.94,90,93.0,95.0,2.1,Middle Africa,Sub-Saharan Africa
PRY,70.85,62,8,24,94,69.3,113,29,49,191,-1.54,97,66.0,59.2,-6.8,South America,Latin America & Caribbean
COG,100.0,79,0,6,85,98.86,158,0,6,164,-1.14,79,92.9,96.3,3.4,Middle Africa,Sub-Saharan Africa
WSM,94.41,62,0,3,65,93.34,121,0,19,140,-1.07,75,95.4,86.4,-9.0,Polynesia,Oceania
TJK,99.9,69,2,11,82,98.97,172,1,10,183,-0.92,101,84.1,94.0,9.8,Central Asia,Central Asia
NAM,97.35,82,0,9,91,96.73,161,0,16,177,-0.62,86,90.1,91.0,0.9,Southern Africa,Sub-Saharan Africa
SOM,98.52,68,1,0,69,98.15,135,0,2,137,-0.37,68,98.6,98.5,-0.0,Eastern Africa,Sub-Saharan Africa
MKD,94.43,52,19,20,91,94.08,133,24,31,188,-0.35,97,57.1,70.7,13.6,Southern Europe,Southern Europe
SVN,99.98,58,19,18,95,99.65,153,20,19,192,-0.32,97,61.1,79.7,18.6,Southern Europe,Southern Europe
SUR,99.76,91,0,1,92,99.61,190,0,1,191,-0.15,99,98.9,99.5,0.6,South America,Latin America & Caribbean
ISR,0.0,24,54,15,93,0.0,20,98,27,145,0.0,52,25.8,13.8,-12.0,Western Asia,Western Asia
BGR,97.27,53,21,21,95,97.29,140,22,29,191,0.02,96,55.8,73.3,17.5,Eastern Europe,Eastern Europe
VCT,95.97,74,1,5,80,96.07,15,0,1,16,0.1,-64,92.5,93.8,1.2,Caribbean,Latin America & Caribbean
FIN,98.22,55,20,20,95,98.37,150,22,20,192,0.15,97,57.9,78.1,20.2,Northern Europe,Northern Europe
PER,97.33,92,0,3,95,97.68,183,0,7,190,0.35,95,96.8,96.3,-0.5,South America,Latin America & Caribbean
TCD,98.92,87,0,2,89,99.31,182,0,4,186,0.39,97,97.8,97.8,0.1,Middle Africa,Sub-Saharan Africa
AGO,98.26,84,0,8,92,98.67,178,0,11,189,0.41,97,91.3,94.2,2.9,Middle Africa,Sub-Saharan Africa
DEU,97.28,53,22,19,94,97.7,148,23,21,192,0.42,98,56.4,77.1,20.7,Western Europe,Western Europe
DZA,98.24,80,2,13,95,98.69,178,2,12,192,0.45,97,84.2,92.7,8.5,Northern Africa,Africa
DNK,99.14,55,22,18,95,99.67,149,22,21,192,0.54,97,57.9,77.6,19.7,Northern Europe,Northern Europe
SSD,71.3,12,0,7,19,71.84,36,1,19,56,0.54,37,63.2,64.3,1.1,Eastern Africa,Sub-Saharan Africa
GAB,98.98,80,0,4,84,99.61,172,0,2,174,0.62,90,95.2,98.9,3.6,Middle Africa,Sub-Saharan Africa
KGZ,99.02,77,0,10,87,99.66,175,0,9,184,0.64,97,88.5,95.1,6.6,Central Asia,Central Asia
SVK,97.33,52,23,20,95,97.98,146,22,23,191,0.65,96,54.7,76.4,21.7,Eastern Europe,Eastern Europe
HND,98.2,90,0,4,94,98.88,170,0,3,173,0.68,79,95.7,98.3,2.5,Central America,Latin America & Caribbean
DMA,93.99,27,1,0,28,94.72,44,0,4,48,0.73,20,96.4,91.7,-4.8,Caribbean,Latin America & Caribbean
TZA,98.09,78,0,6,84,98.9,162,0,9,171,0.81,87,92.9,94.7,1.9,Eastern Africa,Sub-Saharan Africa
