iso3,p2_2024,yes_2024,no_2024,abstain_2024,total_2024,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,p2_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region,direction
MDG,95.94,71,0,10,81,78.3,8,0,3,11,-17.64,-70,87.7,72.7,-14.9,Eastern Africa,Sub-Saharan Africa,DECLINER
ARG,36.47,42,38,15,95,21.22,42,84,29,155,-15.25,60,44.2,27.1,-17.1,South America,Latin America & Caribbean,DECLINER
CAN,96.44,51,23,21,95,83.94,148,23,21,192,-12.5,97,53.7,77.1,23.4,Northern America,Northern America,DECLINER
NRU,73.69,31,15,4,50,84.21,37,15,4,56,10.53,6,62.0,66.1,4.1,Micronesia,Oceania,GAINER
PAK,84.31,69,4,21,94,94.84,165,3,22,190,10.54,96,73.4,86.8,13.4,Southern Asia,Southern Asia,GAINER
NZL,79.0,65,16,14,95,89.72,161,16,15,192,10.73,97,68.4,83.9,15.4,Australia and New Zealand,Oceania,GAINER
IND,81.85,66,4,25,95,92.76,161,5,26,192,10.92,97,69.5,83.9,14.4,Southern Asia,Southern Asia,GAINER
TGO,84.64,68,0,22,90,95.89,170,0,20,190,11.25,100,75.6,89.5,13.9,Western Africa,Sub-Saharan Africa,GAINER
PAN,82.2,73,0,21,94,94.0,173,0,18,191,11.8,97,77.7,90.6,12.9,Central America,Latin America & Caribbean,GAINER
CUB,82.67,76,10,9,95,95.03,173,7,8,188,12.36,93,80.0,92.0,12.0,Caribbean,Latin America & Caribbean,GAINER
PLW,80.72,56,17,17,90,93.17,142,22,9,173,12.45,83,62.2,82.1,19.9,Micronesia,Oceania,GAINER
MWI,84.55,69,2,7,78,97.11,150,0,3,153,12.56,75,88.5,98.0,9.6,Eastern Africa,Sub-Saharan Africa,GAINER
PRK,79.21,51,21,14,86,92.01,142,21,18,181,12.8,95,59.3,78.5,19.2,Eastern Asia,Eastern Asia,GAINER
NIC,78.98,72,16,6,94,92.34,153,15,6,174,13.36,80,76.6,87.9,11.3,Central America,Latin America & Caribbean,GAINER
JPN,76.57,61,15,19,95,90.47,156,12,24,192,13.9,97,64.2,81.2,17.0,Eastern Asia,Eastern Asia,GAINER
IRN,81.32,67,11,13,91,95.45,162,5,18,185,14.13,94,73.6,87.6,13.9,Southern Asia,Southern Asia,GAINER
SRB,75.46,54,5,23,82,89.59,139,6,26,171,14.14,89,65.9,81.3,15.4,Southern Europe,Southern Europe,GAINER
TON,80.34,53,14,12,79,94.51,148,12,14,174,14.16,95,67.1,85.1,18.0,Polynesia,Oceania,GAINER
AUS,71.8,56,22,17,95,87.3,152,20,20,192,15.5,97,58.9,79.2,20.2,Australia and New Zealand,Oceania,GAINER
CMR,75.97,59,0,26,85,93.13,149,0,21,170,17.16,85,69.4,87.6,18.2,Middle Africa,Sub-Saharan Africa,GAINER
CYP,68.84,66,12,17,95,86.02,160,14,18,192,17.18,97,69.5,83.3,13.9,Western Asia,Western Asia,GAINER
LBR,79.5,62,1,14,77,97.59,155,0,2,157,18.09,80,80.5,98.7,18.2,Western Africa,Sub-Saharan Africa,GAINER
SYR,80.47,54,13,7,74,98.6,85,1,7,93,18.13,19,73.0,91.4,18.4,Western Asia,Western Asia,GAINER
KOR,68.82,55,21,19,95,87.49,148,19,24,191,18.66,96,57.9,77.5,19.6,Eastern Asia,Eastern Asia,GAINER
ARM,71.48,62,1,27,90,90.91,158,2,20,180,19.43,90,68.9,87.8,18.9,Western Asia,Western Asia,GAINER
TUR,66.19,60,16,16,92,85.96,151,16,21,188,19.76,96,65.2,80.3,15.1,Western Asia,Western Asia,GAINER
FSM,69.19,40,26,9,75,89.4,120,27,11,158,20.21,83,53.3,75.9,22.6,Micronesia,Oceania,GAINER
RUS,47.89,53,33,9,95,77.9,142,31,19,192,30.01,97,55.8,74.0,18.2,Eastern Europe,Eastern Europe,GAINER
BLR,45.66,65,13,16,94,78.97,159,12,20,191,33.31,97,69.1,83.2,14.1,Eastern Europe,Eastern Europe,GAINER
GEO,40.51,44,10,39,93,80.12,133,11,39,183,39.61,90,47.3,72.7,25.4,Western Asia,Western Asia,GAINER
