region,avg_p2_2024,median_p2_2024,n_countries_2024,avg_p2_2025,median_p2_2025,n_countries_2025,avg_p2_change,median_p2_change
Northern America,96.53,96.53,2,86.17,86.17,2,-10.35,-10.35
Central Asia,98.27,98.24,5,99.44,99.33,5,1.16,1.09
Middle Africa,95.01,98.26,9,96.32,98.06,9,1.31,-0.2
Southern Africa,96.56,96.87,5,98.74,98.94,5,2.18,2.06
South America,86.26,91.38,11,88.59,98.03,11,2.33,6.65
South-eastern Asia,95.68,95.68,11,98.42,98.38,11,2.74,2.7
Northern Africa,95.59,96.85,6,98.37,98.63,6,2.78,1.78
Eastern Africa,92.43,94.97,18,95.27,97.83,18,2.84,2.86
Caribbean,94.89,95.67,13,97.98,98.65,13,3.1,2.98
Northern Europe,94.26,95.0,10,97.55,97.85,10,3.29,2.85
Southern Europe,93.18,93.95,14,96.95,97.37,14,3.77,3.42
Western Europe,92.91,94.84,9,96.82,97.7,9,3.91,2.86
Western Africa,93.52,96.03,16,98.05,98.02,16,4.53,1.99
Central America,91.88,94.81,8,96.92,97.7,8,5.04,2.88
Southern Asia,91.2,96.23,8,97.18,98.07,8,5.98,1.84
Melanesia,86.73,86.47,4,94.06,94.5,4,7.33,8.03
Polynesia,87.5,87.75,3,95.01,94.51,3,7.51,6.76
Eastern Europe,84.88,94.03,10,92.99,96.41,10,8.11,2.38
Western Asia,80.97,93.8,17,89.81,98.55,17,8.85,4.75
Micronesia,78.6,80.72,5,90.6,90.05,5,12.0,9.33
Eastern Asia,80.54,79.21,5,93.02,92.01,5,12.48,12.8
Australia and New Zealand,75.4,75.4,2,88.51,88.51,2,13.12,13.12
