iso3,p2_2025,region,broad_region,broad_region_avg_2025,diff_from_broad_avg,subregion_avg_2025,diff_from_subregion_avg,total_2025
ISR,0.0,Western Asia,Western Asia,89.81,-89.81,89.81,-89.81,145
ARG,21.22,South America,Latin America & Caribbean,94.49,-73.27,88.59,-67.37,155
PRY,69.3,South America,Latin America & Caribbean,94.49,-25.18,88.59,-19.28,191
SSD,71.84,Eastern Africa,Sub-Saharan Africa,96.76,-24.91,95.27,-23.42,56
MDG,78.3,Eastern Africa,Sub-Saharan Africa,96.76,-18.45,95.27,-16.96,11
RUS,77.9,Eastern Europe,Eastern Europe,92.99,-15.09,92.99,-15.09,192
BLR,78.97,Eastern Europe,Eastern Europe,92.99,-14.02,92.99,-14.02,191
GEO,80.12,Western Asia,Western Asia,89.81,-9.69,89.81,-9.69,183
NRU,84.21,Micronesia,Oceania,92.23,-8.02,90.6,-6.38,56
STP,88.91,Middle Africa,Sub-Saharan Africa,96.76,-7.84,96.32,-7.41,12
SRB,89.59,Southern Europe,Southern Europe,96.95,-7.36,96.95,-7.36,171
KOR,87.49,Eastern Asia,Eastern Asia,93.02,-5.53,93.02,-5.53,191
AUS,87.3,Australia and New Zealand,Oceania,92.23,-4.93,88.51,-1.21,192
GBR,93.01,Northern Europe,Northern Europe,97.55,-4.54,97.55,-4.54,192
IND,92.76,Southern Asia,Southern Asia,97.18,-4.42,97.18,-4.42,192
TUR,85.96,Western Asia,Western Asia,89.81,-3.85,89.81,-3.85,188
CYP,86.02,Western Asia,Western Asia,89.81,-3.79,89.81,-3.79,192
CMR,93.13,Middle Africa,Sub-Saharan Africa,96.76,-3.62,96.32,-3.19,170
CHE,93.4,Western Europe,Western Europe,96.82,-3.42,96.82,-3.42,192
MKD,94.08,Southern Europe,Southern Europe,96.95,-2.87,96.95,-2.87,188
FSM,89.4,Micronesia,Oceania,92.23,-2.83,90.6,-1.2,158
ALB,94.14,Southern Europe,Southern Europe,96.95,-2.81,96.95,-2.81,189
CAF,93.96,Middle Africa,Sub-Saharan Africa,96.76,-2.8,96.32,-2.36,158
JPN,90.47,Eastern Asia,Eastern Asia,93.02,-2.55,93.02,-2.55,192
NZL,89.72,Australia and New Zealand,Oceania,92.23,-2.51,88.51,1.21,192
PAK,94.84,Southern Asia,Southern Asia,97.18,-2.34,97.18,-2.34,190
CAN,83.94,Northern America,Northern America,86.17,-2.24,86.17,-2.24,192
MHL,90.05,Micronesia,Oceania,92.23,-2.19,90.6,-0.55,181
FRA,94.66,Western Europe,Western Europe,96.82,-2.16,96.82,-2.16,192
NIC,92.34,Central America,Latin America & Caribbean,94.49,-2.15,96.92,-4.58,174
ETH,94.84,Eastern Africa,Sub-Saharan Africa,96.76,-1.91,95.27,-0.42,188
IRL,95.66,Northern Europe,Northern Europe,97.55,-1.89,97.55,-1.89,192
LIE,95.06,Western Europe,Western Europe,96.82,-1.76,96.82,-1.76,192
IRN,95.45,Southern Asia,Southern Asia,97.18,-1.73,97.18,-1.73,185
AUT,95.12,Western Europe,Western Europe,96.82,-1.7,96.82,-1.7,192
SDN,96.97,Northern Africa,Africa,98.37,-1.4,98.37,-1.4,189
BDI,95.54,Eastern Africa,Sub-Saharan Africa,96.76,-1.21,95.27,0.28,170
FJI,91.14,Melanesia,Oceania,92.23,-1.1,94.06,-2.93,185
MMR,97.34,South-eastern Asia,South-eastern Asia,98.42,-1.07,98.42,-1.07,188
PRK,92.01,Eastern Asia,Eastern Asia,93.02,-1.01,93.02,-1.01,181
HUN,92.09,Eastern Europe,Eastern Europe,92.99,-0.91,92.99,-0.91,192
ZWE,95.87,Eastern Africa,Sub-Saharan Africa,96.76,-0.88,95.27,0.61,182
TGO,95.89,Western Africa,Sub-Saharan Africa,96.76,-0.87,98.05,-2.16,190
LAO,97.66,South-eastern Asia,South-eastern Asia,98.42,-0.76,98.42,-0.76,187
AND,96.34,Southern Europe,Southern Europe,96.95,-0.61,96.95,-0.61,190
SMR,96.36,Southern Europe,Southern Europe,96.95,-0.59,96.95,-0.59,192
PAN,94.0,Central America,Latin America & Caribbean,94.49,-0.49,96.92,-2.91,191
TJK,98.97,Central Asia,Central Asia,99.44,-0.46,99.44,-0.46,183
EGY,97.97,Northern Africa,Africa,98.37,-0.4,98.37,-0.4,190
VNM,98.02,South-eastern Asia,South-eastern Asia,98.42,-0.39,98.42,-0.39,189
CIV,96.38,Western Africa,Sub-Saharan Africa,96.76,-0.38,98.05,-1.68,190
COD,96.37,Middle Africa,Sub-Saharan Africa,96.76,-0.38,96.32,0.05,139
