broad_region,iso3,region,p2_2024,p2_2025,p2_change,region_avg_change,contribution_to_region_avg_change,total_2024,total_2025
Africa,SDN,Northern Africa,90.02,96.97,6.95,2.78,1.16,93,189
Africa,MAR,Northern Africa,94.28,98.59,4.32,2.78,0.72,89,182
Africa,LBY,Northern Africa,97.3,99.32,2.02,2.78,0.34,91,186
Africa,EGY,Northern Africa,96.4,97.97,1.57,2.78,0.26,95,190
Africa,TUN,Northern Africa,97.31,98.67,1.36,2.78,0.23,93,190
Africa,DZA,Northern Africa,98.24,98.69,0.45,2.78,0.07,95,192
Central Asia,UZB,Central Asia,97.03,99.26,2.23,1.16,0.45,84,170
Central Asia,KAZ,Central Asia,97.17,99.33,2.16,1.16,0.43,90,187
Central Asia,TKM,Central Asia,98.24,99.95,1.72,1.16,0.34,61,127
Central Asia,TJK,Central Asia,99.9,98.97,-0.92,1.16,-0.18,82,183
Central Asia,KGZ,Central Asia,99.02,99.66,0.64,1.16,0.13,87,184
Eastern Asia,KOR,Eastern Asia,68.82,87.49,18.66,12.48,3.73,95,191
Eastern Asia,JPN,Eastern Asia,76.57,90.47,13.9,12.48,2.78,95,192
Eastern Asia,PRK,Eastern Asia,79.21,92.01,12.8,12.48,2.56,86,181
Eastern Asia,CHN,Eastern Asia,87.18,97.15,9.97,12.48,1.99,94,192
Eastern Asia,MNG,Eastern Asia,90.94,97.97,7.03,12.48,1.41,94,191
Eastern Europe,BLR,Eastern Europe,45.66,78.97,33.31,8.11,3.33,94,191
Eastern Europe,RUS,Eastern Europe,47.89,77.9,30.01,8.11,3.0,95,192
Eastern Europe,MDA,Eastern Europe,88.15,96.51,8.35,8.11,0.84,95,191
Eastern Europe,CZE,Eastern Europe,93.37,96.31,2.93,8.11,0.29,95,192
Eastern Europe,POL,Eastern Europe,96.39,98.34,1.94,8.11,0.19,95,192
Eastern Europe,ROU,Eastern Europe,97.2,98.67,1.47,8.11,0.15,95,192
Eastern Europe,HUN,Eastern Europe,90.9,92.09,1.18,8.11,0.12,95,192
Eastern Europe,UKR,Eastern Europe,94.68,95.87,1.19,8.11,0.12,94,188
Eastern Europe,SVK,Eastern Europe,97.33,97.98,0.65,8.11,0.07,95,191
Eastern Europe,BGR,Eastern Europe,97.27,97.29,0.02,8.11,0.0,95,191
Latin America & Caribbean,ARG,South America,36.47,21.22,-15.25,3.32,-0.48,95,155
Latin America & Caribbean,NIC,Central America,78.98,92.34,13.36,3.32,0.42,94,174
Latin America & Caribbean,CUB,Caribbean,82.67,95.03,12.36,3.32,0.39,95,188
Latin America & Caribbean,PAN,Central America,82.2,94.0,11.8,3.32,0.37,94,191
Latin America & Caribbean,URY,South America,90.65,99.92,9.26,3.32,0.29,95,190
Latin America & Caribbean,BOL,South America,89.39,98.39,9.0,3.32,0.28,91,40
Latin America & Caribbean,ECU,South America,88.38,95.3,6.92,3.32,0.22,91,188
Latin America & Caribbean,BRA,South America,91.38,97.06,5.68,3.32,0.18,94,192
Latin America & Caribbean,MEX,Central America,93.09,98.67,5.58,3.32,0.17,94,192
Latin America & Caribbean,KNA,Caribbean,93.73,98.92,5.19,3.32,0.16,77,181
Latin America & Caribbean,TTO,Caribbean,94.07,98.65,4.58,3.32,0.14,95,190
Latin America & Caribbean,COL,South America,94.02,98.03,4.01,3.32,0.13,95,192
Latin America & Caribbean,GUY,South America,94.89,98.67,3.78,3.32,0.12,95,192
Latin America & Caribbean,CHL,South America,95.71,99.29,3.58,3.32,0.11,95,192
Latin America & Caribbean,GTM,Central America,95.74,99.29,3.55,3.32,0.11,95,192
Latin America & Caribbean,LCA,Caribbean,95.67,98.85,3.17,3.32,0.1,93,168
Latin America & Caribbean,GRD,Caribbean,95.36,98.12,2.77,3.32,0.09,71,101
Latin America & Caribbean,HTI,Caribbean,95.01,97.44,2.43,3.32,0.08,81,171
Latin America & Caribbean,JAM,Caribbean,97.17,99.6,2.43,3.32,0.08,90,188
Latin America & Caribbean,SLV,Central America,93.92,96.18,2.27,3.32,0.07,93,181
Latin America & Caribbean,ATG,Caribbean,97.02,98.89,1.87,3.32,0.06,87,175
Latin America & Caribbean,BLZ,Central America,97.17,99.25,2.08,3.32,0.06,88,178
Latin America & Caribbean,DOM,Caribbean,96.58,98.64,2.07,3.32,0.06,95,189
Latin America & Caribbean,BHS,Caribbean,97.33,98.94,1.62,3.32,0.05,92,185
Latin America & Caribbean,PRY,South America,70.85,69.3,-1.54,3.32,-0.05,94,191
Latin America & Caribbean,BRB,Caribbean,98.96,99.92,0.95,3.32,0.03,91,145
