iso3,p2_2025,p2_rank_2025,p1_2025,p3_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,region,broad_region
BWA,100.0,1,80.66,97.86,138,0,6,144,95.8,Southern Africa,Sub-Saharan Africa
SWE,100.0,2,71.52,87.68,149,22,21,192,77.6,Northern Europe,Northern Europe
PRT,99.99,3,72.26,88.63,152,20,20,192,79.2,Southern Europe,Southern Europe
SWZ,99.99,4,68.14,98.79,82,0,2,84,97.6,Southern Africa,Sub-Saharan Africa
ZMB,99.97,5,86.67,99.37,158,0,2,160,98.8,Eastern Africa,Sub-Saharan Africa
TKM,99.95,6,92.19,99.19,125,1,1,127,98.4,Central Asia,Central Asia
BRB,99.92,7,87.1,100.0,145,0,0,145,100.0,Caribbean,Latin America & Caribbean
URY,99.92,8,82.55,100.0,190,0,0,190,100.0,South America,Latin America & Caribbean
DNK,99.67,9,70.05,87.68,149,22,21,192,77.6,Northern Europe,Northern Europe
MNE,99.67,10,69.93,88.32,151,20,21,192,78.6,Southern Europe,Southern Europe
KGZ,99.66,11,76.94,97.47,175,0,9,184,95.1,Central Asia,Central Asia
LKA,99.66,12,78.2,97.04,181,1,10,192,94.3,Southern Asia,Southern Asia
SVN,99.65,13,70.95,88.94,153,20,19,192,79.7,Southern Europe,Southern Europe
GIN,99.64,14,81.61,97.92,166,0,7,173,96.0,Western Africa,Sub-Saharan Africa
GHA,99.63,15,91.35,97.89,164,0,7,171,95.9,Western Africa,Sub-Saharan Africa
GAB,99.61,16,82.9,99.42,172,0,2,174,98.9,Middle Africa,Sub-Saharan Africa
SUR,99.61,17,94.45,99.74,190,0,1,191,99.5,South America,Latin America & Caribbean
JAM,99.6,18,91.84,99.73,187,0,1,188,99.5,Caribbean,Latin America & Caribbean
GNB,99.59,19,82.84,98.69,152,0,4,156,97.4,Western Africa,Sub-Saharan Africa
KWT,99.57,20,82.91,96.76,180,1,11,192,93.8,Western Asia,Western Asia
BHR,99.55,21,79.7,97.03,181,0,11,192,94.3,Western Asia,Western Asia
LUX,99.35,22,70.4,88.31,151,21,20,192,78.6,Western Europe,Western Europe
MYS,99.35,23,85.23,98.13,185,1,6,192,96.4,South-eastern Asia,South-eastern Asia
ESP,99.34,24,70.69,88.63,152,20,20,192,79.2,Southern Europe,Southern Europe
KAZ,99.33,25,78.8,97.23,177,0,10,187,94.7,Central Asia,Central Asia
MCO,99.33,26,69.23,87.73,146,20,22,188,77.7,Western Europe,Western Europe
LBY,99.32,27,77.68,96.65,174,1,11,186,93.5,Northern Africa,Africa
NPL,99.31,28,87.99,97.55,181,0,9,190,95.3,Southern Asia,Southern Asia
TCD,99.31,29,92.26,98.9,182,0,4,186,97.8,Middle Africa,Sub-Saharan Africa
BGD,99.29,30,84.55,97.85,183,1,7,191,95.8,Southern Asia,Southern Asia
CHL,99.29,31,94.62,99.47,190,0,2,192,99.0,South America,Latin America & Caribbean
GTM,99.29,32,76.53,99.47,190,0,2,192,99.0,Central America,Latin America & Caribbean
UZB,99.26,33,79.77,97.27,161,1,8,170,94.7,Central Asia,Central Asia
BLZ,99.25,34,89.1,99.43,176,0,2,178,98.9,Central America,Latin America & Caribbean
