broad_region,avg_p3_2024,median_p3_2024,n_countries_2024,avg_p3_2025,median_p3_2025,n_countries_2025,avg_p3_change,median_p3_change
Latin America & Caribbean,91.54,94.91,32,95.39,98.81,32,3.85,3.9
Sub-Saharan Africa,92.09,93.33,48,96.68,97.66,48,4.59,4.33
South-eastern Asia,92.99,92.17,11,98.19,98.13,11,5.19,5.96
Central Asia,91.98,91.62,5,97.61,97.27,5,5.63,5.64
Northern America,37.12,37.12,2,43.68,43.68,2,6.56,6.56
Africa,88.53,87.71,6,96.69,96.43,6,8.17,8.71
Southern Asia,86.66,90.69,8,95.88,97.3,8,9.22,6.61
Western Asia,78.66,87.76,17,90.18,96.48,17,11.53,8.72
Oceania,78.72,77.26,14,91.48,91.39,14,12.76,14.14
Eastern Asia,73.66,70.91,5,91.15,89.84,5,17.49,18.92
Southern Europe,67.69,66.1,14,88.32,88.63,14,20.64,22.53
Western Europe,65.07,64.85,9,88.58,88.31,9,23.52,23.46
Northern Europe,63.28,63.46,10,87.34,87.68,10,24.07,24.22
Eastern Europe,58.76,56.46,10,85.9,85.49,10,27.14,29.03
