region,avg_p3_2024,median_p3_2024,n_countries_2024,avg_p3_2025,median_p3_2025,n_countries_2025,avg_p3_change,median_p3_change
South America,87.27,92.09,11,90.36,98.4,11,3.09,6.31
Caribbean,95.03,95.5,13,98.36,98.93,13,3.33,3.43
Southern Africa,93.64,93.56,5,97.42,97.86,5,3.78,4.29
Middle Africa,92.22,93.85,9,96.09,96.98,9,3.86,3.13
Eastern Africa,91.33,91.77,18,95.69,97.34,18,4.37,5.57
South-eastern Asia,92.99,92.17,11,98.19,98.13,11,5.19,5.96
Western Africa,92.39,92.79,16,97.9,97.87,16,5.5,5.08
Central Asia,91.98,91.62,5,97.61,97.27,5,5.63,5.64
Central America,91.72,94.51,8,97.46,98.12,8,5.74,3.61
Northern America,37.12,37.12,2,43.68,43.68,2,6.56,6.56
Polynesia,86.37,89.56,3,93.78,92.58,3,7.42,3.02
Melanesia,86.3,87.06,4,94.23,94.38,4,7.93,7.32
Northern Africa,88.53,87.71,6,96.69,96.43,6,8.17,8.71
Southern Asia,86.66,90.69,8,95.88,97.3,8,9.22,6.61
Western Asia,78.66,87.76,17,90.18,96.48,17,11.53,8.72
Micronesia,71.6,67.81,5,88.49,90.12,5,16.89,22.31
Eastern Asia,73.66,70.91,5,91.15,89.84,5,17.49,18.92
Australia and New Zealand,69.86,69.86,2,90.0,90.0,2,20.14,20.14
Southern Europe,67.69,66.1,14,88.32,88.63,14,20.64,22.53
Western Europe,65.07,64.85,9,88.58,88.31,9,23.52,23.46
Northern Europe,63.28,63.46,10,87.34,87.68,10,24.07,24.22
Eastern Europe,58.76,56.46,10,85.9,85.49,10,27.14,29.03
