topic,status,total_votes_2024,countries_2024,yes_pct_2024,no_pct_2024,abstain_pct_2024,total_votes_2025,countries_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,yes_pct_change,no_pct_change,abstain_pct_change
PUBLIC FINANCE,PRESENT_IN_BOTH,164,164,95.7,3.0,1.2,728,184,83.8,1.0,15.2,-11.94,-2.09,14.03
POLLUTION,PRESENT_IN_BOTH,553,190,95.3,2.4,2.4,503,185,85.5,4.2,10.3,-9.81,1.82,7.99
MINERAL RESOURCES,PRESENT_IN_BOTH,187,187,99.5,0.0,0.5,174,174,89.7,4.6,5.7,-9.81,4.6,5.21
WATER,PRESENT_IN_BOTH,342,188,98.8,0.3,0.9,354,184,93.8,2.8,3.4,-5.05,2.53,2.51
TRADE RELATED FINANCE,PRESENT_IN_BOTH,190,190,98.4,1.1,0.5,184,184,94.0,1.6,4.3,-4.4,0.58,3.82
COMPUTER SCIENCE AND TECHNOLOGY,PRESENT_IN_BOTH,166,166,95.8,1.2,3.0,1066,188,91.7,2.6,5.7,-4.13,1.42,2.71
TAXATION,PRESENT_IN_BOTH,171,171,69.6,5.3,25.1,180,180,67.8,1.7,30.6,-1.81,-3.6,5.41
GENERAL AND NATIONAL LAW,PRESENT_IN_BOTH,164,164,95.7,3.0,1.2,1423,189,94.6,1.4,4.0,-1.14,-1.64,2.79
ENVIRONMENT,PRESENT_IN_BOTH,507,189,96.6,1.4,2.0,4347,190,96.4,1.5,2.2,-0.28,0.09,0.19
RECOMMENDATIONS,PRESENT_IN_BOTH,185,185,98.4,0.0,1.6,161,161,98.1,1.2,0.6,-0.24,1.24,-1.0
LAW OF THE SEA,PRESENT_IN_BOTH,155,155,98.1,0.6,1.3,341,174,97.9,0.6,1.5,-0.12,-0.06,0.18
SPACE SCIENCES,PRESENT_IN_BOTH,548,191,84.9,11.9,3.3,887,184,86.2,12.2,1.6,1.39,0.31,-1.71
WILDLIFE,PRESENT_IN_BOTH,168,168,97.6,1.2,1.2,666,190,99.1,0.6,0.3,1.48,-0.59,-0.89
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,PRESENT_IN_BOTH,871,189,82.9,4.0,13.1,1390,189,84.5,4.2,11.2,1.64,0.23,-1.87
MARINE RESOURCES,PRESENT_IN_BOTH,505,188,95.6,2.4,2.0,1216,188,97.4,1.3,1.3,1.72,-1.06,-0.66
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,PRESENT_IN_BOTH,559,191,80.9,10.0,9.1,904,190,82.9,3.1,14.0,2.0,-6.92,4.93
DISARMAMENT AND MILITARY QUESTIONS,PRESENT_IN_BOTH,7409,191,80.6,9.2,10.2,7411,184,83.8,7.9,8.3,3.24,-1.31,-1.93
WOMEN'S ADVANCEMENT,PRESENT_IN_BOTH,185,185,94.1,0.0,5.9,672,184,97.5,1.8,0.7,3.42,1.79,-5.2
MAINTENANCE OF PEACE AND SECURITY,PRESENT_IN_BOTH,5413,191,77.3,8.6,14.1,8076,191,81.3,6.4,12.3,4.06,-2.24,-1.82
NUCLEAR SCIENCE,PRESENT_IN_BOTH,701,189,83.6,8.1,8.3,494,179,87.9,2.6,9.5,4.26,-5.5,1.24
HUMANITARIAN AID AND RELIEF,PRESENT_IN_BOTH,871,189,82.9,4.0,13.1,2745,190,87.4,3.2,9.5,4.47,-0.85,-3.62
INTERNATIONAL TRADE,PRESENT_IN_BOTH,559,191,80.9,10.0,9.1,1087,190,85.5,2.8,11.8,4.61,-7.26,2.65
SCIENCE AND TECHNOLOGY,PRESENT_IN_BOTH,1415,191,85.5,8.8,5.7,2794,188,90.7,6.1,3.2,5.15,-2.64,-2.5
DEVELOPMENT FINANCE,PRESENT_IN_BOTH,376,191,85.1,14.1,0.8,2001,187,90.9,1.0,8.1,5.8,-13.1,7.3
POLITICAL AND LEGAL QUESTIONS,PRESENT_IN_BOTH,14180,191,78.5,8.7,12.8,22664,191,84.4,6.3,9.3,5.89,-2.4,-3.49
ECONOMIC CONDITIONS,PRESENT_IN_BOTH,376,191,85.1,14.1,0.8,1978,190,91.2,4.5,4.3,6.05,-9.6,3.55
NATURAL RESOURCES AND THE ENVIRONMENT,PRESENT_IN_BOTH,1224,191,90.2,2.7,7.1,5226,190,96.7,1.3,2.0,6.47,-1.36,-5.12
RESOURCES (GENERAL),PRESENT_IN_BOTH,180,180,90.0,4.4,5.6,1613,186,96.6,1.4,2.0,6.59,-3.02,-3.57
INTERNATIONAL LAW,PRESENT_IN_BOTH,1924,191,79.0,8.7,12.3,7745,191,85.8,7.3,7.0,6.77,-1.41,-5.36
INTERNATIONAL RELATIONS,PRESENT_IN_BOTH,5382,191,75.9,7.6,16.4,8074,191,84.2,5.6,10.2,8.28,-2.06,-6.22
WELFARE AND SOCIAL SERVICES,PRESENT_IN_BOTH,348,185,85.1,3.2,11.8,2466,189,95.7,3.2,1.1,10.6,0.08,-10.69
ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,PRESENT_IN_BOTH,1814,191,79.8,10.0,10.2,8097,190,93.1,2.4,4.4,13.36,-7.59,-5.78
POLITICAL EVENTS AND ISSUES,PRESENT_IN_BOTH,2862,191,66.1,11.9,22.0,3546,191,81.8,5.7,12.5,15.68,-6.25,-9.43
DISCRIMINATION,PRESENT_IN_BOTH,1598,191,69.5,7.8,22.7,1410,188,86.1,9.1,4.8,16.57,1.39,-17.96
DEVELOPMENT,PRESENT_IN_BOTH,1289,190,76.3,12.9,10.8,7917,190,93.7,2.5,3.8,17.37,-10.42,-6.96
HUMAN RIGHTS,PRESENT_IN_BOTH,3055,191,69.6,10.5,20.0,3260,191,87.5,5.1,7.5,17.93,-5.41,-12.51
SOCIAL DEVELOPMENT,PRESENT_IN_BOTH,1431,190,75.3,11.2,13.5,4224,191,93.6,2.7,3.7,18.28,-8.53,-9.75
ECONOMIC THEORY,PRESENT_IN_BOTH,186,186,71.5,27.4,1.1,175,175,91.4,1.1,7.4,19.92,-26.28,6.35
SOCIAL CONDITIONS AND EQUITY,PRESENT_IN_BOTH,3585,191,71.1,10.7,18.2,6127,191,91.6,4.1,4.3,20.45,-6.59,-13.86
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,PRESENT_IN_BOTH,182,182,57.7,29.1,13.2,1055,188,94.1,4.0,1.9,36.43,-25.14,-11.29
ENERGY RESOURCES,PRESENT_IN_BOTH,168,168,58.9,5.4,35.7,539,185,95.5,2.0,2.4,36.62,-3.32,-33.3
CULTURE,NEW_IN_2025,0,0,,,,1332,190,90.8,5.0,4.1,,,
HEALTH,NEW_IN_2025,0,0,,,,1189,189,98.2,0.9,0.8,,,
AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,NEW_IN_2025,0,0,,,,1081,187,90.5,8.0,1.5,,,
SPECIAL HUMANITARIAN OPERATIONS,NEW_IN_2025,0,0,,,,847,182,84.4,3.4,12.2,,,
TRANSPORT AND COMMUNICATIONS,NEW_IN_2025,0,0,,,,726,184,98.9,0.8,0.3,,,
DISEASE PREVENTION AND CONTROL,NEW_IN_2025,0,0,,,,704,186,98.2,1.1,0.7,,,
DISEASES AND CARRIERS OF DISEASES,NEW_IN_2025,0,0,,,,704,186,98.2,1.1,0.7,,,
BANKING AND INVESTMENT,NEW_IN_2025,0,0,,,,550,184,97.3,1.3,1.5,,,
TRANSPORT POLICY AND PLANNING,NEW_IN_2025,0,0,,,,542,183,99.1,0.7,0.2,,,
TRADE IN MANUFACTURES; BARRIERS TO TRADE,NEW_IN_2025,0,0,,,,539,190,82.6,4.1,13.4,,,
EDUCATION,NEW_IN_2025,0,0,,,,525,190,97.0,1.3,1.7,,,
EDUCATIONAL POLICY AND PLANNING,NEW_IN_2025,0,0,,,,525,190,97.0,1.3,1.7,,,
CULTURAL DEVELOPMENT,NEW_IN_2025,0,0,,,,513,186,87.9,11.5,0.6,,,
COMPREHENSIVE HEALTH SERVICES,NEW_IN_2025,0,0,,,,503,186,98.0,1.0,1.0,,,
PHILOSOPHY AND RELIGION,NEW_IN_2025,0,0,,,,454,165,87.9,1.1,11.0,,,
CONSUMERS AND COOPERATIVES,NEW_IN_2025,0,0,,,,365,186,98.4,1.6,0.0,,,
EMPLOYMENT,NEW_IN_2025,0,0,,,,364,183,97.3,1.6,1.1,,,
SPECIAL CATEGORIES OF WORKERS,NEW_IN_2025,0,0,,,,364,183,97.3,1.6,1.1,,,
HUMAN SETTLEMENTS,NEW_IN_2025,0,0,,,,358,186,90.8,4.2,5.0,,,
COMMUNICATION AND MASS MEDIA,NEW_IN_2025,0,0,,,,347,182,98.0,1.2,0.9,,,
FOOD AND NUTRITION,NEW_IN_2025,0,0,,,,342,184,98.8,0.6,0.6,,,
MONETARY ISSUES,NEW_IN_2025,0,0,,,,184,184,94.0,1.6,4.3,,,
TELECOMMUNICATIONS,NEW_IN_2025,0,0,,,,184,184,98.4,1.1,0.5,,,
COMMODITIES,NEW_IN_2025,0,0,,,,183,183,98.4,1.1,0.5,,,
EMPLOYMENT PROMOTION AND PLANNING,NEW_IN_2025,0,0,,,,183,183,97.8,1.6,0.5,,,
TRADE IN COMMODITIES,NEW_IN_2025,0,0,,,,183,183,98.4,1.1,0.5,,,
CROP MANAGEMENT,NEW_IN_2025,0,0,,,,182,182,99.5,0.5,0.0,,,
HOUSING,NEW_IN_2025,0,0,,,,182,182,98.4,1.1,0.5,,,
LAND TRANSPORT,NEW_IN_2025,0,0,,,,182,182,99.5,0.5,0.0,,,
PERSONS WITH DISABILITIES,NEW_IN_2025,0,0,,,,182,182,98.4,1.1,0.5,,,
SPECIAL ECONOMIC AREAS,NEW_IN_2025,0,0,,,,182,182,99.5,0.5,0.0,,,
CRIME AND CRIMINAL JUSTICE,NEW_IN_2025,0,0,,,,180,180,77.2,1.7,21.1,,,
STATISTICS,NEW_IN_2025,0,0,,,,180,180,98.3,0.6,1.1,,,
GEOGRAPHY,NEW_IN_2025,0,0,,,,179,179,99.4,0.6,0.0,,,
LAND FORMS AND ECOSYSTEMS,NEW_IN_2025,0,0,,,,179,179,99.4,0.6,0.0,,,
PSYCHOLOGY,NEW_IN_2025,0,0,,,,178,178,98.3,1.1,0.6,,,
LAW OF WAR,NEW_IN_2025,0,0,,,,177,177,92.7,3.4,4.0,,,
SETTLEMENT PLANNING,NEW_IN_2025,0,0,,,,176,176,83.0,7.4,9.7,,,
