iso3,topic,country_total_votes_2024,country_total_votes_2025,world_total_votes_2025,country_yes_pct_2024,country_yes_pct_2025,country_yes_pct_change,world_yes_pct_2024,world_yes_pct_2025,world_yes_pct_change,gap_vs_world_yes_2024,gap_vs_world_yes_2025,abs_gap_change
ALB,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,1,6,1055,0.0,100.0,100.0,57.7,94.1,36.4,-57.7,5.9,-51.8
ALB,DEVELOPMENT,7,44,7917,28.6,84.1,55.5,76.3,93.7,17.4,-47.8,-9.6,-38.1
ALB,ENERGY RESOURCES,1,3,539,100.0,100.0,0.0,58.9,95.5,36.6,41.1,4.5,-36.6
ALB,SOCIAL DEVELOPMENT,8,24,4224,37.5,91.7,54.2,75.3,93.6,18.3,-37.8,-1.9,-35.9
ALB,WELFARE AND SOCIAL SERVICES,2,14,2466,50.0,92.9,42.9,85.1,95.7,10.6,-35.1,-2.8,-32.3
ALB,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,10,45,8097,40.0,82.2,42.2,79.8,93.1,13.4,-39.8,-10.9,-28.9
ALB,DEVELOPMENT FINANCE,2,11,2001,50.0,72.7,22.7,85.1,90.9,5.8,-35.1,-18.2,-16.9
ALB,ECONOMIC CONDITIONS,2,11,1978,50.0,72.7,22.7,85.1,91.2,6.0,-35.1,-18.4,-16.7
ALB,SCIENCE AND TECHNOLOGY,8,16,2794,62.5,81.2,18.8,85.5,90.7,5.1,-23.0,-9.4,-13.6
ALB,INTERNATIONAL TRADE,3,6,1087,33.3,50.0,16.7,80.9,85.5,4.6,-47.5,-35.5,-12.1
ALB,SOCIAL CONDITIONS AND EQUITY,20,34,6127,50.0,82.4,32.4,71.1,91.6,20.4,-21.1,-9.2,-11.9
ALB,RESOURCES (GENERAL),1,9,1613,100.0,100.0,0.0,90.0,96.6,6.6,10.0,3.4,-6.6
ALB,NATURAL RESOURCES AND THE ENVIRONMENT,7,30,5226,100.0,100.0,0.0,90.2,96.7,6.5,9.8,3.3,-6.5
ALB,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,5,904,33.3,40.0,6.7,80.9,82.9,2.0,-47.5,-42.9,-4.7
ALB,DISARMAMENT AND MILITARY QUESTIONS,41,41,7411,51.2,58.5,7.3,80.6,83.8,3.2,-29.4,-25.3,-4.1
ALB,WOMEN'S ADVANCEMENT,1,3,672,100.0,100.0,0.0,94.1,97.5,3.4,5.9,2.5,-3.4
ALB,MARINE RESOURCES,3,7,1216,100.0,100.0,0.0,95.6,97.4,1.7,4.4,2.6,-1.7
ALB,WILDLIFE,1,4,666,100.0,100.0,0.0,97.6,99.1,1.5,2.4,0.9,-1.5
ALB,HUMAN RIGHTS,17,18,3260,52.9,72.2,19.3,69.6,87.5,17.9,-16.6,-15.3,-1.4
ALB,POLITICAL AND LEGAL QUESTIONS,80,130,22664,56.2,63.1,6.8,78.5,84.4,5.9,-22.3,-21.4,-0.9
ALB,ENVIRONMENT,3,25,4347,100.0,100.0,0.0,96.6,96.4,-0.3,3.4,3.6,0.3
ALB,MAINTENANCE OF PEACE AND SECURITY,31,47,8076,51.6,55.3,3.7,77.3,81.3,4.1,-25.7,-26.0,0.4
ALB,INTERNATIONAL RELATIONS,31,48,8074,58.1,64.6,6.5,75.9,84.2,8.3,-17.9,-19.6,1.8
ALB,GENERAL AND NATIONAL LAW,1,8,1423,100.0,87.5,-12.5,95.7,94.6,-1.1,4.3,-7.1,2.8
ALB,HUMANITARIAN AID AND RELIEF,5,16,2745,80.0,81.2,1.2,82.9,87.4,4.5,-2.9,-6.1,3.2
ALB,COMPUTER SCIENCE AND TECHNOLOGY,1,6,1066,100.0,83.3,-16.7,95.8,91.7,-4.1,4.2,-8.3,4.1
ALB,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,5,8,1390,80.0,75.0,-5.0,82.9,84.5,1.6,-2.9,-9.5,6.6
ALB,SPACE SCIENCES,3,5,887,66.7,60.0,-6.7,84.9,86.2,1.4,-18.2,-26.2,8.1
ALB,DISCRIMINATION,9,8,1410,55.6,62.5,6.9,69.5,86.1,16.6,-14.0,-23.6,9.6
ALB,INTERNATIONAL LAW,11,43,7745,72.7,69.8,-3.0,79.0,85.8,6.8,-6.3,-16.0,9.7
ALB,POLLUTION,3,3,503,100.0,100.0,0.0,95.3,85.5,-9.8,4.7,14.5,9.8
ALB,POLITICAL EVENTS AND ISSUES,16,21,3546,56.2,52.4,-3.9,66.1,81.8,15.7,-9.8,-29.4,19.6
ALB,PUBLIC FINANCE,1,4,728,100.0,50.0,-50.0,95.7,83.8,-11.9,4.3,-33.8,29.5
