iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
BRB,100.0,1,87.1,99.92,145,0,0,145,100.0,0.0,0.0,100.0,23.94,7.16,Caribbean,Latin America & Caribbean
CPV,100.0,1,96.77,97.55,184,0,0,184,100.0,0.0,0.0,100.0,23.94,7.16,Western Africa,Sub-Saharan Africa
URY,100.0,1,82.55,99.92,190,0,0,190,100.0,0.0,0.0,100.0,23.94,7.16,South America,Latin America & Caribbean
SUR,99.74,4,94.45,99.61,190,0,1,191,99.5,0.0,0.5,99.48,22.89,6.9,South America,Latin America & Caribbean
JAM,99.73,5,91.84,99.6,187,0,1,188,99.5,0.0,0.5,99.47,22.87,6.9,Caribbean,Latin America & Caribbean
SYC,99.7,6,92.55,97.77,170,0,1,171,99.4,0.0,0.6,99.42,22.77,6.87,Eastern Africa,Sub-Saharan Africa
AZE,99.68,7,87.38,98.1,157,0,1,158,99.4,0.0,0.6,99.37,22.67,6.84,Western Asia,Western Asia
CHL,99.47,8,94.62,99.29,190,0,2,192,99.0,0.0,1.0,98.96,21.85,6.64,South America,Latin America & Caribbean
GTM,99.47,8,76.53,99.29,190,0,2,192,99.0,0.0,1.0,98.96,21.85,6.64,Central America,Latin America & Caribbean
TLS,99.46,10,89.54,98.34,187,0,2,189,98.9,0.0,1.1,98.94,21.82,6.63,South-eastern Asia,South-eastern Asia
BLZ,99.43,11,89.1,99.25,176,0,2,178,98.9,0.0,1.1,98.88,21.69,6.6,Central America,Latin America & Caribbean
GAB,99.42,12,82.9,99.61,172,0,2,174,98.9,0.0,1.1,98.85,21.64,6.58,Middle Africa,Sub-Saharan Africa
ZMB,99.37,13,86.67,99.97,158,0,2,160,98.8,0.0,1.2,98.75,21.44,6.53,Eastern Africa,Sub-Saharan Africa
BEN,99.36,14,87.0,98.39,78,0,1,79,98.7,0.0,1.3,98.73,21.4,6.52,Western Africa,Sub-Saharan Africa
LBR,99.35,15,43.67,97.59,155,0,2,157,98.7,0.0,1.3,98.73,21.39,6.52,Western Africa,Sub-Saharan Africa
SOM,99.26,16,91.9,98.15,135,0,2,137,98.5,0.0,1.5,98.54,21.02,6.42,Eastern Africa,Sub-Saharan Africa
MMR,99.19,18,98.47,97.34,185,0,3,188,98.4,0.0,1.6,98.4,20.74,6.35,South-eastern Asia,South-eastern Asia
TKM,99.19,17,92.19,99.95,125,1,1,127,98.4,0.8,0.8,98.43,20.79,6.36,Central Asia,Central Asia
BHS,99.18,19,89.76,98.94,182,0,3,185,98.4,0.0,1.6,98.38,20.69,6.34,Caribbean,Latin America & Caribbean
