iso3,year,p3_score,p3_rank,yes,no,abstain,total
ARG,2015,95.91,63,72,0,6,78
ARG,2016,94.9,64,74,0,7,81
ARG,2017,93.99,104,84,0,10,94
ARG,2018,94.08,85,93,0,14,107
ARG,2019,94.47,88,89,0,11,100
ARG,2020,94.56,70,90,0,10,100
ARG,2021,92.2,91,76,0,10,86
ARG,2022,90.52,57,81,0,8,89
ARG,2023,91.99,76,80,0,8,88
ARG,2024,39.99,189,42,38,15,95
ARG,2025,32.79,189,42,84,29,155
CAN,2015,27.2,191,26,38,13,77
CAN,2016,39.71,191,35,32,14,81
CAN,2017,47.24,190,40,33,21,94
CAN,2018,57.19,191,54,33,20,107
CAN,2019,54.9,190,48,31,21,100
CAN,2020,59.32,191,53,31,16,100
CAN,2021,48.2,190,41,27,17,85
CAN,2022,43.19,190,44,30,15,89
CAN,2023,49.03,188,45,28,15,88
CAN,2024,58.05,177,51,23,21,95
CAN,2025,87.36,165,148,23,21,192
CHN,2015,86.06,126,60,6,11,77
CHN,2016,80.27,131,59,8,13,80
CHN,2017,89.04,120,78,8,8,94
CHN,2018,86.34,119,82,10,13,105
CHN,2019,87.37,124,79,11,8,98
CHN,2020,84.41,130,77,12,9,98
CHN,2021,82.86,128,67,12,7,86
CHN,2022,72.43,132,63,14,11,88
CHN,2023,76.08,127,62,11,14,87
CHN,2024,77.19,125,68,11,15,94
CHN,2025,93.1,122,167,7,18,192
DEU,2015,60.54,178,40,18,18,76
DEU,2016,66.25,178,49,17,15,81
DEU,2017,68.35,170,55,18,21,94
DEU,2018,75.07,168,71,20,16,107
DEU,2019,65.36,172,56,20,24,100
DEU,2020,70.77,178,62,23,15,100
DEU,2021,62.59,171,50,19,17,86
DEU,2022,62.16,167,55,23,11,89
DEU,2023,59.84,172,51,21,16,88
DEU,2024,61.57,170,53,22,19,94
DEU,2025,87.36,165,148,23,21,192
FRA,2015,51.92,185,36,22,20,78
FRA,2016,56.45,185,42,20,18,80
FRA,2017,64.11,186,51,23,19,93
FRA,2018,68.96,184,64,24,19,107
FRA,2019,60.79,187,52,23,25,100
FRA,2020,65.72,188,57,24,19,100
FRA,2021,58.77,185,47,24,13,84
FRA,2022,58.49,179,52,22,15,89
FRA,2023,54.23,184,48,26,14,88
FRA,2024,56.17,179,50,26,19,95
FRA,2025,85.35,175,142,28,22,192
FSM,2015,38.73,190,24,27,7,58
FSM,2016,47.15,188,32,26,7,65
FSM,2017,55.43,189,37,28,8,73
FSM,2018,58.23,189,42,28,8,78
FSM,2019,55.88,189,36,26,8,70
FSM,2020,66.25,187,37,19,5,61
FSM,2021,51.22,189,33,23,7,63
FSM,2022,46.1,188,36,25,6,67
FSM,2023,50.21,187,36,24,7,67
FSM,2024,54.75,183,40,26,9,75
FSM,2025,86.35,169,120,27,11,158
GBR,2015,50.81,186,36,26,16,78
GBR,2016,55.89,187,43,25,13,81
GBR,2017,62.94,187,51,28,14,93
GBR,2018,68.04,185,64,29,14,107
GBR,2019,58.58,188,51,30,19,100
GBR,2020,66.92,185,59,28,13,100
GBR,2021,52.26,188,45,30,11,86
GBR,2022,56.04,183,52,28,9,89
GBR,2023,50.34,186,47,32,8,87
GBR,2024,52.84,185,49,32,14,95
GBR,2025,84.93,178,141,31,20,192
GEO,2015,63.64,161,42,9,24,75
GEO,2016,68.63,170,48,8,20,76
GEO,2017,65.84,183,51,9,29,89
GEO,2018,73.45,176,66,11,25,102
GEO,2019,63.44,183,54,12,32,98
GEO,2020,69.39,183,60,13,26,99
GEO,2021,59.42,183,47,9,27,83
GEO,2022,60.3,173,52,11,24,87
GEO,2023,53.64,185,46,11,28,85
GEO,2024,45.19,188,44,10,39,93
GEO,2025,84.14,180,133,11,39,183
ISR,2015,0.0,193,15,51,12,78
ISR,2016,0.0,193,19,46,14,79
ISR,2017,0.84,192,18,64,9,91
ISR,2018,7.07,192,22,64,14,100
ISR,2019,5.22,192,22,66,8,96
ISR,2020,5.66,192,23,62,14,99
ISR,2021,0.0,193,22,51,11,84
ISR,2022,0.0,192,27,47,12,86
ISR,2023,0.0,192,26,52,10,88
ISR,2024,0.0,191,24,54,15,93
ISR,2025,12.87,190,20,98,27,145
PRY,2015,85.09,128,59,0,17,76
PRY,2016,80.93,128,60,0,20,80
PRY,2017,84.44,132,72,0,22,94
PRY,2018,94.89,69,86,0,12,98
PRY,2019,96.34,58,90,1,7,98
PRY,2020,95.89,42,91,0,8,99
