iso3,p3_2025,world_avg_2025,diff_from_world_avg,broad_region,broad_region_avg_2025,diff_from_broad_region_avg,region,majority_alignment_rate_2025,vote_mix_distance_l1_2025,total_2025
USA,0.0,92.84,-92.84,Northern America,43.68,-43.68,Northern America,5.21,171.33,192
ISR,12.87,92.84,-79.97,Western Asia,90.18,-77.31,Western Asia,13.79,148.48,145
ARG,32.79,92.84,-60.05,Latin America & Caribbean,95.39,-62.6,South America,27.1,121.87,155
PRY,74.2,92.84,-18.64,Latin America & Caribbean,95.39,-21.19,South America,59.16,57.74,191
SSD,76.23,92.84,-16.6,Sub-Saharan Africa,96.68,-20.45,Eastern Africa,64.29,53.85,56
NRU,78.76,92.84,-14.07,Oceania,91.48,-12.72,Micronesia,66.07,43.92,56
HUN,81.47,92.84,-11.36,Eastern Europe,85.9,-4.43,Eastern Europe,68.23,39.61,192
MDG,83.12,92.84,-9.71,Sub-Saharan Africa,96.68,-13.56,Eastern Africa,72.73,40.53,11
MKD,83.26,92.84,-9.57,Southern Europe,88.32,-5.06,Southern Europe,70.74,34.58,188
UKR,83.99,92.84,-8.85,Eastern Europe,85.9,-1.91,Eastern Europe,71.81,32.45,188
ALB,84.03,92.84,-8.81,Southern Europe,88.32,-4.3,Southern Europe,71.96,32.15,189
GEO,84.14,92.84,-8.7,Western Asia,90.18,-6.05,Western Asia,72.68,30.71,183
CZE,84.38,92.84,-8.46,Eastern Europe,85.9,-1.52,Eastern Europe,72.4,31.27,192
GBR,84.93,92.84,-7.9,Northern Europe,87.34,-2.41,Northern Europe,73.44,29.19,192
BGR,84.96,92.84,-7.87,Eastern Europe,85.9,-0.94,Eastern Europe,73.3,29.47,191
RUS,85.25,92.84,-7.58,Eastern Europe,85.9,-0.65,Eastern Europe,73.96,28.15,192
FRA,85.35,92.84,-7.49,Western Europe,88.58,-3.24,Western Europe,73.96,28.15,192
LTU,85.4,92.84,-7.43,Northern Europe,87.34,-1.94,Northern Europe,73.96,28.15,192
POL,85.73,92.84,-7.1,Eastern Europe,85.9,-0.17,Eastern Europe,74.48,27.11,192
ROU,85.73,92.84,-7.1,Eastern Europe,85.9,-0.17,Eastern Europe,74.48,27.11,192
LVA,86.06,92.84,-6.77,Northern Europe,87.34,-1.28,Northern Europe,75.0,26.06,192
EST,86.31,92.84,-6.52,Northern Europe,87.34,-1.03,Northern Europe,75.39,25.28,191
FSM,86.35,92.84,-6.48,Oceania,91.48,-5.13,Micronesia,75.95,24.25,158
SVK,86.97,92.84,-5.86,Eastern Europe,85.9,1.07,Eastern Europe,76.44,23.18,191
HRV,87.04,92.84,-5.8,Southern Europe,88.32,-1.29,Southern Europe,76.56,22.94,192
CAN,87.36,92.84,-5.48,Northern America,43.68,43.68,Northern America,77.08,21.9,192
DEU,87.36,92.84,-5.48,Western Europe,88.58,-1.23,Western Europe,77.08,21.9,192
ITA,87.37,92.84,-5.46,Southern Europe,88.32,-0.95,Southern Europe,77.08,21.9,192
KOR,87.62,92.84,-5.22,Eastern Asia,91.15,-3.53,Eastern Asia,77.49,21.09,191
DNK,87.68,92.84,-5.15,Northern Europe,87.34,0.34,Northern Europe,77.6,20.86,192
SWE,87.68,92.84,-5.15,Northern Europe,87.34,0.34,Northern Europe,77.6,20.86,192
MCO,87.73,92.84,-5.11,Western Europe,88.58,-0.86,Western Europe,77.66,20.75,188
FIN,87.99,92.84,-4.84,Northern Europe,87.34,0.65,Northern Europe,78.12,19.81,192
PRK,88.18,92.84,-4.65,Eastern Asia,91.15,-2.97,Eastern Asia,78.45,19.16,181
NLD,88.19,92.84,-4.64,Western Europe,88.58,-0.39,Western Europe,78.42,19.22,190
ISL,88.26,92.84,-4.58,Northern Europe,87.34,0.91,Northern Europe,78.53,19.0,191
BEL,88.31,92.84,-4.52,Western Europe,88.58,-0.27,Western Europe,78.65,18.77,192
GRC,88.31,92.84,-4.52,Southern Europe,88.32,-0.01,Southern Europe,78.65,18.77,192
