broad_region,iso3,region,p3_2024,p3_2025,p3_change,region_avg_change,contribution_to_region_avg_change,total_2024,total_2025
Africa,SDN,Northern Africa,84.32,95.59,11.27,8.17,1.88,93,189
Africa,EGY,Northern Africa,85.3,95.29,9.98,8.17,1.66,95,190
Africa,DZA,Northern Africa,87.11,96.21,9.1,8.17,1.52,95,192
Africa,LBY,Northern Africa,88.32,96.65,8.33,8.17,1.39,91,186
Africa,TUN,Northern Africa,91.95,97.84,5.88,8.17,0.98,93,190
Africa,MAR,Northern Africa,94.15,98.6,4.45,8.17,0.74,89,182
Central Asia,TJK,Central Asia,86.94,96.89,9.95,5.63,1.99,82,183
Central Asia,KGZ,Central Asia,90.4,97.47,7.08,5.63,1.42,87,184
Central Asia,KAZ,Central Asia,91.62,97.23,5.61,5.63,1.12,90,187
Central Asia,UZB,Central Asia,92.16,97.27,5.11,5.63,1.02,84,170
Central Asia,TKM,Central Asia,98.76,99.19,0.43,5.63,0.09,61,127
Eastern Asia,PRK,Eastern Asia,62.91,88.18,25.28,17.49,5.06,86,181
Eastern Asia,KOR,Eastern Asia,63.52,87.62,24.1,17.49,4.82,95,191
Eastern Asia,JPN,Eastern Asia,70.91,89.84,18.92,17.49,3.78,95,192
Eastern Asia,CHN,Eastern Asia,77.19,93.1,15.91,17.49,3.18,94,192
Eastern Asia,MNG,Eastern Asia,93.78,97.01,3.23,17.49,0.65,94,191
Eastern Europe,UKR,Eastern Europe,52.02,83.99,31.97,27.14,3.2,94,188
Eastern Europe,CZE,Eastern Europe,53.14,84.38,31.24,27.14,3.12,95,192
Eastern Europe,ROU,Eastern Europe,55.76,85.73,29.97,27.14,3.0,95,192
Eastern Europe,RUS,Eastern Europe,55.48,85.25,29.77,27.14,2.98,95,192
Eastern Europe,HUN,Eastern Europe,51.91,81.47,29.56,27.14,2.96,95,192
Eastern Europe,POL,Eastern Europe,57.17,85.73,28.57,27.14,2.86,95,192
Eastern Europe,SVK,Eastern Europe,59.41,86.97,27.56,27.14,2.76,95,191
Eastern Europe,BGR,Eastern Europe,60.94,84.96,24.02,27.14,2.4,95,191
Eastern Europe,MDA,Eastern Europe,67.61,89.5,21.89,27.14,2.19,95,191
Eastern Europe,BLR,Eastern Europe,74.18,91.02,16.84,27.14,1.68,94,191
Latin America & Caribbean,NIC,Central America,80.27,93.56,13.29,3.85,0.42,94,174
Latin America & Caribbean,PAN,Central America,82.56,95.0,12.43,3.85,0.39,94,191
Latin America & Caribbean,CUB,Caribbean,83.78,95.85,12.07,3.85,0.38,95,188
Latin America & Caribbean,BOL,South America,90.09,98.69,8.6,3.85,0.27,91,40
Latin America & Caribbean,URY,South America,92.09,100.0,7.91,3.85,0.25,95,190
Latin America & Caribbean,MEX,Central America,91.16,98.94,7.78,3.85,0.24,94,192
Latin America & Caribbean,ARG,South America,39.99,32.79,-7.21,3.85,-0.23,95,155
Latin America & Caribbean,BRA,South America,91.16,97.58,6.42,3.85,0.2,94,192
Latin America & Caribbean,ECU,South America,89.96,96.1,6.14,3.85,0.19,91,188
Latin America & Caribbean,GTM,Central America,93.72,99.47,5.76,3.85,0.18,95,192
Latin America & Caribbean,KNA,Caribbean,94.3,99.16,4.86,3.85,0.15,77,181
Latin America & Caribbean,DOM,Caribbean,94.52,98.92,4.41,3.85,0.14,95,189
Latin America & Caribbean,LCA,Caribbean,94.5,99.09,4.59,3.85,0.14,93,168
Latin America & Caribbean,CHL,South America,95.3,99.47,4.17,3.85,0.13,95,192
Latin America & Caribbean,HTI,Caribbean,93.62,97.9,4.28,3.85,0.13,81,171
Latin America & Caribbean,TTO,Caribbean,95.5,98.93,3.43,3.85,0.11,95,190
Latin America & Caribbean,BLZ,Central America,96.7,99.43,2.73,3.85,0.09,88,178
Latin America & Caribbean,GUY,South America,96.28,98.94,2.66,3.85,0.08,95,192
Latin America & Caribbean,BHS,Caribbean,96.97,99.18,2.21,3.85,0.07,92,185
Latin America & Caribbean,BRB,Caribbean,97.61,100.0,2.39,3.85,0.07,91,145
Latin America & Caribbean,JAM,Caribbean,97.58,99.73,2.15,3.85,0.07,90,188
Latin America & Caribbean,PRY,South America,72.01,74.2,2.19,3.85,0.07,94,191
Latin America & Caribbean,VCT,Caribbean,94.52,96.75,2.23,3.85,0.07,80,16
Latin America & Caribbean,CRI,Central America,95.3,97.3,1.99,3.85,0.06,95,191
Latin America & Caribbean,DMA,Caribbean,97.28,95.61,-1.68,3.85,-0.05,28,48
Latin America & Caribbean,GRD,Caribbean,96.93,98.48,1.55,3.85,0.05,71,101
Latin America & Caribbean,COL,South America,97.07,98.4,1.33,3.85,0.04,95,192
Latin America & Caribbean,HND,Central America,97.82,99.12,1.3,3.85,0.04,94,173
Latin America & Caribbean,PER,South America,96.85,98.11,1.26,3.85,0.04,95,190
Latin America & Caribbean,ATG,Caribbean,98.32,99.13,0.81,3.85,0.03,87,175
Latin America & Caribbean,SLV,Central America,96.2,96.84,0.64,3.85,0.02,93,181
Latin America & Caribbean,SUR,South America,99.23,99.74,0.51,3.85,0.02,92,191
Northern America,CAN,Northern America,58.05,87.36,29.31,6.56,14.65,95,192
Northern America,USA,Northern America,16.19,0.0,-16.19,6.56,-8.09,94,192
Northern Europe,GBR,Northern Europe,52.84,84.93,32.1,24.07,3.21,95,192
Northern Europe,LTU,Northern Europe,55.65,85.4,29.75,24.07,2.98,95,192
Northern Europe,EST,Northern Europe,59.67,86.31,26.65,24.07,2.66,95,191
Northern Europe,LVA,Northern Europe,59.84,86.06,26.22,24.07,2.62,95,192
Northern Europe,FIN,Northern Europe,63.61,87.99,24.38,24.07,2.44,95,192
Northern Europe,DNK,Northern Europe,63.39,87.68,24.29,24.07,2.43,95,192
Northern Europe,SWE,Northern Europe,63.52,87.68,24.16,24.07,2.42,95,192
Northern Europe,ISL,Northern Europe,68.16,88.26,20.1,24.07,2.01,94,191
Northern Europe,NOR,Northern Europe,70.87,88.64,17.77,24.07,1.78,95,192
Northern Europe,IRL,Northern Europe,75.24,90.48,15.24,24.07,1.52,95,192
Oceania,FSM,Micronesia,54.75,86.35,31.6,12.76,2.26,75,158
Oceania,AUS,Australia and New Zealand,64.6,88.63,24.03,12.76,1.72,95,192
Oceania,PLW,Micronesia,67.81,90.18,22.37,12.76,1.6,90,173
Oceania,TON,Polynesia,72.88,92.06,19.18,12.76,1.37,79,174
Oceania,NZL,Australia and New Zealand,75.11,91.36,16.25,12.76,1.16,95,192
Oceania,PNG,Melanesia,75.32,91.42,16.1,12.76,1.15,92,181
Oceania,NRU,Micronesia,64.84,78.76,13.92,12.76,0.99,50,56
Oceania,FJI,Melanesia,79.19,88.99,9.8,12.76,0.7,82,185
Oceania,KIR,Micronesia,87.47,97.03,9.56,12.76,0.68,80,70
Oceania,TUV,Polynesia,89.56,96.71,7.16,12.76,0.51,65,142
Oceania,MHL,Micronesia,83.12,90.12,7.0,12.76,0.5,87,181
Oceania,WSM,Polynesia,96.67,92.58,-4.08,12.76,-0.29,65,140
Oceania,VUT,Melanesia,95.77,99.16,3.4,12.76,0.24,88,182
Oceania,SLB,Melanesia,94.92,97.34,2.42,12.76,0.17,72,175
South-eastern Asia,IDN,South-eastern Asia,88.85,97.59,8.74,5.19,0.79,95,192
South-eastern Asia,LAO,South-eastern Asia,90.26,97.23,6.97,5.19,0.63,93,187
South-eastern Asia,PHL,South-eastern Asia,92.17,98.94,6.77,5.19,0.62,95,192
South-eastern Asia,BRN,South-eastern Asia,91.35,97.86,6.51,5.19,0.59,95,192
South-eastern Asia,VNM,South-eastern Asia,91.01,97.55,6.53,5.19,0.59,92,189
South-eastern Asia,MYS,South-eastern Asia,92.13,98.13,6.0,5.19,0.55,95,192
South-eastern Asia,TLS,South-eastern Asia,95.04,99.46,4.43,5.19,0.4,90,189
South-eastern Asia,KHM,South-eastern Asia,93.5,97.55,4.05,5.19,0.37,92,190
South-eastern Asia,THA,South-eastern Asia,94.52,98.4,3.89,5.19,0.35,95,192
South-eastern Asia,SGP,South-eastern Asia,95.5,98.13,2.63,5.19,0.24,95,192
South-eastern Asia,MMR,South-eastern Asia,98.59,99.19,0.6,5.19,0.05,93,188
Southern Asia,IND,Southern Asia,73.19,91.22,18.03,9.22,2.25,95,192
Southern Asia,PAK,Southern Asia,77.42,92.94,15.52,9.22,1.94,94,190
Southern Asia,IRN,Southern Asia,78.32,93.41,15.08,9.22,1.89,91,185
Southern Asia,NPL,Southern Asia,90.89,97.55,6.66,9.22,0.83,91,190
Southern Asia,LKA,Southern Asia,90.48,97.04,6.56,9.22,0.82,95,192
Southern Asia,BGD,Southern Asia,93.0,97.85,4.85,9.22,0.61,94,191
Southern Asia,BTN,Southern Asia,94.49,98.61,4.12,9.22,0.52,92,184
Southern Asia,MDV,Southern Asia,95.45,98.4,2.95,9.22,0.37,94,192
Southern Europe,HRV,Southern Europe,59.59,87.04,27.45,20.64,1.96,95,192
Southern Europe,ALB,Southern Europe,60.85,84.03,23.17,20.64,1.66,95,189
Southern Europe,PRT,Southern Europe,65.7,88.63,22.94,20.64,1.64,94,192
Southern Europe,ITA,Southern Europe,64.75,87.37,22.62,20.64,1.62,95,192
Southern Europe,ESP,Southern Europe,66.06,88.63,22.57,20.64,1.61,95,192
Southern Europe,MNE,Southern Europe,66.06,88.32,22.26,20.64,1.59,95,192
Southern Europe,GRC,Southern Europe,66.14,88.31,22.17,20.64,1.58,95,192
Southern Europe,SVN,Southern Europe,67.33,88.94,21.61,20.64,1.54,95,192
Southern Europe,MKD,Southern Europe,62.74,83.26,20.52,20.64,1.47,91,188
Southern Europe,SRB,Southern Europe,69.36,89.7,20.35,20.64,1.45,82,171
Southern Europe,BIH,Southern Europe,70.91,88.87,17.96,20.64,1.28,95,191
Southern Europe,MLT,Southern Europe,76.24,91.67,15.43,20.64,1.1,95,192
Southern Europe,AND,Southern Europe,75.64,90.67,15.03,20.64,1.07,93,190
Southern Europe,SMR,Southern Europe,76.26,91.08,14.82,20.64,1.06,95,192
Sub-Saharan Africa,CMR,Middle Africa,72.63,93.31,20.68,4.59,0.43,85,170
Sub-Saharan Africa,LBR,Western Africa,84.66,99.35,14.7,4.59,0.31,77,157
Sub-Saharan Africa,TGO,Western Africa,80.46,94.37,13.91,4.59,0.29,90,190
Sub-Saharan Africa,SSD,Eastern Africa,64.48,76.23,11.75,4.59,0.24,19,56
Sub-Saharan Africa,ZWE,Eastern Africa,85.8,95.7,9.91,4.59,0.21,91,182
Sub-Saharan Africa,RWA,Eastern Africa,88.21,97.23,9.02,4.59,0.19,85,168
Sub-Saharan Africa,MLI,Western Africa,88.29,97.09,8.8,4.59,0.18,93,180
Sub-Saharan Africa,MWI,Eastern Africa,90.38,99.0,8.63,4.59,0.18,78,153
Sub-Saharan Africa,CIV,Western Africa,89.97,97.83,7.86,4.59,0.16,91,190
Sub-Saharan Africa,ETH,Eastern Africa,86.54,94.31,7.77,4.59,0.16,92,188
Sub-Saharan Africa,MDG,Eastern Africa,90.67,83.12,-7.54,4.59,-0.16,81,11
Sub-Saharan Africa,GIN,Western Africa,90.74,97.92,7.18,4.59,0.15,90,173
Sub-Saharan Africa,ERI,Eastern Africa,91.16,97.71,6.55,4.59,0.14,95,181
Sub-Saharan Africa,SEN,Western Africa,92.32,98.34,6.02,4.59,0.13,88,185
Sub-Saharan Africa,MOZ,Eastern Africa,91.21,96.93,5.72,4.59,0.12,86,186
Sub-Saharan Africa,BDI,Eastern Africa,90.75,96.01,5.26,4.59,0.11,89,170
Sub-Saharan Africa,GNB,Western Africa,93.27,98.69,5.42,4.59,0.11,77,156
Sub-Saharan Africa,NER,Western Africa,91.43,96.91,5.48,4.59,0.11,88,171
Sub-Saharan Africa,NGA,Western Africa,91.47,96.77,5.3,4.59,0.11,88,161
Sub-Saharan Africa,STP,Middle Africa,95.8,90.67,-5.13,4.59,-0.11,35,12
Sub-Saharan Africa,ZAF,Southern Africa,92.13,97.31,5.18,4.59,0.11,95,192
Sub-Saharan Africa,SWZ,Southern Africa,93.79,98.79,5.0,4.59,0.1,59,84
Sub-Saharan Africa,UGA,Eastern Africa,92.32,96.89,4.57,4.59,0.1,87,184
Sub-Saharan Africa,AGO,Middle Africa,92.67,96.98,4.31,4.59,0.09,92,189
Sub-Saharan Africa,COG,Middle Africa,93.85,98.12,4.27,4.59,0.09,85,164
Sub-Saharan Africa,COM,Eastern Africa,94.94,99.07,4.13,4.59,0.09,71,165
Sub-Saharan Africa,KEN,Eastern Africa,92.94,97.4,4.46,4.59,0.09,94,179
Sub-Saharan Africa,LSO,Southern Africa,93.41,97.96,4.55,4.59,0.09,89,176
Sub-Saharan Africa,MRT,Western Africa,93.39,97.52,4.13,4.59,0.09,89,187
Sub-Saharan Africa,BEN,Western Africa,95.29,99.36,4.06,4.59,0.08,62,79
Sub-Saharan Africa,GNQ,Middle Africa,93.67,97.44,3.77,4.59,0.08,71,161
Sub-Saharan Africa,BFA,Western Africa,95.18,97.85,2.66,4.59,0.06,81,170
Sub-Saharan Africa,GAB,Middle Africa,96.56,99.42,2.86,4.59,0.06,84,174
Sub-Saharan Africa,BWA,Southern Africa,95.33,97.86,2.52,4.59,0.05,78,144
Sub-Saharan Africa,TZA,Eastern Africa,94.77,97.28,2.5,4.59,0.05,84,171
Sub-Saharan Africa,DJI,Eastern Africa,96.78,98.6,1.82,4.59,0.04,90,182
Sub-Saharan Africa,GHA,Western Africa,95.97,97.89,1.93,4.59,0.04,90,171
Sub-Saharan Africa,MUS,Eastern Africa,96.83,98.62,1.79,4.59,0.04,91,185
Sub-Saharan Africa,COD,Middle Africa,95.01,96.62,1.62,4.59,0.03,73,139
Sub-Saharan Africa,NAM,Southern Africa,93.56,95.21,1.65,4.59,0.03,91,177
Sub-Saharan Africa,SLE,Western Africa,97.58,98.85,1.27,4.59,0.03,89,177
Sub-Saharan Africa,SYC,Eastern Africa,98.3,99.7,1.41,4.59,0.03,84,171
Sub-Saharan Africa,TCD,Middle Africa,97.45,98.9,1.45,4.59,0.03,89,186
Sub-Saharan Africa,CAF,Middle Africa,92.36,93.31,0.95,4.59,0.02,69,158
Sub-Saharan Africa,GMB,Western Africa,98.3,97.61,-0.68,4.59,-0.01,84,173
Sub-Saharan Africa,SOM,Eastern Africa,98.91,99.26,0.35,4.59,0.01,69,137
Sub-Saharan Africa,ZMB,Eastern Africa,98.88,99.37,0.49,4.59,0.01,67,160
Sub-Saharan Africa,CPV,Western Africa,100.0,100.0,0.0,4.59,0.0,80,184
Western Asia,GEO,Western Asia,45.19,84.14,38.94,11.53,2.29,93,183
Western Asia,ARM,Western Asia,72.41,93.46,21.05,11.53,1.24,90,180
Western Asia,SYR,Western Asia,77.02,95.49,18.47,11.53,1.09,74,93
