geo_l3,resolution_count,pct_of_192
State of Palestine,12,6.25
Israel,10,5.21
Syrian Arab Republic,9,4.69
Lebanon,5,2.60
Ukraine,5,2.60
Jordan,3,1.56
Angola,2,1.04
Cameroon,2,1.04
Central African Republic,2,1.04
Chad,2,1.04
Congo [Republic of the Congo],2,1.04
Democratic Republic of the Congo [DR Congo],2,1.04
Equatorial Guinea,2,1.04
Gabon,2,1.04
Iran (Islamic Republic of),2,1.04
Islamic Republic of Afghanistan,2,1.04
Myanmar [Burma],2,1.04
Sao Tome and Principe,2,1.04
American Samoa,1,0.52
Azerbaijan,1,0.52
Belize,1,0.52
Brunei Darussalam,1,0.52
Cambodia,1,0.52
Costa Rica,1,0.52
Cuba,1,0.52
Dominican Republic,1,0.52
El Salvador,1,0.52
Georgia,1,0.52
Guam,1,0.52
Guatemala,1,0.52
Honduras,1,0.52
Indonesia,1,0.52
Kazakhstan,1,0.52
Kyrgyzstan,1,0.52
Lao People's Democratic Republic,1,0.52
Malaysia,1,0.52
Nicaragua,1,0.52
Pakistan,1,0.52
Panama,1,0.52
Philippines,1,0.52
Singapore,1,0.52
Tajikistan,1,0.52
Thailand,1,0.52
Turkmenistan,1,0.52
Türkiye,1,0.52
United States Virgin Islands,1,0.52
United States of America,1,0.52
Uzbekistan,1,0.52
Viet Nam,1,0.52
