year,resolution_count,vote_slot_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,unknown_vote_count
1946,39,7527,1296,958,73.92,182,14.04,156,12.04,6231,0
1947,45,8685,693,530,76.48,54,7.79,109,15.73,7992,0
1948,60,11580,860,685,79.65,84,9.77,91,10.58,10720,0
1949,112,21616,951,703,73.92,146,15.35,102,10.73,20665,0
1950,120,23160,1030,760,73.79,145,14.08,125,12.14,22130,0
1951,21,4053,287,214,74.56,38,13.24,35,12.20,3766,0
1952,173,33389,1631,1170,71.74,316,19.37,145,8.89,31758,0
1953,91,17563,650,478,73.54,121,18.62,51,7.85,16913,0
1954,83,16019,685,508,74.16,128,18.69,49,7.15,15334,0
1955,59,11387,363,234,64.46,71,19.56,58,15.98,11024,0
1956,43,8299,1830,1482,80.98,233,12.73,115,6.28,6469,0
1957,138,26634,2115,1638,77.45,307,14.52,170,8.04,24519,0
1958,72,13896,1112,825,74.19,181,16.28,106,9.53,12784,0
1959,87,16791,1430,1038,72.59,291,20.35,101,7.06,15361,0
1960,64,12352,1579,1185,75.05,276,17.48,118,7.47,10773,0
1961,78,15054,3727,2596,69.65,798,21.41,333,8.93,11327,0
1962,72,13896,1723,1290,74.87,304,17.64,129,7.49,12173,0
1963,62,11966,2396,1951,81.43,294,12.27,151,6.30,9570,0
1965,74,14282,2981,2299,77.12,455,15.26,227,7.61,11301,0
1966,78,15054,2817,2182,77.46,431,15.30,204,7.24,12237,0
1967,84,16212,3035,2328,76.71,521,17.17,186,6.13,13177,0
1968,87,16791,3083,2368,76.81,472,15.31,243,7.88,13708,0
1969,93,17949,3674,2732,74.36,668,18.18,274,7.46,14275,0
1970,103,19879,4343,3395,78.17,640,14.74,308,7.09,15536,0
1971,128,24704,9126,7756,84.99,1051,11.52,319,3.50,15578,0
1972,122,23546,10004,8563,85.60,1153,11.53,288,2.88,13542,0
1973,107,20651,9069,7730,85.24,1167,12.87,172,1.90,11582,0
1974,92,17756,7025,5771,82.15,958,13.64,296,4.21,10731,0
1975,102,19686,9081,7486,82.44,1145,12.61,450,4.96,10605,0
1976,98,18914,11594,9898,85.37,1368,11.80,328,2.83,7320,0
1977,104,20072,12541,10976,87.52,1265,10.09,300,2.39,7531,0
1978,105,20265,13970,11791,84.40,1677,12.00,502,3.59,6295,0
1979,149,28757,19675,16665,84.70,2114,10.74,896,4.55,9082,0
1980,125,24125,14735,12114,82.21,1914,12.99,707,4.80,9390,0
1981,157,30301,20173,17108,84.81,2168,10.75,897,4.45,10128,0
1982,168,32424,23291,19797,85.00,2437,10.46,1057,4.54,9133,0
1983,147,28371,20914,17853,85.36,2164,10.35,897,4.29,7457,0
1984,149,28757,21020,17950,85.39,2189,10.41,881,4.19,7737,0
1985,156,30108,22638,19118,84.45,2605,11.51,915,4.04,7470,0
1986,156,30108,23048,19663,85.31,2607,11.31,778,3.38,7060,0
1987,143,27599,21328,18646,87.42,2082,9.76,600,2.81,6271,0
1988,140,27020,20647,18069,87.51,2078,10.06,500,2.42,6373,0
1989,117,22581,17328,15365,88.67,1525,8.80,438,2.53,5253,0
1990,86,16598,12683,11168,88.05,1164,9.18,351,2.77,3915,0
1991,74,14282,11227,9595,85.46,1211,10.79,421,3.75,3055,0
1992,75,14475,11469,9390,81.87,1690,14.74,389,3.39,3006,0
1993,65,12545,10267,8184,79.71,1675,16.31,408,3.97,2278,0
1994,68,13124,10969,8912,81.25,1622,14.79,435,3.97,2155,0
1995,80,15440,12463,10171,81.61,1763,14.15,529,4.24,2977,0
1996,76,14668,12281,10040,81.75,1701,13.85,540,4.40,2387,0
1997,73,14089,11698,9476,81.01,1646,14.07,576,4.92,2391,0
1998,63,12159,10092,8431,83.54,1174,11.63,487,4.83,2067,0
1999,70,13510,10862,8883,81.78,1414,13.02,565,5.20,2648,0
2000,68,13124,10918,9070,83.07,1255,11.49,593,5.43,2206,0
2001,67,12931,10351,8424,81.38,1282,12.39,645,6.23,2580,0
2002,76,14668,12558,10266,81.75,1551,12.35,741,5.90,2110,0
2003,77,14861,13212,10723,81.16,1648,12.47,841,6.37,1649,0
2004,73,14089,12775,10384,81.28,1514,11.85,877,6.86,1314,0
2005,75,14475,12707,10361,81.54,1491,11.73,855,6.73,1768,0
2006,101,19493,17827,14957,83.90,1844,10.34,1026,5.76,1666,0
2007,79,15247,13915,11582,83.23,1253,9.00,1080,7.76,1332,0
2008,78,15054,13648,11032,80.83,1734,12.71,882,6.46,1406,0
2009,68,13124,11964,9640,80.58,1326,11.08,998,8.34,1160,0
2010,72,13896,12724,10364,81.45,1427,11.22,933,7.33,1172,0
2011,69,13317,12038,9853,81.85,1310,10.88,875,7.27,1279,0
2012,74,14282,13283,10798,81.29,1604,12.08,881,6.63,999,0
2013,64,12352,11532,9324,80.85,1313,11.39,895,7.76,820,0
2014,80,15440,14236,11654,81.86,1650,11.59,932,6.55,1204,0
2015,78,15054,13901,11121,80.00,1790,12.88,990,7.12,1153,0
2016,81,15633,14465,11729,81.09,1671,11.55,1065,7.36,1168,0
2017,94,18142,16538,13476,81.49,1963,11.87,1099,6.65,1604,0
2018,107,20651,18941,15428,81.45,2208,11.66,1305,6.89,1710,0
2019,100,19300,17694,14171,80.09,2286,12.92,1237,6.99,1606,0
2020,100,19300,17749,14580,82.15,1876,10.57,1293,7.28,1551,0
2021,86,16598,15163,12203,80.48,1801,11.88,1159,7.64,1435,0
2022,89,17177,15508,12177,78.52,1969,12.70,1362,8.78,1669,0
2023,88,16984,15423,12198,79.09,1911,12.39,1314,8.52,1561,0
2024,95,18335,16873,13312,78.90,2107,12.49,1454,8.62,1462,0
2025,192,34459,33373,29379,88.03,2338,7.01,1656,4.96,1086,0
