country,topic_level,topic_label,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
CPV,topic_l1,"AGRICULTURE, FORESTRY AND FISHING",2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,"AGRICULTURE, FORESTRY AND FISHING",2025,7,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,CULTURE,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,CULTURE,2025,8,7,7,100.00,0,0.00,0,0.00,1,12.50,0,0
CPV,topic_l1,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,2024,10,8,8,100.00,0,0.00,0,0.00,2,20.00,0,0
CPV,topic_l1,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,2025,45,45,45,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,EDUCATION,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,EDUCATION,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,EMPLOYMENT,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,EMPLOYMENT,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,HEALTH,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,HEALTH,2025,7,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,HUMAN SETTLEMENTS,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,HUMAN SETTLEMENTS,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,HUMANITARIAN AID AND RELIEF,2024,5,4,4,100.00,0,0.00,0,0.00,1,20.00,0,0
CPV,topic_l1,HUMANITARIAN AID AND RELIEF,2025,16,16,16,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,INTERNATIONAL TRADE,2024,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,INTERNATIONAL TRADE,2025,6,6,6,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,NATURAL RESOURCES AND THE ENVIRONMENT,2024,7,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,NATURAL RESOURCES AND THE ENVIRONMENT,2025,30,30,30,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,POLITICAL AND LEGAL QUESTIONS,2024,80,67,67,100.00,0,0.00,0,0.00,13,16.25,0,0
CPV,topic_l1,POLITICAL AND LEGAL QUESTIONS,2025,131,125,125,100.00,0,0.00,0,0.00,3,2.29,3,0
CPV,topic_l1,RECOMMENDATIONS,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l1,RECOMMENDATIONS,2025,1,0,0,,0,,0,,1,100.00,0,0
CPV,topic_l1,SCIENCE AND TECHNOLOGY,2024,6,3,3,100.00,0,0.00,0,0.00,3,50.00,0,0
CPV,topic_l1,SCIENCE AND TECHNOLOGY,2025,16,15,15,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,topic_l1,SOCIAL CONDITIONS AND EQUITY,2024,16,14,14,100.00,0,0.00,0,0.00,2,12.50,0,0
CPV,topic_l1,SOCIAL CONDITIONS AND EQUITY,2025,35,34,34,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,topic_l1,TRANSPORT AND COMMUNICATIONS,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l1,TRANSPORT AND COMMUNICATIONS,2025,4,4,4,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l2,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l2,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,2025,6,6,6,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l2,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l2,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l2,BANKING AND INVESTMENT,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l2,BANKING AND INVESTMENT,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,topic_l2,COMMODITIES,2024,0,0,0,,0,,0,,0,,0,0
CPV,topic_l2,COMMODITIES,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
