country,topic_level,topic_label,status,2024_resolution_count,2025_resolution_count,resolution_count_change,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_country_missing_count,2025_country_missing_count,country_missing_count_change,2024_unknown_vote_count,2025_unknown_vote_count,unknown_vote_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp,abs_yes_pct_change_pp
CPV,topic_l1,POLITICAL AND LEGAL QUESTIONS,PRESENT_IN_BOTH,80,131,51,67,125,58,13,3,-10,0,3,3,0,0,0,67,125,58,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,PRESENT_IN_BOTH,10,45,35,8,45,37,2,0,-2,0,0,0,0,0,0,8,45,37,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,SOCIAL CONDITIONS AND EQUITY,PRESENT_IN_BOTH,16,35,19,14,34,20,2,0,-2,0,1,1,0,0,0,14,34,20,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,NATURAL RESOURCES AND THE ENVIRONMENT,PRESENT_IN_BOTH,7,30,23,7,30,23,0,0,0,0,0,0,0,0,0,7,30,23,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,HUMANITARIAN AID AND RELIEF,PRESENT_IN_BOTH,5,16,11,4,16,12,1,0,-1,0,0,0,0,0,0,4,16,12,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,SCIENCE AND TECHNOLOGY,PRESENT_IN_BOTH,6,16,10,3,15,12,3,0,-3,0,1,1,0,0,0,3,15,12,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,INTERNATIONAL TRADE,PRESENT_IN_BOTH,3,6,3,3,6,3,0,0,0,0,0,0,0,0,0,3,6,3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,topic_l1,RECOMMENDATIONS,PRESENT_IN_BOTH,1,1,0,1,0,-1,0,1,1,0,0,0,0,0,0,1,0,-1,100.00,,,0,0,0,0.00,,,0,0,0,0.00,,,
CPV,topic_l1,CULTURE,NEW_IN_2025,0,8,8,0,7,7,0,1,1,0,0,0,0,0,0,0,7,7,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,topic_l1,"AGRICULTURE, FORESTRY AND FISHING",NEW_IN_2025,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,topic_l1,HEALTH,NEW_IN_2025,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,topic_l1,TRANSPORT AND COMMUNICATIONS,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,topic_l1,EDUCATION,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
