country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
USA,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,2024,0,0,0,,0,,0,,0,,0,0
USA,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,2025,6,6,0,0.00,0,0.00,6,100.00,0,0.00,0,0
USA,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",2024,0,0,0,,0,,0,,0,,0,0
USA,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,BANKING AND INVESTMENT,2024,0,0,0,,0,,0,,0,,0,0
USA,BANKING AND INVESTMENT,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,COMMODITIES,2024,0,0,0,,0,,0,,0,,0,0
USA,COMMODITIES,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,COMMUNICATION AND MASS MEDIA,2024,0,0,0,,0,,0,,0,,0,0
USA,COMMUNICATION AND MASS MEDIA,2025,2,2,0,0.00,0,0.00,2,100.00,0,0.00,0,0
USA,COMPREHENSIVE HEALTH SERVICES,2024,0,0,0,,0,,0,,0,,0,0
USA,COMPREHENSIVE HEALTH SERVICES,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,COMPUTER SCIENCE AND TECHNOLOGY,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,COMPUTER SCIENCE AND TECHNOLOGY,2025,6,6,0,0.00,0,0.00,6,100.00,0,0.00,0,0
USA,CONSUMERS AND COOPERATIVES,2024,0,0,0,,0,,0,,0,,0,0
USA,CONSUMERS AND COOPERATIVES,2025,2,2,0,0.00,0,0.00,2,100.00,0,0.00,0,0
USA,CRIME AND CRIMINAL JUSTICE,2024,0,0,0,,0,,0,,0,,0,0
USA,CRIME AND CRIMINAL JUSTICE,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,CROP MANAGEMENT,2024,0,0,0,,0,,0,,0,,0,0
USA,CROP MANAGEMENT,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,CULTURAL DEVELOPMENT,2024,0,0,0,,0,,0,,0,,0,0
USA,CULTURAL DEVELOPMENT,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",2024,14,14,0,0.00,1,7.14,13,92.86,0,0.00,0,0
USA,"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",2025,11,11,0,0.00,0,0.00,11,100.00,0,0.00,0,0
USA,DEVELOPMENT,2024,7,7,1,14.29,0,0.00,6,85.71,0,0.00,0,0
USA,DEVELOPMENT,2025,44,44,0,0.00,0,0.00,44,100.00,0,0.00,0,0
USA,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,2024,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,2025,6,6,0,0.00,0,0.00,6,100.00,0,0.00,0,0
USA,DEVELOPMENT FINANCE,2024,2,2,0,0.00,0,0.00,2,100.00,0,0.00,0,0
USA,DEVELOPMENT FINANCE,2025,11,11,0,0.00,0,0.00,11,100.00,0,0.00,0,0
USA,DISARMAMENT AND MILITARY QUESTIONS,2024,41,40,17,42.50,5,12.50,18,45.00,1,2.44,0,0
USA,DISARMAMENT AND MILITARY QUESTIONS,2025,42,42,4,9.52,5,11.90,33,78.57,0,0.00,0,0
USA,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",2024,0,0,0,,0,,0,,0,,0,0
USA,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",2025,5,5,0,0.00,1,20.00,4,80.00,0,0.00,0,0
