Country,Closest_P5,Closest_Sim,Sim_USA,Sim_GBR,Sim_FRA,Sim_RUS,Sim_CHN
AGO,CHN,0.8978,-0.8896,0.5487,0.5806,0.6781,0.8978
ALB,FRA,0.8904,-0.5312,0.873,0.8904,0.4748,0.5948
AND,FRA,0.8412,-0.6728,0.8012,0.8412,0.4373,0.6686
ARE,CHN,0.8864,-0.8896,0.5658,0.5921,0.6724,0.8864
ARG,USA,0.44,0.44,-0.0951,-0.1025,-0.3522,-0.3377
ARM,CHN,0.857,-0.8101,0.6812,0.7276,0.6552,0.857
ATG,CHN,0.8728,-0.8488,0.5233,0.5497,0.6203,0.8728
AUS,GBR,0.907,-0.5902,0.907,0.8889,0.5043,0.6358
AUT,FRA,0.848,-0.6521,0.8081,0.848,0.4406,0.659
AZE,CHN,0.9075,-0.859,0.5233,0.5509,0.7221,0.9075
BDI,CHN,0.8676,-0.8207,0.4333,0.4598,0.7103,0.8676
BEL,FRA,0.924,-0.5902,0.8895,0.924,0.5159,0.6474
BEN,CHN,0.5494,-0.5426,0.2676,0.2953,0.2927,0.5494
BFA,CHN,0.8572,-0.8393,0.4516,0.4779,0.6609,0.8572
BGD,CHN,0.8998,-0.8913,0.5621,0.588,0.667,0.8998
BGR,FRA,0.934,-0.5271,0.9046,0.934,0.4719,0.5956
BHR,CHN,0.8959,-0.8987,0.5611,0.5872,0.6725,0.8959
BHS,CHN,0.871,-0.847,0.5878,0.614,0.6143,0.871
BIH,FRA,0.908,-0.6275,0.8792,0.908,0.5295,0.6805
BLR,CHN,0.8928,-0.8118,0.4665,0.4985,0.814,0.8928
BLZ,CHN,0.8572,-0.8558,0.546,0.5666,0.6017,0.8572
BOL,FRA,0.4244,-0.4429,0.3979,0.4244,0.4207,0.4195
BRA,CHN,0.9079,-0.8992,0.5693,0.601,0.6688,0.9079
BRB,CHN,0.8058,-0.7959,0.6332,0.656,0.6693,0.8058
BRN,CHN,0.8949,-0.8973,0.5591,0.5849,0.6634,0.8949
BTN,CHN,0.8783,-0.8651,0.5756,0.5962,0.6251,0.8783
BWA,CHN,0.7744,-0.7593,0.4544,0.4766,0.5307,0.7744
CAF,CHN,0.796,-0.7556,0.4766,0.4921,0.6336,0.796
CAN,GBR,0.8863,-0.575,0.8863,0.8739,0.4709,0.6203
CHE,FRA,0.8529,-0.7068,0.8187,0.8529,0.5306,0.7268
CHL,CHN,0.869,-0.8664,0.6196,0.6454,0.6012,0.869
CIV,CHN,0.871,-0.8634,0.5991,0.614,0.603,0.871
CMR,CHN,0.8384,-0.8153,0.5122,0.5341,0.6229,0.8384
COD,CHN,0.7247,-0.7177,0.5016,0.5045,0.4601,0.7247
COG,CHN,0.8444,-0.8152,0.5156,0.5308,0.6109,0.8444
COL,CHN,0.8838,-0.8865,0.5815,0.6074,0.6355,0.8838
COM,CHN,0.8254,-0.8142,0.4897,0.5106,0.5895,0.8254
CPV,CHN,0.8495,-0.8478,0.5902,0.605,0.5885,0.8495
CRI,CHN,0.8429,-0.8415,0.5935,0.6197,0.5917,0.8429
CUB,CHN,0.9267,-0.9176,0.4774,0.5088,0.731,0.9267
CYP,FRA,0.8431,-0.6651,0.8093,0.8431,0.4611,0.6897
CZE,FRA,0.9103,-0.5123,0.8872,0.9103,0.4512,0.5683
DEU,FRA,0.9384,-0.5525,0.9038,0.9384,0.5058,0.6203
DJI,CHN,0.8718,-0.87,0.5502,0.5765,0.6172,0.8718
DMA,CHN,0.4686,-0.4334,0.2759,0.2775,0.4241,0.4686
DNK,FRA,0.9384,-0.575,0.9096,0.9384,0.5,0.6319
DOM,CHN,0.8639,-0.851,0.5942,0.609,0.6037,0.8639
