Year,P5_Member,Avg_Similarity,Median_Similarity,Countries_With_Data
2020,USA,-0.3791,-0.507,192
2020,GBR,0.3754,0.2668,192
2020,FRA,0.4026,0.3012,192
2020,RUS,0.4479,0.5005,192
2020,CHN,0.5617,0.6743,192
2021,USA,-0.2368,-0.38,192
2021,GBR,0.261,0.1184,192
2021,FRA,0.3377,0.2164,192
2021,RUS,0.3568,0.4042,192
2021,CHN,0.5482,0.6639,192
2022,USA,-0.0528,-0.1739,191
2022,GBR,0.3309,0.2195,191
2022,FRA,0.388,0.2804,191
2022,RUS,0.2648,0.3215,191
2022,CHN,0.4462,0.5825,191
2023,USA,-0.1127,-0.2616,191
2023,GBR,0.2528,0.1132,190
2023,FRA,0.3178,0.1914,191
2023,RUS,0.1449,0.1842,191
2023,CHN,0.4811,0.6184,191
2024,USA,-0.1033,-0.2438,190
2024,GBR,0.2522,0.1112,190
2024,FRA,0.3147,0.1991,190
2024,RUS,0.1741,0.2319,190
2024,CHN,0.5079,0.6443,190
2025,USA,-0.7336,-0.8255,190
2025,GBR,0.5944,0.5586,190
2025,FRA,0.618,0.5856,190
2025,RUS,0.5595,0.6082,190
2025,CHN,0.7494,0.8497,190
