Topic,Yes,No,Abstain,Total,Yes%,No%,Abstain%
POLITICAL AND LEGAL QUESTIONS,60,0,0,60,100.0,0.0,0.0
INTERNATIONAL RELATIONS,50,0,0,50,100.0,0.0,0.0
DISARMAMENT AND MILITARY QUESTIONS,38,0,0,38,100.0,0.0,0.0
MAINTENANCE OF PEACE AND SECURITY,36,0,0,36,100.0,0.0,0.0
HUMAN RIGHTS,30,0,0,30,100.0,0.0,0.0
SOCIAL DEVELOPMENT,30,0,0,30,100.0,0.0,0.0
POLITICAL EVENTS AND ISSUES,26,0,0,26,100.0,0.0,0.0
DEVELOPMENT,23,0,0,23,100.0,0.0,0.0
ENVIRONMENT,23,0,0,23,100.0,0.0,0.0
INTERNATIONAL LAW,13,0,0,13,100.0,0.0,0.0
DISCRIMINATION,12,0,0,12,100.0,0.0,0.0
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,10,0,0,10,100.0,0.0,0.0
WELFARE AND SOCIAL SERVICES,9,0,0,9,100.0,0.0,0.0
DEVELOPMENT FINANCE,7,0,0,7,100.0,0.0,0.0
MARINE RESOURCES,6,0,0,6,100.0,0.0,0.0
NATURAL RESOURCES AND THE ENVIRONMENT,4,0,0,4,100.0,0.0,0.0
WILDLIFE,4,0,0,4,100.0,0.0,0.0
WOMEN'S ADVANCEMENT,4,0,0,4,100.0,0.0,0.0
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,4,0,0,4,100.0,0.0,0.0
ENERGY RESOURCES,3,0,0,3,100.0,0.0,0.0
ECONOMIC CONDITIONS,3,0,0,3,100.0,0.0,0.0
SPACE SCIENCES,3,0,0,3,100.0,0.0,0.0
COMPUTER SCIENCE AND TECHNOLOGY,3,0,0,3,100.0,0.0,0.0
POLLUTION,3,0,0,3,100.0,0.0,0.0
NUCLEAR SCIENCE,3,0,0,3,100.0,0.0,0.0
DISEASE PREVENTION AND CONTROL,3,0,0,3,100.0,0.0,0.0
CULTURE,3,0,0,3,100.0,0.0,0.0
HUMANITARIAN AID AND RELIEF,3,0,0,3,100.0,0.0,0.0
FOOD AND NUTRITION,3,0,0,3,100.0,0.0,0.0
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,0,0,3,100.0,0.0,0.0
EDUCATIONAL POLICY AND PLANNING,3,0,0,3,100.0,0.0,0.0
PUBLIC FINANCE,2,0,0,2,100.0,0.0,0.0
CULTURAL DEVELOPMENT,2,0,0,2,100.0,0.0,0.0
ENVIRONMENTAL HEALTH,2,0,0,2,100.0,0.0,0.0
PHILOSOPHY AND RELIGION,2,0,0,2,100.0,0.0,0.0
TELECOMMUNICATIONS,2,0,0,2,100.0,0.0,0.0
TRADE RELATED FINANCE,2,0,0,2,100.0,0.0,0.0
COMPREHENSIVE HEALTH SERVICES,2,0,0,2,100.0,0.0,0.0
COMMUNICATION AND MASS MEDIA,2,0,0,2,100.0,0.0,0.0
TRADE IN COMMODITIES,1,0,0,1,100.0,0.0,0.0
SKILLS DEVELOPMENT,1,0,0,1,100.0,0.0,0.0
TAXATION,1,0,0,1,100.0,0.0,0.0
STATISTICS,1,0,0,1,100.0,0.0,0.0
TRANSPORT POLICY AND PLANNING,1,0,0,1,100.0,0.0,0.0
WATER,1,0,0,1,100.0,0.0,0.0
SPECIAL GROUPS,1,0,0,1,100.0,0.0,0.0
SPECIAL CATEGORIES OF WORKERS,1,0,0,1,100.0,0.0,0.0
GENERAL AND NATIONAL LAW,1,0,0,1,100.0,0.0,0.0
INTERNATIONAL TRADE,1,0,0,1,100.0,0.0,0.0
SCIENCE AND TECHNOLOGY,1,0,0,1,100.0,0.0,0.0
RESOURCES (GENERAL),1,0,0,1,100.0,0.0,0.0
RECOMMENDATIONS,1,0,0,1,100.0,0.0,0.0
LAND FORMS AND ECOSYSTEMS,1,0,0,1,100.0,0.0,0.0
PUBLIC ADMINISTRATION,1,0,0,1,100.0,0.0,0.0
EDUCATIONAL SYSTEMS,1,0,0,1,100.0,0.0,0.0
PERSONS WITH DISABILITIES,1,0,0,1,100.0,0.0,0.0
No Tag,1,0,0,1,100.0,0.0,0.0
NON-FORMAL EDUCATION,1,0,0,1,100.0,0.0,0.0
MONETARY ISSUES,1,0,0,1,100.0,0.0,0.0
COMMODITIES,1,0,0,1,100.0,0.0,0.0
DISEASES AND CARRIERS OF DISEASES,1,0,0,1,100.0,0.0,0.0
LAW OF THE SEA,1,0,0,1,100.0,0.0,0.0
LANGUAGE,1,0,0,1,100.0,0.0,0.0
BANKING AND INVESTMENT,1,0,0,1,100.0,0.0,0.0
