Topic,Yes,No,Abstain,Total,Yes%,No%,Abstain%
WILDLIFE,4,0,0,4,100.0,0.0,0.0
POLLUTION,3,0,0,3,100.0,0.0,0.0
CULTURE,3,0,0,3,100.0,0.0,0.0
TRADE RELATED FINANCE,2,0,0,2,100.0,0.0,0.0
TELECOMMUNICATIONS,2,0,0,2,100.0,0.0,0.0
PHILOSOPHY AND RELIGION,2,0,0,2,100.0,0.0,0.0
ENVIRONMENTAL HEALTH,2,0,0,2,100.0,0.0,0.0
INTERNATIONAL TRADE,1,0,0,1,100.0,0.0,0.0
SKILLS DEVELOPMENT,1,0,0,1,100.0,0.0,0.0
WATER,1,0,0,1,100.0,0.0,0.0
TRANSPORT POLICY AND PLANNING,1,0,0,1,100.0,0.0,0.0
DISEASES AND CARRIERS OF DISEASES,1,0,0,1,100.0,0.0,0.0
TRADE IN COMMODITIES,1,0,0,1,100.0,0.0,0.0
EDUCATIONAL SYSTEMS,1,0,0,1,100.0,0.0,0.0
TAXATION,1,0,0,1,100.0,0.0,0.0
STATISTICS,1,0,0,1,100.0,0.0,0.0
SPECIAL GROUPS,1,0,0,1,100.0,0.0,0.0
SPECIAL CATEGORIES OF WORKERS,1,0,0,1,100.0,0.0,0.0
RECOMMENDATIONS,1,0,0,1,100.0,0.0,0.0
LAND FORMS AND ECOSYSTEMS,1,0,0,1,100.0,0.0,0.0
PUBLIC ADMINISTRATION,1,0,0,1,100.0,0.0,0.0
COMMODITIES,1,0,0,1,100.0,0.0,0.0
PERSONS WITH DISABILITIES,1,0,0,1,100.0,0.0,0.0
No Tag,1,0,0,1,100.0,0.0,0.0
NON-FORMAL EDUCATION,1,0,0,1,100.0,0.0,0.0
MONETARY ISSUES,1,0,0,1,100.0,0.0,0.0
LAW OF THE SEA,1,0,0,1,100.0,0.0,0.0
LANGUAGE,1,0,0,1,100.0,0.0,0.0
BANKING AND INVESTMENT,1,0,0,1,100.0,0.0,0.0
