Topic,Yes,No,Abstain,Total,Yes%,No%,Abstain%
MAINTENANCE OF PEACE AND SECURITY,36,0,0,36,100.0,0.0,0.0
POLITICAL EVENTS AND ISSUES,26,0,0,26,100.0,0.0,0.0
DISCRIMINATION,12,0,0,12,100.0,0.0,0.0
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,10,0,0,10,100.0,0.0,0.0
WELFARE AND SOCIAL SERVICES,9,0,0,9,100.0,0.0,0.0
DEVELOPMENT FINANCE,7,0,0,7,100.0,0.0,0.0
MARINE RESOURCES,6,0,0,6,100.0,0.0,0.0
WOMEN'S ADVANCEMENT,4,0,0,4,100.0,0.0,0.0
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,4,0,0,4,100.0,0.0,0.0
NATURAL RESOURCES AND THE ENVIRONMENT,4,0,0,4,100.0,0.0,0.0
SPACE SCIENCES,3,0,0,3,100.0,0.0,0.0
NUCLEAR SCIENCE,3,0,0,3,100.0,0.0,0.0
HUMANITARIAN AID AND RELIEF,3,0,0,3,100.0,0.0,0.0
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,0,0,3,100.0,0.0,0.0
FOOD AND NUTRITION,3,0,0,3,100.0,0.0,0.0
ENERGY RESOURCES,3,0,0,3,100.0,0.0,0.0
EDUCATIONAL POLICY AND PLANNING,3,0,0,3,100.0,0.0,0.0
DISEASE PREVENTION AND CONTROL,3,0,0,3,100.0,0.0,0.0
COMPUTER SCIENCE AND TECHNOLOGY,3,0,0,3,100.0,0.0,0.0
COMPREHENSIVE HEALTH SERVICES,2,0,0,2,100.0,0.0,0.0
PUBLIC FINANCE,2,0,0,2,100.0,0.0,0.0
CULTURAL DEVELOPMENT,2,0,0,2,100.0,0.0,0.0
COMMUNICATION AND MASS MEDIA,2,0,0,2,100.0,0.0,0.0
GENERAL AND NATIONAL LAW,1,0,0,1,100.0,0.0,0.0
RESOURCES (GENERAL),1,0,0,1,100.0,0.0,0.0
SCIENCE AND TECHNOLOGY,1,0,0,1,100.0,0.0,0.0
