Topic,Yes,No,Abstain,Total,Yes%,No%,Abstain%
POLITICAL AND LEGAL QUESTIONS,5,58,1,64,7.8,90.6,1.6
INTERNATIONAL RELATIONS,4,48,1,53,7.5,90.6,1.9
DISARMAMENT AND MILITARY QUESTIONS,5,29,4,38,13.2,76.3,10.5
MAINTENANCE OF PEACE AND SECURITY,5,30,2,37,13.5,81.1,5.4
HUMAN RIGHTS,5,27,0,32,15.6,84.4,0.0
SOCIAL DEVELOPMENT,2,28,0,30,6.7,93.3,0.0
POLITICAL EVENTS AND ISSUES,4,24,0,28,14.3,85.7,0.0
ENVIRONMENT,0,20,3,23,0.0,87.0,13.0
DEVELOPMENT,0,23,0,23,0.0,100.0,0.0
DISCRIMINATION,2,12,0,14,14.3,85.7,0.0
INTERNATIONAL LAW,0,14,0,14,0.0,100.0,0.0
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,2,8,0,10,20.0,80.0,0.0
WELFARE AND SOCIAL SERVICES,0,9,0,9,0.0,100.0,0.0
DEVELOPMENT FINANCE,0,7,0,7,0.0,100.0,0.0
MARINE RESOURCES,0,4,2,6,0.0,66.7,33.3
WOMEN'S ADVANCEMENT,0,5,0,5,0.0,100.0,0.0
NATURAL RESOURCES AND THE ENVIRONMENT,0,4,0,4,0.0,100.0,0.0
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,0,4,0,4,0.0,100.0,0.0
WILDLIFE,0,3,1,4,0.0,75.0,25.0
NUCLEAR SCIENCE,0,4,0,4,0.0,100.0,0.0
SPACE SCIENCES,0,3,0,3,0.0,100.0,0.0
PHILOSOPHY AND RELIGION,0,3,0,3,0.0,100.0,0.0
ENERGY RESOURCES,0,3,0,3,0.0,100.0,0.0
CULTURAL DEVELOPMENT,0,3,0,3,0.0,100.0,0.0
POLLUTION,0,3,0,3,0.0,100.0,0.0
COMPUTER SCIENCE AND TECHNOLOGY,0,3,0,3,0.0,100.0,0.0
CULTURE,0,3,0,3,0.0,100.0,0.0
DISEASE PREVENTION AND CONTROL,0,3,0,3,0.0,100.0,0.0
HUMANITARIAN AID AND RELIEF,0,3,0,3,0.0,100.0,0.0
ECONOMIC CONDITIONS,0,3,0,3,0.0,100.0,0.0
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,0,3,0,3,0.0,100.0,0.0
FOOD AND NUTRITION,0,3,0,3,0.0,100.0,0.0
EDUCATIONAL POLICY AND PLANNING,0,3,0,3,0.0,100.0,0.0
RECOMMENDATIONS,0,2,0,2,0.0,100.0,0.0
PUBLIC FINANCE,0,2,0,2,0.0,100.0,0.0
TELECOMMUNICATIONS,0,2,0,2,0.0,100.0,0.0
TRADE RELATED FINANCE,0,2,0,2,0.0,100.0,0.0
COMMUNICATION AND MASS MEDIA,0,2,0,2,0.0,100.0,0.0
ENVIRONMENTAL HEALTH,0,2,0,2,0.0,100.0,0.0
COMPREHENSIVE HEALTH SERVICES,0,2,0,2,0.0,100.0,0.0
STATISTICS,0,1,0,1,0.0,100.0,0.0
SPECIAL GROUPS,0,1,0,1,0.0,100.0,0.0
SPECIAL CATEGORIES OF WORKERS,0,1,0,1,0.0,100.0,0.0
TAXATION,0,1,0,1,0.0,100.0,0.0
SKILLS DEVELOPMENT,0,1,0,1,0.0,100.0,0.0
TRADE IN COMMODITIES,0,1,0,1,0.0,100.0,0.0
TRANSPORT POLICY AND PLANNING,0,1,0,1,0.0,100.0,0.0
WATER,0,1,0,1,0.0,100.0,0.0
EDUCATIONAL SYSTEMS,0,1,0,1,0.0,100.0,0.0
SCIENCE AND TECHNOLOGY,0,1,0,1,0.0,100.0,0.0
RESOURCES (GENERAL),0,1,0,1,0.0,100.0,0.0
PUBLIC ADMINISTRATION,0,1,0,1,0.0,100.0,0.0
PERSONS WITH DISABILITIES,0,1,0,1,0.0,100.0,0.0
No Tag,0,1,0,1,0.0,100.0,0.0
NON-FORMAL EDUCATION,0,1,0,1,0.0,100.0,0.0
MONETARY ISSUES,0,1,0,1,0.0,100.0,0.0
COMMODITIES,0,1,0,1,0.0,100.0,0.0
LAW OF THE SEA,0,0,1,1,0.0,0.0,100.0
LANGUAGE,0,1,0,1,0.0,100.0,0.0
LAND FORMS AND ECOSYSTEMS,0,1,0,1,0.0,100.0,0.0
INTERNATIONAL TRADE,0,1,0,1,0.0,100.0,0.0
DISEASES AND CARRIERS OF DISEASES,0,1,0,1,0.0,100.0,0.0
GENERAL AND NATIONAL LAW,0,1,0,1,0.0,100.0,0.0
BANKING AND INVESTMENT,0,1,0,1,0.0,100.0,0.0
