Topic,Yes,No,Abstain,Total,Yes%,No%,Abstain%
WILDLIFE,0,3,1,4,0.0,75.0,25.0
POLLUTION,0,3,0,3,0.0,100.0,0.0
PHILOSOPHY AND RELIGION,0,3,0,3,0.0,100.0,0.0
CULTURE,0,3,0,3,0.0,100.0,0.0
RECOMMENDATIONS,0,2,0,2,0.0,100.0,0.0
ENVIRONMENTAL HEALTH,0,2,0,2,0.0,100.0,0.0
TRADE RELATED FINANCE,0,2,0,2,0.0,100.0,0.0
TELECOMMUNICATIONS,0,2,0,2,0.0,100.0,0.0
DISEASES AND CARRIERS OF DISEASES,0,1,0,1,0.0,100.0,0.0
WATER,0,1,0,1,0.0,100.0,0.0
TRANSPORT POLICY AND PLANNING,0,1,0,1,0.0,100.0,0.0
TRADE IN COMMODITIES,0,1,0,1,0.0,100.0,0.0
TAXATION,0,1,0,1,0.0,100.0,0.0
STATISTICS,0,1,0,1,0.0,100.0,0.0
SPECIAL GROUPS,0,1,0,1,0.0,100.0,0.0
SPECIAL CATEGORIES OF WORKERS,0,1,0,1,0.0,100.0,0.0
SKILLS DEVELOPMENT,0,1,0,1,0.0,100.0,0.0
PUBLIC ADMINISTRATION,0,1,0,1,0.0,100.0,0.0
EDUCATIONAL SYSTEMS,0,1,0,1,0.0,100.0,0.0
COMMODITIES,0,1,0,1,0.0,100.0,0.0
PERSONS WITH DISABILITIES,0,1,0,1,0.0,100.0,0.0
No Tag,0,1,0,1,0.0,100.0,0.0
NON-FORMAL EDUCATION,0,1,0,1,0.0,100.0,0.0
MONETARY ISSUES,0,1,0,1,0.0,100.0,0.0
LAW OF THE SEA,0,0,1,1,0.0,0.0,100.0
LANGUAGE,0,1,0,1,0.0,100.0,0.0
LAND FORMS AND ECOSYSTEMS,0,1,0,1,0.0,100.0,0.0
INTERNATIONAL TRADE,0,1,0,1,0.0,100.0,0.0
BANKING AND INVESTMENT,0,1,0,1,0.0,100.0,0.0
