Topic,Yes,No,Abstain,Total,Yes%,No%,Abstain%
MAINTENANCE OF PEACE AND SECURITY,5,30,2,37,13.5,81.1,5.4
POLITICAL EVENTS AND ISSUES,4,24,0,28,14.3,85.7,0.0
DISCRIMINATION,2,12,0,14,14.3,85.7,0.0
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,2,8,0,10,20.0,80.0,0.0
WELFARE AND SOCIAL SERVICES,0,9,0,9,0.0,100.0,0.0
DEVELOPMENT FINANCE,0,7,0,7,0.0,100.0,0.0
MARINE RESOURCES,0,4,2,6,0.0,66.7,33.3
WOMEN'S ADVANCEMENT,0,5,0,5,0.0,100.0,0.0
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,0,4,0,4,0.0,100.0,0.0
NUCLEAR SCIENCE,0,4,0,4,0.0,100.0,0.0
NATURAL RESOURCES AND THE ENVIRONMENT,0,4,0,4,0.0,100.0,0.0
SPACE SCIENCES,0,3,0,3,0.0,100.0,0.0
HUMANITARIAN AID AND RELIEF,0,3,0,3,0.0,100.0,0.0
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,0,3,0,3,0.0,100.0,0.0
FOOD AND NUTRITION,0,3,0,3,0.0,100.0,0.0
ENERGY RESOURCES,0,3,0,3,0.0,100.0,0.0
EDUCATIONAL POLICY AND PLANNING,0,3,0,3,0.0,100.0,0.0
DISEASE PREVENTION AND CONTROL,0,3,0,3,0.0,100.0,0.0
CULTURAL DEVELOPMENT,0,3,0,3,0.0,100.0,0.0
COMPUTER SCIENCE AND TECHNOLOGY,0,3,0,3,0.0,100.0,0.0
COMPREHENSIVE HEALTH SERVICES,0,2,0,2,0.0,100.0,0.0
PUBLIC FINANCE,0,2,0,2,0.0,100.0,0.0
COMMUNICATION AND MASS MEDIA,0,2,0,2,0.0,100.0,0.0
GENERAL AND NATIONAL LAW,0,1,0,1,0.0,100.0,0.0
RESOURCES (GENERAL),0,1,0,1,0.0,100.0,0.0
SCIENCE AND TECHNOLOGY,0,1,0,1,0.0,100.0,0.0
