ThematicGroup,YesVotes,NoVotes,AbstainVotes,TotalVotes,Tags,Yes_Pct,No_Pct,Abstain_Pct
Peace & Security,9,54,2,65,2,13.8,83.1,3.1
Disarmament & Arms Control,5,36,4,45,3,11.1,80.0,8.9
Human Rights & Equality,7,46,0,53,5,13.2,86.8,0.0
Refugees & Humanitarian Aid,2,11,0,13,2,15.4,84.6,0.0
International Law & Governance,0,18,1,19,5,0.0,94.7,5.3
Environment & Climate,0,38,6,44,8,0.0,86.4,13.6
Economic Development & Finance,0,41,0,41,9,0.0,100.0,0.0
Trade & Commodities,0,6,0,6,4,0.0,100.0,0.0
Social Welfare & Labor,2,39,0,41,4,4.9,95.1,0.0
Health & Nutrition,0,9,0,9,4,0.0,100.0,0.0
"Education, Culture & Communication",0,17,0,17,8,0.0,100.0,0.0
"Science, Technology & Energy",0,15,0,15,7,0.0,100.0,0.0
Political & Legal (General),9,106,2,117,2,7.7,90.6,1.7
Untagged,0,1,0,1,1,0.0,100.0,0.0
