Topic,USA_Yes%,CPV_Yes%,Gap
BANKING AND INVESTMENT,0.0,100.0,100.0
SCIENCE AND TECHNOLOGY,0.0,100.0,100.0
MONETARY ISSUES,0.0,100.0,100.0
NATURAL RESOURCES AND THE ENVIRONMENT,0.0,100.0,100.0
NON-FORMAL EDUCATION,0.0,100.0,100.0
NUCLEAR SCIENCE,0.0,100.0,100.0
No Tag,0.0,100.0,100.0
PERSONS WITH DISABILITIES,0.0,100.0,100.0
PHILOSOPHY AND RELIGION,0.0,100.0,100.0
POLLUTION,0.0,100.0,100.0
PUBLIC ADMINISTRATION,0.0,100.0,100.0
PUBLIC FINANCE,0.0,100.0,100.0
RECOMMENDATIONS,0.0,100.0,100.0
RESOURCES (GENERAL),0.0,100.0,100.0
SKILLS DEVELOPMENT,0.0,100.0,100.0
LAW OF THE SEA,0.0,100.0,100.0
SPACE SCIENCES,0.0,100.0,100.0
SPECIAL CATEGORIES OF WORKERS,0.0,100.0,100.0
SPECIAL GROUPS,0.0,100.0,100.0
STATISTICS,0.0,100.0,100.0
TAXATION,0.0,100.0,100.0
TELECOMMUNICATIONS,0.0,100.0,100.0
TRADE IN COMMODITIES,0.0,100.0,100.0
TRADE RELATED FINANCE,0.0,100.0,100.0
TRANSPORT POLICY AND PLANNING,0.0,100.0,100.0
WATER,0.0,100.0,100.0
WELFARE AND SOCIAL SERVICES,0.0,100.0,100.0
WILDLIFE,0.0,100.0,100.0
COMMODITIES,0.0,100.0,100.0
MARINE RESOURCES,0.0,100.0,100.0
LANGUAGE,0.0,100.0,100.0
ENVIRONMENT,0.0,100.0,100.0
COMMUNICATION AND MASS MEDIA,0.0,100.0,100.0
COMPREHENSIVE HEALTH SERVICES,0.0,100.0,100.0
COMPUTER SCIENCE AND TECHNOLOGY,0.0,100.0,100.0
CULTURAL DEVELOPMENT,0.0,100.0,100.0
CULTURE,0.0,100.0,100.0
DEVELOPMENT,0.0,100.0,100.0
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,0.0,100.0,100.0
DEVELOPMENT FINANCE,0.0,100.0,100.0
DISEASE PREVENTION AND CONTROL,0.0,100.0,100.0
DISEASES AND CARRIERS OF DISEASES,0.0,100.0,100.0
ECONOMIC CONDITIONS,0.0,100.0,100.0
EDUCATIONAL POLICY AND PLANNING,0.0,100.0,100.0
ENERGY RESOURCES,0.0,100.0,100.0
EDUCATIONAL SYSTEMS,0.0,100.0,100.0
ENVIRONMENTAL HEALTH,0.0,100.0,100.0
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,0.0,100.0,100.0
LAND FORMS AND ECOSYSTEMS,0.0,100.0,100.0
INTERNATIONAL TRADE,0.0,100.0,100.0
INTERNATIONAL LAW,0.0,100.0,100.0
HUMANITARIAN AID AND RELIEF,0.0,100.0,100.0
GENERAL AND NATIONAL LAW,0.0,100.0,100.0
FOOD AND NUTRITION,0.0,100.0,100.0
WOMEN'S ADVANCEMENT,0.0,100.0,100.0
SOCIAL DEVELOPMENT,6.7,100.0,93.3
INTERNATIONAL RELATIONS,7.5,100.0,92.5
POLITICAL AND LEGAL QUESTIONS,7.8,100.0,92.2
DISARMAMENT AND MILITARY QUESTIONS,13.2,100.0,86.8
MAINTENANCE OF PEACE AND SECURITY,13.5,100.0,86.5
DISCRIMINATION,14.3,100.0,85.7
POLITICAL EVENTS AND ISSUES,14.3,100.0,85.7
HUMAN RIGHTS,15.6,100.0,84.4
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,20.0,100.0,80.0
