ThematicGroup,USA_YesVotes,USA_NoVotes,USA_AbstainVotes,USA_TotalVotes,USA_Tags,USA_Yes_Pct,USA_No_Pct,USA_Abstain_Pct,CPV_YesVotes,CPV_NoVotes,CPV_AbstainVotes,CPV_TotalVotes,CPV_Tags,CPV_Yes_Pct,CPV_No_Pct,CPV_Abstain_Pct,Yes_Pct_Gap
Peace & Security,9,54,2,65,2,13.8,83.1,3.1,62,0,0,62,2,100.0,0.0,0.0,-86.2
Disarmament & Arms Control,5,36,4,45,3,11.1,80.0,8.9,44,0,0,44,3,100.0,0.0,0.0,-88.9
Human Rights & Equality,7,46,0,53,5,13.2,86.8,0.0,48,0,0,48,5,100.0,0.0,0.0,-86.8
Refugees & Humanitarian Aid,2,11,0,13,2,15.4,84.6,0.0,13,0,0,13,2,100.0,0.0,0.0,-84.6
International Law & Governance,0,18,1,19,5,0.0,94.7,5.3,17,0,0,17,5,100.0,0.0,0.0,-100.0
Environment & Climate,0,38,6,44,8,0.0,86.4,13.6,44,0,0,44,8,100.0,0.0,0.0,-100.0
Economic Development & Finance,0,41,0,41,9,0.0,100.0,0.0,41,0,0,41,9,100.0,0.0,0.0,-100.0
Trade & Commodities,0,6,0,6,4,0.0,100.0,0.0,6,0,0,6,4,100.0,0.0,0.0,-100.0
Social Welfare & Labor,2,39,0,41,4,4.9,95.1,0.0,41,0,0,41,4,100.0,0.0,0.0,-95.1
Health & Nutrition,0,9,0,9,4,0.0,100.0,0.0,9,0,0,9,4,100.0,0.0,0.0,-100.0
"Education, Culture & Communication",0,17,0,17,8,0.0,100.0,0.0,15,0,0,15,8,100.0,0.0,0.0,-100.0
"Science, Technology & Energy",0,15,0,15,7,0.0,100.0,0.0,15,0,0,15,7,100.0,0.0,0.0,-100.0
Political & Legal (General),9,106,2,117,2,7.7,90.6,1.7,110,0,0,110,2,100.0,0.0,0.0,-92.3
Untagged,0,1,0,1,1,0.0,100.0,0.0,1,0,0,1,1,100.0,0.0,0.0,-100.0
